date,live gold_unscaled,live gold_monthly,isPartial,scale,live gold
2005-05-30,0,0,False,0.0,0.0
2005-05-31,0,0,False,0.0,0.0
2005-06-01,0,0,False,0.0,0.0
2005-06-02,100,100,False,1.0,100.0
2005-06-03,0,0,False,0.0,0.0
2005-06-04,0,0,False,0.0,0.0
2005-06-05,0,0,False,0.0,0.0
2005-06-06,0,0,False,0.0,0.0
2005-06-07,0,0,False,0.0,0.0
2005-06-08,0,0,False,0.0,0.0
2005-06-09,0,0,False,0.0,0.0
2005-06-10,0,0,False,0.0,0.0
2005-06-11,0,0,False,0.0,0.0
2005-06-12,89,89,False,0.89,79.21000000000001
2005-06-13,52,52,False,0.52,27.04
2005-06-14,0,0,False,0.0,0.0
2005-06-15,52,52,False,0.52,27.04
2005-06-16,53,53,False,0.53,28.09
2005-06-17,0,0,False,0.0,0.0
2005-06-18,0,0,False,0.0,0.0
2005-06-19,0,0,False,0.0,0.0
2005-06-20,52,52,False,0.52,27.04
2005-06-21,0,0,False,0.0,0.0
2005-06-22,0,0,False,0.0,0.0
2005-06-23,0,0,False,0.0,0.0
2005-06-24,0,0,False,0.0,0.0
2005-06-25,91,91,False,0.91,82.81
2005-06-26,0,0,False,0.0,0.0
2005-06-27,52,52,False,0.52,27.04
2005-06-28,0,0,False,0.0,0.0
2005-06-29,0,0,False,0.0,0.0
2005-06-30,0,0,False,0.0,0.0
2005-07-01,58,58,False,0.58,33.64
2005-07-02,90,90,False,0.9,81.0
2005-07-03,0,0,False,0.0,0.0
2005-07-04,87,87,False,0.87,75.69
2005-07-05,53,53,False,0.53,28.09
2005-07-06,0,0,False,0.0,0.0
2005-07-07,0,0,False,0.0,0.0
2005-07-08,0,0,False,0.0,0.0
2005-07-09,0,0,False,0.0,0.0
2005-07-10,0,0,False,0.0,0.0
2005-07-11,48,48,False,0.48,23.04
2005-07-12,0,0,False,0.0,0.0
2005-07-13,0,0,False,0.0,0.0
2005-07-14,0,0,False,0.0,0.0
2005-07-15,0,0,False,0.0,0.0
2005-07-16,0,0,False,0.0,0.0
2005-07-17,0,0,False,0.0,0.0
2005-07-18,0,0,False,0.0,0.0
2005-07-19,0,0,False,0.0,0.0
2005-07-20,0,0,False,0.0,0.0
2005-07-21,100,100,False,1.0,100.0
2005-07-22,0,0,False,0.0,0.0
2005-07-23,0,0,False,0.0,0.0
2005-07-24,83,83,False,0.83,68.89
2005-07-25,0,0,False,0.0,0.0
2005-07-26,0,0,False,0.0,0.0
2005-07-27,0,0,False,0.0,0.0
2005-07-28,0,0,False,0.0,0.0
2005-07-29,0,0,False,0.0,0.0
2005-07-30,0,0,False,0.0,0.0
2005-07-31,0,0,False,0.0,0.0
2005-08-01,0,0,False,0.0,0.0
2005-08-02,0,0,False,0.0,0.0
2005-08-03,0,0,False,0.0,0.0
2005-08-04,0,0,False,0.0,0.0
2005-08-05,0,0,False,0.0,0.0
2005-08-06,0,0,False,0.0,0.0
2005-08-07,0,0,False,0.0,0.0
2005-08-08,49,49,False,0.49,24.009999999999998
2005-08-09,48,48,False,0.48,23.04
2005-08-10,0,0,False,0.0,0.0
2005-08-11,51,51,False,0.51,26.01
2005-08-12,54,54,False,0.54,29.160000000000004
2005-08-13,0,0,False,0.0,0.0
2005-08-14,83,83,False,0.83,68.89
2005-08-15,0,0,False,0.0,0.0
2005-08-16,0,0,False,0.0,0.0
2005-08-17,100,100,False,1.0,100.0
2005-08-18,0,0,False,0.0,0.0
2005-08-19,0,0,False,0.0,0.0
2005-08-20,0,0,False,0.0,0.0
2005-08-21,0,0,False,0.0,0.0
2005-08-22,49,49,False,0.49,24.009999999999998
2005-08-23,0,0,False,0.0,0.0
2005-08-24,0,0,False,0.0,0.0
2005-08-25,0,0,False,0.0,0.0
2005-08-26,0,0,False,0.0,0.0
2005-08-27,0,0,False,0.0,0.0
2005-08-28,0,0,False,0.0,0.0
2005-08-29,47,47,False,0.47,22.09
2005-08-30,0,0,False,0.0,0.0
2005-08-31,0,0,False,0.0,0.0
2005-09-01,37,37,False,0.37,13.69
2005-09-02,0,0,False,0.0,0.0
2005-09-03,0,0,False,0.0,0.0
2005-09-04,0,0,False,0.0,0.0
2005-09-05,0,0,False,0.0,0.0
2005-09-06,0,0,False,0.0,0.0
2005-09-07,0,0,False,0.0,0.0
2005-09-08,35,35,False,0.35,12.25
2005-09-09,0,0,False,0.0,0.0
2005-09-10,0,0,False,0.0,0.0
2005-09-11,0,0,False,0.0,0.0
2005-09-12,0,0,False,0.0,0.0
2005-09-13,33,33,False,0.33,10.89
2005-09-14,0,0,False,0.0,0.0
2005-09-15,0,0,False,0.0,0.0
2005-09-16,0,0,False,0.0,0.0
2005-09-17,55,55,False,0.55,30.250000000000004
2005-09-18,55,55,False,0.55,30.250000000000004
2005-09-19,33,33,False,0.33,10.89
2005-09-20,0,0,False,0.0,0.0
2005-09-21,0,0,False,0.0,0.0
2005-09-22,100,100,False,1.0,100.0
2005-09-23,36,36,False,0.36,12.959999999999999
2005-09-24,0,0,False,0.0,0.0
2005-09-25,54,54,False,0.54,29.160000000000004
2005-09-26,66,66,False,0.66,43.56
2005-09-27,32,32,False,0.32,10.24
2005-09-28,33,33,False,0.33,10.89
2005-09-29,33,33,False,0.33,10.89
2005-09-30,72,72,False,0.72,51.839999999999996
2005-10-01,59,59,False,0.59,34.809999999999995
2005-10-02,56,56,False,0.56,31.360000000000003
2005-10-03,67,67,False,0.67,44.89
2005-10-04,0,0,False,0.0,0.0
2005-10-05,33,33,False,0.33,10.89
2005-10-06,34,34,False,0.34,11.56
2005-10-07,0,0,False,0.0,0.0
2005-10-08,0,0,False,0.0,0.0
2005-10-09,0,0,False,0.0,0.0
2005-10-10,69,69,False,0.69,47.61
2005-10-11,64,64,False,0.64,40.96
2005-10-12,100,100,False,1.0,100.0
2005-10-13,0,0,False,0.0,0.0
2005-10-14,0,0,False,0.0,0.0
2005-10-15,57,57,False,0.57,32.489999999999995
2005-10-16,54,54,False,0.54,29.160000000000004
2005-10-17,33,33,False,0.33,10.89
2005-10-18,0,0,False,0.0,0.0
2005-10-19,33,33,False,0.33,10.89
2005-10-20,33,33,False,0.33,10.89
2005-10-21,0,0,False,0.0,0.0
2005-10-22,0,0,False,0.0,0.0
2005-10-23,0,0,False,0.0,0.0
2005-10-24,32,32,False,0.32,10.24
2005-10-25,32,32,False,0.32,10.24
2005-10-26,0,0,False,0.0,0.0
2005-10-27,0,0,False,0.0,0.0
2005-10-28,36,36,False,0.36,12.959999999999999
2005-10-29,0,0,False,0.0,0.0
2005-10-30,55,55,False,0.55,30.250000000000004
2005-10-31,0,0,False,0.0,0.0
2005-11-01,64,64,False,0.64,40.96
2005-11-02,0,0,False,0.0,0.0
2005-11-03,0,0,False,0.0,0.0
