date,subsidy_unscaled,subsidy_monthly,isPartial,scale,subsidy
2005-05-29,0,0,False,0.0,0.0
2005-05-30,100,100,False,1.0,100.0
2005-05-31,61,61,False,0.61,37.21
2005-06-01,48,48,False,0.48,23.04
2005-06-02,49,49,False,0.49,24.009999999999998
2005-06-03,0,0,False,0.0,0.0
2005-06-04,62,62,False,0.62,38.44
2005-06-05,0,0,False,0.0,0.0
2005-06-06,25,25,False,0.25,6.25
2005-06-07,36,36,False,0.36,12.959999999999999
2005-06-08,48,48,False,0.48,23.04
2005-06-09,51,51,False,0.51,26.01
2005-06-10,27,27,False,0.27,7.290000000000001
2005-06-11,41,41,False,0.41,16.81
2005-06-12,87,87,False,0.87,75.69
2005-06-13,37,37,False,0.37,13.69
2005-06-14,74,74,False,0.74,54.76
2005-06-15,37,37,False,0.37,13.69
2005-06-16,38,38,False,0.38,14.44
2005-06-17,55,55,False,0.55,30.250000000000004
2005-06-18,0,0,False,0.0,0.0
2005-06-19,90,90,False,0.9,81.0
2005-06-20,100,100,False,1.0,100.0
2005-06-21,37,37,False,0.37,13.69
2005-06-22,25,25,False,0.25,6.25
2005-06-23,52,52,False,0.52,27.04
2005-06-24,42,42,False,0.42,17.64
2005-06-25,43,43,False,0.43,18.49
2005-06-26,88,88,False,0.88,77.44
2005-06-27,24,24,False,0.24,5.76
2005-06-28,48,48,False,0.48,23.04
2005-06-29,62,62,False,0.62,38.44
2005-06-30,0,0,False,0.0,0.0
2005-07-01,54,54,False,0.54,29.160000000000004
2005-07-02,0,0,False,0.0,0.0
2005-07-03,59,59,False,0.59,34.809999999999995
2005-07-04,0,0,False,0.0,0.0
2005-07-05,66,66,False,0.66,43.56
2005-07-06,30,30,False,0.3,9.0
2005-07-07,45,45,False,0.45,20.25
2005-07-08,32,32,False,0.32,10.24
2005-07-09,0,0,False,0.0,0.0
2005-07-10,51,51,False,0.51,26.01
2005-07-11,60,60,False,0.6,36.0
2005-07-12,0,0,False,0.0,0.0
2005-07-13,59,59,False,0.59,34.809999999999995
2005-07-14,60,60,False,0.6,36.0
2005-07-15,33,33,False,0.33,10.89
2005-07-16,100,100,False,1.0,100.0
2005-07-17,52,52,False,0.52,27.04
2005-07-18,58,58,False,0.58,33.64
2005-07-19,73,73,False,0.73,53.29
2005-07-20,59,59,False,0.59,34.809999999999995
2005-07-21,30,30,False,0.3,9.0
2005-07-22,99,99,False,0.99,98.01
2005-07-23,0,0,False,0.0,0.0
2005-07-24,50,50,False,0.5,25.0
2005-07-25,29,29,False,0.29,8.41
2005-07-26,86,86,False,0.86,73.96
2005-07-27,30,30,False,0.3,9.0
