date,the deficit_unscaled,the deficit_monthly,isPartial,scale,the deficit
2005-05-30,0,0,False,0.0,0.0
2005-05-31,0,0,False,0.0,0.0
2005-06-01,0,0,False,0.0,0.0
2005-06-02,0,0,False,0.0,0.0
2005-06-03,0,0,False,0.0,0.0
2005-06-04,56,56,False,0.56,31.360000000000003
2005-06-05,0,0,False,0.0,0.0
2005-06-06,0,0,False,0.0,0.0
2005-06-07,0,0,False,0.0,0.0
2005-06-08,0,0,False,0.0,0.0
2005-06-09,0,0,False,0.0,0.0
2005-06-10,0,0,False,0.0,0.0
2005-06-11,0,0,False,0.0,0.0
2005-06-12,0,0,False,0.0,0.0
2005-06-13,100,100,False,1.0,100.0
2005-06-14,0,0,False,0.0,0.0
2005-06-15,33,33,False,0.33,10.89
2005-06-16,34,34,False,0.34,11.56
2005-06-17,0,0,False,0.0,0.0
2005-06-18,0,0,False,0.0,0.0
2005-06-19,0,0,False,0.0,0.0
2005-06-20,0,0,False,0.0,0.0
2005-06-21,0,0,False,0.0,0.0
2005-06-22,0,0,False,0.0,0.0
2005-06-23,0,0,False,0.0,0.0
2005-06-24,0,0,False,0.0,0.0
2005-06-25,59,59,False,0.59,34.809999999999995
2005-06-26,0,0,False,0.0,0.0
2005-06-27,100,100,False,1.0,100.0
2005-06-28,0,0,False,0.0,0.0
2005-06-29,0,0,False,0.0,0.0
2005-06-30,0,0,False,0.0,0.0
2005-07-01,0,0,False,0.0,0.0
2005-07-02,0,0,False,0.0,0.0
2005-07-03,0,0,False,0.0,0.0
2005-07-04,0,0,False,0.0,0.0
2005-07-05,0,0,False,0.0,0.0
2005-07-06,0,0,False,0.0,0.0
2005-07-07,30,30,False,0.3,9.0
2005-07-08,32,32,False,0.32,10.24
2005-07-09,0,0,False,0.0,0.0
2005-07-10,0,0,False,0.0,0.0
2005-07-11,0,0,False,0.0,0.0
2005-07-12,29,29,False,0.29,8.41
2005-07-13,0,0,False,0.0,0.0
2005-07-14,0,0,False,0.0,0.0
2005-07-15,0,0,False,0.0,0.0
2005-07-16,0,0,False,0.0,0.0
2005-07-17,0,0,False,0.0,0.0
2005-07-18,0,0,False,0.0,0.0
2005-07-19,0,0,False,0.0,0.0
2005-07-20,0,0,False,0.0,0.0
2005-07-21,31,31,False,0.31,9.61
2005-07-22,0,0,False,0.0,0.0
2005-07-23,0,0,False,0.0,0.0
2005-07-24,51,51,False,0.51,26.01
2005-07-25,29,29,False,0.29,8.41
2005-07-26,0,0,False,0.0,0.0
2005-07-27,0,0,False,0.0,0.0
2005-07-28,0,0,False,0.0,0.0
2005-07-29,0,0,False,0.0,0.0
2005-07-30,100,100,False,1.0,100.0
2005-07-31,51,51,False,0.51,26.01
2005-08-01,0,0,False,0.0,0.0
2005-08-02,0,0,False,0.0,0.0
2005-08-03,0,0,False,0.0,0.0
2005-08-04,67,67,False,0.67,44.89
2005-08-05,0,0,False,0.0,0.0
2005-08-06,0,0,False,0.0,0.0
2005-08-07,0,0,False,0.0,0.0
2005-08-08,0,0,False,0.0,0.0
2005-08-09,0,0,False,0.0,0.0
2005-08-10,0,0,False,0.0,0.0
2005-08-11,66,66,False,0.66,43.56
2005-08-12,0,0,False,0.0,0.0
2005-08-13,0,0,False,0.0,0.0
2005-08-14,0,0,False,0.0,0.0
2005-08-15,0,0,False,0.0,0.0
2005-08-16,63,63,False,0.63,39.69
2005-08-17,0,0,False,0.0,0.0
2005-08-18,0,0,False,0.0,0.0
2005-08-19,0,0,False,0.0,0.0
2005-08-20,0,0,False,0.0,0.0
2005-08-21,0,0,False,0.0,0.0
2005-08-22,0,0,False,0.0,0.0
2005-08-23,0,0,False,0.0,0.0
2005-08-24,0,0,False,0.0,0.0
2005-08-25,0,0,False,0.0,0.0
2005-08-26,0,0,False,0.0,0.0
2005-08-27,0,0,False,0.0,0.0
2005-08-28,100,100,False,1.0,100.0
2005-08-29,61,61,False,0.61,37.21
2005-08-30,0,0,False,0.0,0.0
2005-08-31,0,0,False,0.0,0.0
2005-09-01,38,38,False,0.38,14.44
2005-09-02,42,42,False,0.42,17.64
2005-09-03,0,0,False,0.0,0.0
2005-09-04,66,66,False,0.66,43.56
2005-09-05,0,0,False,0.0,0.0
2005-09-06,0,0,False,0.0,0.0
2005-09-07,36,36,False,0.36,12.959999999999999
2005-09-08,36,36,False,0.36,12.959999999999999
2005-09-09,0,0,False,0.0,0.0
2005-09-10,0,0,False,0.0,0.0
2005-09-11,0,0,False,0.0,0.0
2005-09-12,35,35,False,0.35,12.25
2005-09-13,69,69,False,0.69,47.61
2005-09-14,0,0,False,0.0,0.0
2005-09-15,0,0,False,0.0,0.0
2005-09-16,0,0,False,0.0,0.0
2005-09-17,0,0,False,0.0,0.0
2005-09-18,0,0,False,0.0,0.0
2005-09-19,69,69,False,0.69,47.61
2005-09-20,0,0,False,0.0,0.0
2005-09-21,34,34,False,0.34,11.56
2005-09-22,0,0,False,0.0,0.0
2005-09-23,0,0,False,0.0,0.0
2005-09-24,58,58,False,0.58,33.64
2005-09-25,0,0,False,0.0,0.0
2005-09-26,34,34,False,0.34,11.56
2005-09-27,100,100,False,1.0,100.0
2005-09-28,34,34,False,0.34,11.56
2005-09-29,0,0,False,0.0,0.0
2005-09-30,0,0,False,0.0,0.0
2005-10-01,0,0,False,0.0,0.0
2005-10-02,0,0,False,0.0,0.0
2005-10-03,0,0,False,0.0,0.0
2005-10-04,46,46,False,0.46,21.16
2005-10-05,92,92,False,0.92,84.64
2005-10-06,94,94,False,0.94,88.36
2005-10-07,50,50,False,0.5,25.0
2005-10-08,77,77,False,0.77,59.29
2005-10-09,0,0,False,0.0,0.0
2005-10-10,0,0,False,0.0,0.0
2005-10-11,91,91,False,0.91,82.81
2005-10-12,46,46,False,0.46,21.16
2005-10-13,47,47,False,0.47,22.09
2005-10-14,0,0,False,0.0,0.0
2005-10-15,0,0,False,0.0,0.0
2005-10-16,0,0,False,0.0,0.0
2005-10-17,0,0,False,0.0,0.0
2005-10-18,45,45,False,0.45,20.25
2005-10-19,45,45,False,0.45,20.25
2005-10-20,46,46,False,0.46,21.16
2005-10-21,100,100,False,1.0,100.0
2005-10-22,0,0,False,0.0,0.0
2005-10-23,0,0,False,0.0,0.0
2005-10-24,0,0,False,0.0,0.0
2005-10-25,0,0,False,0.0,0.0
2005-10-26,0,0,False,0.0,0.0
2005-10-27,46,46,False,0.46,21.16
2005-10-28,0,0,False,0.0,0.0
2005-10-29,77,77,False,0.77,59.29
2005-10-30,76,76,False,0.76,57.76
2005-10-31,0,0,False,0.0,0.0
2005-11-01,27,27,False,0.27,7.290000000000001
2005-11-02,26,26,False,0.26,6.76
2005-11-03,0,0,False,0.0,0.0
2005-11-04,0,0,False,0.0,0.0
2005-11-05,0,0,False,0.0,0.0
