date,profit_unscaled,profit_monthly,isPartial,scale,profit
2005-05-26,56,56,False,0.56,31.360000000000003
2005-05-27,34,34,False,0.34,11.56
2005-05-28,16,16,False,0.16,2.56
2005-05-29,49,49,False,0.49,24.009999999999998
2005-05-30,68,68,False,0.68,46.24
2005-05-31,74,74,False,0.74,54.76
2005-06-01,80,80,False,0.8,64.0
2005-06-02,74,74,False,0.74,54.76
2005-06-03,80,80,False,0.8,64.0
2005-06-04,52,52,False,0.52,27.04
2005-06-05,78,78,False,0.78,60.84
2005-06-06,68,68,False,0.68,46.24
2005-06-07,89,89,False,0.89,79.21000000000001
2005-06-08,78,78,False,0.78,60.84
2005-06-09,63,63,False,0.63,39.69
2005-06-10,30,30,False,0.3,9.0
2005-06-11,59,59,False,0.59,34.809999999999995
2005-06-12,30,30,False,0.3,9.0
2005-06-13,90,90,False,0.9,81.0
2005-06-14,100,100,False,1.0,100.0
2005-06-15,73,73,False,0.73,53.29
2005-06-16,89,89,False,0.89,79.21000000000001
2005-06-17,72,72,False,0.72,51.839999999999996
2005-06-18,67,67,False,0.67,44.89
2005-06-19,44,44,False,0.44,19.36
2005-06-20,76,76,False,0.76,57.76
2005-06-21,83,83,False,0.83,68.89
2005-06-22,80,80,False,0.8,64.0
2005-06-23,83,83,False,0.83,68.89
2005-06-24,73,73,False,0.73,53.29
2005-06-25,18,18,False,0.18,3.2399999999999998
2005-06-26,50,50,False,0.5,25.0
2005-06-27,69,69,False,0.69,47.61
2005-06-28,82,82,False,0.82,67.24
2005-06-29,79,79,False,0.79,62.410000000000004
2005-06-30,49,49,False,0.49,24.009999999999998
2005-07-01,52,52,False,0.52,27.04
2005-07-02,36,36,False,0.36,12.959999999999999
2005-07-03,22,22,False,0.22,4.84
2005-07-04,34,34,False,0.34,11.56
2005-07-05,93,93,False,0.93,86.49000000000001
2005-07-06,76,76,False,0.76,57.76
2005-07-07,70,70,False,0.7,49.0
2005-07-08,100,100,False,1.0,100.0
2005-07-09,36,36,False,0.36,12.959999999999999
2005-07-10,71,71,False,0.71,50.41
2005-07-11,54,54,False,0.54,29.160000000000004
2005-07-12,62,62,False,0.62,38.44
2005-07-13,80,80,False,0.8,64.0
2005-07-14,58,58,False,0.58,33.64
2005-07-15,47,47,False,0.47,22.09
2005-07-16,74,74,False,0.74,54.76
2005-07-17,47,47,False,0.47,22.09
2005-07-18,51,51,False,0.51,26.01
2005-07-19,48,48,False,0.48,23.04
2005-07-20,63,63,False,0.63,39.69
2005-07-21,53,53,False,0.53,28.09
2005-07-22,62,62,False,0.62,38.44
2005-07-23,55,55,False,0.55,30.250000000000004
2005-07-24,56,56,False,0.56,31.360000000000003
2005-07-25,49,49,False,0.49,24.009999999999998
2005-07-26,89,89,False,0.89,79.21000000000001
2005-07-27,63,63,False,0.63,39.69
2005-07-28,80,80,False,0.8,64.0
2005-07-29,72,72,False,0.72,51.839999999999996
2005-07-30,55,55,False,0.55,30.250000000000004
2005-07-31,65,65,False,0.65,42.25
2005-08-01,100,100,False,1.0,100.0
2005-08-02,66,66,False,0.66,43.56
2005-08-03,75,75,False,0.75,56.25
2005-08-04,82,82,False,0.82,67.24
2005-08-05,69,69,False,0.69,47.61
2005-08-06,39,39,False,0.39,15.21
2005-08-07,39,39,False,0.39,15.21
2005-08-08,48,48,False,0.48,23.04
2005-08-09,70,70,False,0.7,49.0
2005-08-10,85,85,False,0.85,72.25
2005-08-11,61,61,False,0.61,37.21
2005-08-12,86,86,False,0.86,73.96
2005-08-13,19,19,False,0.19,3.61
2005-08-14,77,77,False,0.77,59.29
2005-08-15,54,54,False,0.54,29.160000000000004
2005-08-16,60,60,False,0.6,36.0
2005-08-17,84,84,False,0.84,70.56
2005-08-18,65,65,False,0.65,42.25
2005-08-19,70,70,False,0.7,49.0
2005-08-20,60,60,False,0.6,36.0
2005-08-21,75,75,False,0.75,56.25
2005-08-22,79,79,False,0.79,62.410000000000004
2005-08-23,69,69,False,0.69,47.61
2005-08-24,81,81,False,0.81,65.61
2005-08-25,71,71,False,0.71,50.41
2005-08-26,53,53,False,0.53,28.09
2005-08-27,67,67,False,0.67,44.89
2005-08-28,75,75,False,0.75,56.25
2005-08-29,52,52,False,0.52,27.04
2005-08-30,51,51,False,0.51,26.01
2005-08-31,68,68,False,0.68,46.24
2005-09-01,71,71,False,0.71,50.41
2005-09-02,70,70,False,0.7,49.0
2005-09-03,20,20,False,0.2,4.0
2005-09-04,32,32,False,0.32,10.24
2005-09-05,49,49,False,0.49,24.009999999999998
2005-09-06,53,53,False,0.53,28.09
2005-09-07,81,81,False,0.81,65.61
2005-09-08,55,55,False,0.55,30.250000000000004
2005-09-09,40,40,False,0.4,16.0
2005-09-10,37,37,False,0.37,13.69
2005-09-11,69,69,False,0.69,47.61
2005-09-12,65,65,False,0.65,42.25
2005-09-13,70,70,False,0.7,49.0
2005-09-14,77,77,False,0.77,59.29
2005-09-15,59,59,False,0.59,34.809999999999995
2005-09-16,100,100,False,1.0,100.0
2005-09-17,83,83,False,0.83,68.89
