date,poverty line_unscaled,poverty line_monthly,isPartial,scale,poverty line
2005-05-28,0,0,False,0.0,0.0
2005-05-29,100,100,False,1.0,100.0
2005-05-30,83,83,False,0.83,68.89
2005-05-31,51,51,False,0.51,26.01
2005-06-01,62,62,False,0.62,38.44
2005-06-02,33,33,False,0.33,10.89
2005-06-03,34,34,False,0.34,11.56
2005-06-04,0,0,False,0.0,0.0
2005-06-05,56,56,False,0.56,31.360000000000003
2005-06-06,49,49,False,0.49,24.009999999999998
2005-06-07,48,48,False,0.48,23.04
2005-06-08,0,0,False,0.0,0.0
2005-06-09,33,33,False,0.33,10.89
2005-06-10,0,0,False,0.0,0.0
2005-06-11,55,55,False,0.55,30.250000000000004
2005-06-12,0,0,False,0.0,0.0
2005-06-13,33,33,False,0.33,10.89
2005-06-14,0,0,False,0.0,0.0
2005-06-15,33,33,False,0.33,10.89
2005-06-16,33,33,False,0.33,10.89
2005-06-17,36,36,False,0.36,12.959999999999999
2005-06-18,58,58,False,0.58,33.64
2005-06-19,0,0,False,0.0,0.0
2005-06-20,100,100,False,1.0,100.0
2005-06-21,0,0,False,0.0,0.0
2005-06-22,0,0,False,0.0,0.0
2005-06-23,68,68,False,0.68,46.24
2005-06-24,37,37,False,0.37,13.69
2005-06-25,0,0,False,0.0,0.0
2005-06-26,0,0,False,0.0,0.0
2005-06-27,33,33,False,0.33,10.89
2005-06-28,0,0,False,0.0,0.0
2005-06-29,33,33,False,0.33,10.89
2005-06-30,34,34,False,0.34,11.56
2005-07-01,0,0,False,0.0,0.0
2005-07-02,0,0,False,0.0,0.0
2005-07-03,0,0,False,0.0,0.0
2005-07-04,0,0,False,0.0,0.0
2005-07-05,36,36,False,0.36,12.959999999999999
2005-07-06,0,0,False,0.0,0.0
2005-07-07,0,0,False,0.0,0.0
2005-07-08,0,0,False,0.0,0.0
2005-07-09,0,0,False,0.0,0.0
2005-07-10,0,0,False,0.0,0.0
2005-07-11,100,100,False,1.0,100.0
2005-07-12,32,32,False,0.32,10.24
2005-07-13,0,0,False,0.0,0.0
2005-07-14,0,0,False,0.0,0.0
2005-07-15,34,34,False,0.34,11.56
2005-07-16,0,0,False,0.0,0.0
2005-07-17,57,57,False,0.57,32.489999999999995
2005-07-18,31,31,False,0.31,9.61
2005-07-19,31,31,False,0.31,9.61
2005-07-20,0,0,False,0.0,0.0
2005-07-21,0,0,False,0.0,0.0
2005-07-22,37,37,False,0.37,13.69
2005-07-23,53,53,False,0.53,28.09
2005-07-24,0,0,False,0.0,0.0
2005-07-25,0,0,False,0.0,0.0
2005-07-26,0,0,False,0.0,0.0
2005-07-27,33,33,False,0.33,10.89
2005-07-28,34,34,False,0.34,11.56
2005-07-29,0,0,False,0.0,0.0
2005-07-30,53,53,False,0.53,28.09
2005-07-31,0,0,False,0.0,0.0
2005-08-01,35,35,False,0.35,12.25
2005-08-02,35,35,False,0.35,12.25
2005-08-03,0,0,False,0.0,0.0
2005-08-04,73,73,False,0.73,53.29
2005-08-05,0,0,False,0.0,0.0
2005-08-06,0,0,False,0.0,0.0
2005-08-07,0,0,False,0.0,0.0
2005-08-08,0,0,False,0.0,0.0
2005-08-09,0,0,False,0.0,0.0
2005-08-10,35,35,False,0.35,12.25
2005-08-11,0,0,False,0.0,0.0
2005-08-12,38,38,False,0.38,14.44
2005-08-13,58,58,False,0.58,33.64
2005-08-14,59,59,False,0.59,34.809999999999995
2005-08-15,71,71,False,0.71,50.41
2005-08-16,0,0,False,0.0,0.0
2005-08-17,36,36,False,0.36,12.959999999999999
2005-08-18,36,36,False,0.36,12.959999999999999
2005-08-19,0,0,False,0.0,0.0
2005-08-20,0,0,False,0.0,0.0
2005-08-21,0,0,False,0.0,0.0
2005-08-22,35,35,False,0.35,12.25
2005-08-23,67,67,False,0.67,44.89
2005-08-24,0,0,False,0.0,0.0
2005-08-25,46,46,False,0.46,21.16
2005-08-26,36,36,False,0.36,12.959999999999999
2005-08-27,0,0,False,0.0,0.0
2005-08-28,54,54,False,0.54,29.160000000000004
2005-08-29,100,100,False,1.0,100.0
2005-08-30,0,0,False,0.0,0.0
2005-08-31,66,66,False,0.66,43.56
2005-09-01,0,0,False,0.0,0.0
2005-09-02,27,27,False,0.27,7.290000000000001
2005-09-03,0,0,False,0.0,0.0
2005-09-04,65,65,False,0.65,42.25
2005-09-05,0,0,False,0.0,0.0
2005-09-06,0,0,False,0.0,0.0
2005-09-07,0,0,False,0.0,0.0
2005-09-08,70,70,False,0.7,49.0
2005-09-09,100,100,False,1.0,100.0
2005-09-10,0,0,False,0.0,0.0
2005-09-11,55,55,False,0.55,30.250000000000004
