date,BENEFITS_unscaled,BENEFITS_monthly,isPartial,scale,BENEFITS
2013-09-02,69,69.0,,0.69,47.61
2013-09-03,87,69.0,,0.69,60.029999999999994
2013-09-04,97,69.0,,0.69,66.92999999999999
2013-09-05,87,69.0,,0.69,60.029999999999994
2013-09-06,82,69.0,,0.69,56.58
2013-09-07,67,69.0,,0.69,46.23
2013-09-08,78,69.0,,0.69,53.81999999999999
2013-09-09,96,69.0,,0.69,66.24
2013-09-10,92,69.0,,0.69,63.48
2013-09-11,89,69.0,,0.69,61.41
2013-09-12,90,69.0,,0.69,62.099999999999994
2013-09-13,78,69.0,,0.69,53.81999999999999
2013-09-14,64,69.0,,0.69,44.16
2013-09-15,72,69.0,,0.69,49.67999999999999
2013-09-16,86,69.0,,0.69,59.339999999999996
2013-09-17,91,69.0,,0.69,62.78999999999999
2013-09-18,93,69.0,,0.69,64.17
2013-09-19,86,69.0,,0.69,59.339999999999996
2013-09-20,81,69.0,,0.69,55.88999999999999
2013-09-21,63,69.0,,0.69,43.47
2013-09-22,73,69.0,,0.69,50.37
2013-09-23,100,69.0,,0.69,69.0
2013-09-24,95,69.0,,0.69,65.55
2013-09-25,89,69.0,,0.69,61.41
2013-09-26,94,69.0,,0.69,64.86
2013-09-27,81,69.0,,0.69,55.88999999999999
2013-09-28,64,69.0,,0.69,44.16
2013-09-29,78,69.0,,0.69,53.81999999999999
2013-09-30,91,69.0,,0.69,62.78999999999999
2013-10-01,100,79.0,False,0.79,79.0
2013-10-02,92,79.0,,0.79,72.68
2013-10-03,85,79.0,,0.79,67.15
2013-10-04,71,79.0,,0.79,56.09
2013-10-05,59,79.0,,0.79,46.61
2013-10-06,69,79.0,,0.79,54.510000000000005
2013-10-07,86,79.0,,0.79,67.94
2013-10-08,96,79.0,,0.79,75.84
2013-10-09,96,79.0,,0.79,75.84
2013-10-10,90,79.0,,0.79,71.10000000000001
2013-10-11,75,79.0,,0.79,59.25
2013-10-12,63,79.0,,0.79,49.77
2013-10-13,75,79.0,,0.79,59.25
2013-10-14,88,79.0,,0.79,69.52000000000001
2013-10-15,89,79.0,,0.79,70.31
2013-10-16,88,79.0,,0.79,69.52000000000001
2013-10-17,87,79.0,,0.79,68.73
2013-10-18,76,79.0,,0.79,60.040000000000006
2013-10-19,61,79.0,,0.79,48.190000000000005
