date,bankruptcy court_unscaled,bankruptcy court_monthly,isPartial,scale,bankruptcy court
2005-05-27,75,75,False,0.75,56.25
2005-05-28,40,40,False,0.4,16.0
2005-05-29,21,21,False,0.21,4.41
2005-05-30,36,36,False,0.36,12.959999999999999
2005-05-31,65,65,False,0.65,42.25
2005-06-01,83,83,False,0.83,68.89
2005-06-02,71,71,False,0.71,50.41
2005-06-03,61,61,False,0.61,37.21
2005-06-04,49,49,False,0.49,24.009999999999998
2005-06-05,0,0,False,0.0,0.0
2005-06-06,58,58,False,0.58,33.64
2005-06-07,85,85,False,0.85,72.25
2005-06-08,42,42,False,0.42,17.64
2005-06-09,59,59,False,0.59,34.809999999999995
2005-06-10,32,32,False,0.32,10.24
2005-06-11,0,0,False,0.0,0.0
2005-06-12,25,25,False,0.25,6.25
2005-06-13,72,72,False,0.72,51.839999999999996
2005-06-14,100,100,False,1.0,100.0
2005-06-15,29,29,False,0.29,8.41
2005-06-16,59,59,False,0.59,34.809999999999995
2005-06-17,96,96,False,0.96,92.16
2005-06-18,0,0,False,0.0,0.0
2005-06-19,0,0,False,0.0,0.0
2005-06-20,59,59,False,0.59,34.809999999999995
2005-06-21,15,15,False,0.15,2.25
2005-06-22,73,73,False,0.73,53.29
2005-06-23,61,61,False,0.61,37.21
2005-06-24,49,49,False,0.49,24.009999999999998
2005-06-25,51,51,False,0.51,26.01
2005-06-26,0,0,False,0.0,0.0
2005-06-27,72,72,False,0.72,51.839999999999996
2005-06-28,57,57,False,0.57,32.489999999999995
2005-06-29,15,15,False,0.15,2.25
2005-06-30,45,45,False,0.45,20.25
2005-07-01,44,44,False,0.44,19.36
2005-07-02,23,23,False,0.23,5.29
2005-07-03,100,100,False,1.0,100.0
2005-07-04,43,43,False,0.43,18.49
2005-07-05,54,54,False,0.54,29.160000000000004
2005-07-06,61,61,False,0.61,37.21
2005-07-07,49,49,False,0.49,24.009999999999998
2005-07-08,92,92,False,0.92,84.64
2005-07-09,20,20,False,0.2,4.0
2005-07-10,0,0,False,0.0,0.0
2005-07-11,61,61,False,0.61,37.21
2005-07-12,49,49,False,0.49,24.009999999999998
2005-07-13,49,49,False,0.49,24.009999999999998
2005-07-14,38,38,False,0.38,14.44
2005-07-15,40,40,False,0.4,16.0
2005-07-16,0,0,False,0.0,0.0
2005-07-17,21,21,False,0.21,4.41
2005-07-18,84,84,False,0.84,70.56
2005-07-19,12,12,False,0.12,1.44
2005-07-20,61,61,False,0.61,37.21
2005-07-21,87,87,False,0.87,75.69
2005-07-22,93,93,False,0.93,86.49000000000001
2005-07-23,41,41,False,0.41,16.81
2005-07-24,0,0,False,0.0,0.0
2005-07-25,48,48,False,0.48,23.04
2005-07-26,24,24,False,0.24,5.76
2005-07-27,24,24,False,0.24,5.76
