date,CAR DONATE_unscaled,CAR DONATE_monthly,isPartial,scale,CAR DONATE
2005-05-18,52,57.0,,0.57,29.639999999999997
2005-05-19,0,57.0,,0.57,0.0
2005-05-20,0,57.0,,0.57,0.0
2005-05-21,0,57.0,,0.57,0.0
2005-05-22,0,57.0,,0.57,0.0
2005-05-23,26,57.0,,0.57,14.819999999999999
2005-05-24,0,57.0,,0.57,0.0
2005-05-25,0,57.0,,0.57,0.0
2005-05-26,0,57.0,,0.57,0.0
2005-05-27,0,57.0,,0.57,0.0
2005-05-28,49,57.0,,0.57,27.929999999999996
2005-05-29,0,57.0,,0.57,0.0
2005-05-30,43,57.0,,0.57,24.509999999999998
2005-05-31,0,57.0,,0.57,0.0
2005-06-01,64,70.0,False,0.7,44.8
2005-06-02,32,70.0,,0.7,22.4
2005-06-03,0,70.0,,0.7,0.0
2005-06-04,55,70.0,,0.7,38.5
2005-06-05,0,70.0,,0.7,0.0
2005-06-06,64,70.0,,0.7,44.8
2005-06-07,0,70.0,,0.7,0.0
2005-06-08,0,70.0,,0.7,0.0
2005-06-09,33,70.0,,0.7,23.099999999999998
2005-06-10,36,70.0,,0.7,25.2
2005-06-11,0,70.0,,0.7,0.0
2005-06-12,0,70.0,,0.7,0.0
2005-06-13,65,70.0,,0.7,45.5
2005-06-14,65,70.0,,0.7,45.5
2005-06-15,0,70.0,,0.7,0.0
2005-06-16,34,70.0,,0.7,23.799999999999997
2005-06-17,0,70.0,,0.7,0.0
2005-06-18,58,70.0,,0.7,40.599999999999994
2005-06-19,0,70.0,,0.7,0.0
2005-06-20,33,70.0,,0.7,23.099999999999998
2005-06-21,33,70.0,,0.7,23.099999999999998
2005-06-22,100,70.0,,0.7,70.0
2005-06-23,69,70.0,,0.7,48.3
2005-06-24,37,70.0,,0.7,25.9
2005-06-25,0,70.0,,0.7,0.0
2005-06-26,0,70.0,,0.7,0.0
2005-06-27,33,70.0,,0.7,23.099999999999998
2005-06-28,0,70.0,,0.7,0.0
2005-06-29,32,70.0,,0.7,22.4
2005-06-30,0,70.0,,0.7,0.0
2005-07-01,73,60.0,False,0.6,43.8
2005-07-02,0,60.0,,0.6,0.0
2005-07-03,0,60.0,,0.6,0.0
2005-07-04,0,60.0,,0.6,0.0
2005-07-05,33,60.0,,0.6,19.8
