date,the patron_unscaled,the patron_monthly,isPartial,scale,the patron
2008-12-10,23,80.0,,0.8,18.400000000000002
2008-12-11,31,80.0,,0.8,24.8
2008-12-12,33,80.0,,0.8,26.400000000000002
2008-12-13,23,80.0,,0.8,18.400000000000002
2008-12-14,23,80.0,,0.8,18.400000000000002
2008-12-15,100,80.0,,0.8,80.0
2008-12-16,23,80.0,,0.8,18.400000000000002
2008-12-17,16,80.0,,0.8,12.8
2008-12-18,58,80.0,,0.8,46.400000000000006
2008-12-19,62,80.0,,0.8,49.6
2008-12-20,12,80.0,,0.8,9.600000000000001
2008-12-21,52,80.0,,0.8,41.6
2008-12-22,18,80.0,,0.8,14.4
2008-12-23,37,80.0,,0.8,29.6
2008-12-24,69,80.0,,0.8,55.2
2008-12-25,16,80.0,,0.8,12.8
2008-12-26,25,80.0,,0.8,20.0
2008-12-27,13,80.0,,0.8,10.4
2008-12-28,13,80.0,,0.8,10.4
2008-12-29,0,80.0,,0.8,0.0
2008-12-30,18,80.0,,0.8,14.4
2008-12-31,19,80.0,,0.8,15.200000000000001
2009-01-01,46,50.0,False,0.5,23.0
2009-01-02,32,50.0,,0.5,16.0
2009-01-03,76,50.0,,0.5,38.0
2009-01-04,38,50.0,,0.5,19.0
2009-01-05,13,50.0,,0.5,6.5
2009-01-06,64,50.0,,0.5,32.0
2009-01-07,38,50.0,,0.5,19.0
2009-01-08,38,50.0,,0.5,19.0
2009-01-09,53,50.0,,0.5,26.5
2009-01-10,55,50.0,,0.5,27.5
2009-01-11,93,50.0,,0.5,46.5
2009-01-12,13,50.0,,0.5,6.5
2009-01-13,25,50.0,,0.5,12.5
2009-01-14,25,50.0,,0.5,12.5
2009-01-15,26,50.0,,0.5,13.0
2009-01-16,26,50.0,,0.5,13.0
2009-01-17,0,50.0,,0.5,0.0
2009-01-18,77,50.0,,0.5,38.5
2009-01-19,42,50.0,,0.5,21.0
2009-01-20,37,50.0,,0.5,18.5
2009-01-21,37,50.0,,0.5,18.5
2009-01-22,100,50.0,,0.5,50.0
2009-01-23,39,50.0,,0.5,19.5
2009-01-24,18,50.0,,0.5,9.0
2009-01-25,54,50.0,,0.5,27.0
2009-01-26,49,50.0,,0.5,24.5
2009-01-27,0,50.0,,0.5,0.0
2009-01-28,24,50.0,,0.5,12.0
2009-01-29,50,50.0,,0.5,25.0
2009-01-30,0,50.0,,0.5,0.0
2009-01-31,35,50.0,,0.5,17.5
2009-02-01,17,69.0,False,0.69,11.729999999999999
2009-02-02,34,69.0,,0.69,23.459999999999997
2009-02-03,43,69.0,,0.69,29.669999999999998
2009-02-04,65,69.0,,0.69,44.849999999999994
2009-02-05,100,69.0,,0.69,69.0
2009-02-06,46,69.0,,0.69,31.74
2009-02-07,66,69.0,,0.69,45.54
2009-02-08,33,69.0,,0.69,22.77
2009-02-09,55,69.0,,0.69,37.949999999999996
2009-02-10,21,69.0,,0.69,14.489999999999998
2009-02-11,11,69.0,,0.69,7.59
2009-02-12,22,69.0,,0.69,15.18
2009-02-13,24,69.0,,0.69,16.56
2009-02-14,0,69.0,,0.69,0.0
2009-02-15,18,69.0,,0.69,12.419999999999998
2009-02-16,24,69.0,,0.69,16.56
2009-02-17,33,69.0,,0.69,22.77
2009-02-18,43,69.0,,0.69,29.669999999999998
2009-02-19,22,69.0,,0.69,15.18
2009-02-20,80,69.0,,0.69,55.199999999999996
2009-02-21,33,69.0,,0.69,22.77
2009-02-22,0,69.0,,0.69,0.0
2009-02-23,44,69.0,,0.69,30.36
2009-02-24,0,69.0,,0.69,0.0
2009-02-25,44,69.0,,0.69,30.36
2009-02-26,66,69.0,,0.69,45.54
2009-02-27,69,69.0,,0.69,47.61
2009-02-28,32,69.0,,0.69,22.08
2009-03-01,33,64.0,False,0.64,21.12
2009-03-02,0,64.0,,0.64,0.0
2009-03-03,33,64.0,,0.64,21.12
2009-03-04,56,64.0,,0.64,35.84
2009-03-05,68,64.0,,0.64,43.52
2009-03-06,24,64.0,,0.64,15.36
2009-03-07,0,64.0,,0.64,0.0
2009-03-08,68,64.0,,0.64,43.52
2009-03-09,11,64.0,,0.64,7.04
2009-03-10,22,64.0,,0.64,14.08
2009-03-11,22,64.0,,0.64,14.08
2009-03-12,34,64.0,,0.64,21.76
2009-03-13,60,64.0,,0.64,38.4
2009-03-14,51,64.0,,0.64,32.64
2009-03-15,68,64.0,,0.64,43.52
2009-03-16,34,64.0,,0.64,21.76
2009-03-17,45,64.0,,0.64,28.8
2009-03-18,47,64.0,,0.64,30.080000000000002
2009-03-19,68,64.0,,0.64,43.52
2009-03-20,0,64.0,,0.64,0.0
2009-03-21,17,64.0,,0.64,10.88
2009-03-22,69,64.0,,0.64,44.160000000000004
2009-03-23,100,64.0,,0.64,64.0
2009-03-24,44,64.0,,0.64,28.16
2009-03-25,11,64.0,,0.64,7.04
2009-03-26,45,64.0,,0.64,28.8
2009-03-27,48,64.0,,0.64,30.72
2009-03-28,17,64.0,,0.64,10.88
2009-03-29,50,64.0,,0.64,32.0
2009-03-30,22,64.0,,0.64,14.08
2009-03-31,32,64.0,,0.64,20.48
2009-04-01,13,60.0,False,0.6,7.8
2009-04-02,52,60.0,,0.6,31.2
2009-04-03,27,60.0,,0.6,16.2
2009-04-04,39,60.0,,0.6,23.4
2009-04-05,60,60.0,,0.6,36.0
2009-04-06,64,60.0,,0.6,38.4
2009-04-07,88,60.0,,0.6,52.8
2009-04-08,52,60.0,,0.6,31.2
2009-04-09,41,60.0,,0.6,24.599999999999998
2009-04-10,31,60.0,,0.6,18.599999999999998
2009-04-11,40,60.0,,0.6,24.0
2009-04-12,21,60.0,,0.6,12.6
2009-04-13,13,60.0,,0.6,7.8
2009-04-14,25,60.0,,0.6,15.0
2009-04-15,75,60.0,,0.6,45.0
2009-04-16,65,60.0,,0.6,39.0
2009-04-17,56,60.0,,0.6,33.6
2009-04-18,20,60.0,,0.6,12.0
2009-04-19,40,60.0,,0.6,24.0
2009-04-20,87,60.0,,0.6,52.199999999999996
2009-04-21,50,60.0,,0.6,30.0
2009-04-22,74,60.0,,0.6,44.4
2009-04-23,65,60.0,,0.6,39.0
2009-04-24,56,60.0,,0.6,33.6
2009-04-25,41,60.0,,0.6,24.599999999999998
2009-04-26,20,60.0,,0.6,12.0
2009-04-27,100,60.0,,0.6,60.0
2009-04-28,25,60.0,,0.6,15.0
2009-04-29,75,60.0,,0.6,45.0
2009-04-30,64,60.0,,0.6,38.4
2009-05-01,29,53.0,False,0.53,15.370000000000001
2009-05-02,68,53.0,,0.53,36.04
2009-05-03,27,53.0,,0.53,14.31
2009-05-04,18,53.0,,0.53,9.540000000000001
2009-05-05,60,53.0,,0.53,31.8
2009-05-06,62,53.0,,0.53,32.86
2009-05-07,18,53.0,,0.53,9.540000000000001
2009-05-08,10,53.0,,0.53,5.300000000000001
2009-05-09,0,53.0,,0.53,0.0
2009-05-10,60,53.0,,0.53,31.8
2009-05-11,36,53.0,,0.53,19.080000000000002
2009-05-12,18,53.0,,0.53,9.540000000000001
2009-05-13,35,53.0,,0.53,18.55
2009-05-14,27,53.0,,0.53,14.31
2009-05-15,48,53.0,,0.53,25.44
2009-05-16,28,53.0,,0.53,14.84
2009-05-17,56,53.0,,0.53,29.68
2009-05-18,45,53.0,,0.53,23.85
2009-05-19,35,53.0,,0.53,18.55
2009-05-20,27,53.0,,0.53,14.31
2009-05-21,46,53.0,,0.53,24.380000000000003
2009-05-22,51,53.0,,0.53,27.03
2009-05-23,0,53.0,,0.53,0.0
2009-05-24,16,53.0,,0.53,8.48
2009-05-25,0,53.0,,0.53,0.0
2009-05-26,27,53.0,,0.53,14.31
2009-05-27,18,53.0,,0.53,9.540000000000001
2009-05-28,45,53.0,,0.53,23.85
2009-05-29,29,53.0,,0.53,15.370000000000001
2009-05-30,100,53.0,,0.53,53.0
2009-05-31,29,53.0,,0.53,15.370000000000001
2009-06-01,12,75.0,False,0.75,9.0
2009-06-02,0,75.0,,0.75,0.0
2009-06-03,20,75.0,,0.75,15.0
2009-06-04,12,75.0,,0.75,9.0
2009-06-05,9,75.0,,0.75,6.75
2009-06-06,100,75.0,,0.75,75.0
2009-06-07,13,75.0,,0.75,9.75
2009-06-08,12,75.0,,0.75,9.0
2009-06-09,0,75.0,,0.75,0.0
2009-06-10,8,75.0,,0.75,6.0
2009-06-11,28,75.0,,0.75,21.0
2009-06-12,9,75.0,,0.75,6.75
2009-06-13,13,75.0,,0.75,9.75
2009-06-14,19,75.0,,0.75,14.25
2009-06-15,20,75.0,,0.75,15.0
2009-06-16,12,75.0,,0.75,9.0
2009-06-17,8,75.0,,0.75,6.0
2009-06-18,20,75.0,,0.75,15.0
2009-06-19,35,75.0,,0.75,26.25
2009-06-20,12,75.0,,0.75,9.0
2009-06-21,33,75.0,,0.75,24.75
2009-06-22,8,75.0,,0.75,6.0
2009-06-23,20,75.0,,0.75,15.0
2009-06-24,8,75.0,,0.75,6.0
2009-06-25,8,75.0,,0.75,6.0
2009-06-26,13,75.0,,0.75,9.75
2009-06-27,6,75.0,,0.75,4.5
2009-06-28,19,75.0,,0.75,14.25
2009-06-29,4,75.0,,0.75,3.0
2009-06-30,16,75.0,,0.75,12.0
2009-07-01,47,54.0,False,0.54,25.380000000000003
2009-07-02,63,54.0,,0.54,34.02
2009-07-03,32,54.0,,0.54,17.28
2009-07-04,0,54.0,,0.54,0.0
2009-07-05,62,54.0,,0.54,33.480000000000004
2009-07-06,12,54.0,,0.54,6.48
2009-07-07,23,54.0,,0.54,12.420000000000002
2009-07-08,35,54.0,,0.54,18.900000000000002
2009-07-09,36,54.0,,0.54,19.44
2009-07-10,100,54.0,,0.54,54.0
2009-07-11,36,54.0,,0.54,19.44
2009-07-12,55,54.0,,0.54,29.700000000000003
2009-07-13,46,54.0,,0.54,24.840000000000003
2009-07-14,12,54.0,,0.54,6.48
2009-07-15,23,54.0,,0.54,12.420000000000002
2009-07-16,0,54.0,,0.54,0.0
2009-07-17,25,54.0,,0.54,13.5
2009-07-18,36,54.0,,0.54,19.44
2009-07-19,57,54.0,,0.54,30.78
2009-07-20,12,54.0,,0.54,6.48
2009-07-21,11,54.0,,0.54,5.94
2009-07-22,23,54.0,,0.54,12.420000000000002
2009-07-23,46,54.0,,0.54,24.840000000000003
2009-07-24,37,54.0,,0.54,19.98
2009-07-25,18,54.0,,0.54,9.72
2009-07-26,54,54.0,,0.54,29.160000000000004
2009-07-27,58,54.0,,0.54,31.32
2009-07-28,11,54.0,,0.54,5.94
2009-07-29,12,54.0,,0.54,6.48
2009-07-30,47,54.0,,0.54,25.380000000000003
2009-07-31,12,54.0,,0.54,6.48
2009-08-01,69,54.0,False,0.54,37.260000000000005
2009-08-02,47,54.0,,0.54,25.380000000000003
2009-08-03,15,54.0,,0.54,8.100000000000001
2009-08-04,74,54.0,,0.54,39.96
2009-08-05,60,54.0,,0.54,32.400000000000006
2009-08-06,31,54.0,,0.54,16.740000000000002
2009-08-07,32,54.0,,0.54,17.28
2009-08-08,46,54.0,,0.54,24.840000000000003
2009-08-09,0,54.0,,0.54,0.0
2009-08-10,15,54.0,,0.54,8.100000000000001
2009-08-11,29,54.0,,0.54,15.66
2009-08-12,30,54.0,,0.54,16.200000000000003
2009-08-13,75,54.0,,0.54,40.5
2009-08-14,32,54.0,,0.54,17.28
2009-08-15,46,54.0,,0.54,24.840000000000003
2009-08-16,93,54.0,,0.54,50.220000000000006
2009-08-17,75,54.0,,0.54,40.5
2009-08-18,29,54.0,,0.54,15.66
2009-08-19,15,54.0,,0.54,8.100000000000001
2009-08-20,30,54.0,,0.54,16.200000000000003
2009-08-21,63,54.0,,0.54,34.02
2009-08-22,65,54.0,,0.54,35.1
2009-08-23,45,54.0,,0.54,24.3
2009-08-24,89,54.0,,0.54,48.06
2009-08-25,14,54.0,,0.54,7.5600000000000005
2009-08-26,100,54.0,,0.54,54.0
2009-08-27,59,54.0,,0.54,31.860000000000003
2009-08-28,46,54.0,,0.54,24.840000000000003
2009-08-29,42,54.0,,0.54,22.68
2009-08-30,65,54.0,,0.54,35.1
2009-08-31,57,54.0,,0.54,30.78
2009-09-01,18,73.0,False,0.73,13.14
2009-09-02,0,73.0,,0.73,0.0
2009-09-03,29,73.0,,0.73,21.169999999999998
2009-09-04,31,73.0,,0.73,22.63
2009-09-05,59,73.0,,0.73,43.07
2009-09-06,46,73.0,,0.73,33.58
2009-09-07,52,73.0,,0.73,37.96
2009-09-08,65,73.0,,0.73,47.449999999999996
2009-09-09,46,73.0,,0.73,33.58
2009-09-10,28,73.0,,0.73,20.439999999999998
2009-09-11,29,73.0,,0.73,21.169999999999998
2009-09-12,41,73.0,,0.73,29.93
2009-09-13,54,73.0,,0.73,39.42
2009-09-14,64,73.0,,0.73,46.72
2009-09-15,18,73.0,,0.73,13.14
2009-09-16,36,73.0,,0.73,26.28
2009-09-17,74,73.0,,0.73,54.019999999999996
2009-09-18,20,73.0,,0.73,14.6
2009-09-19,84,73.0,,0.73,61.32
2009-09-20,69,73.0,,0.73,50.37
2009-09-21,54,73.0,,0.73,39.42
2009-09-22,0,73.0,,0.73,0.0
2009-09-23,55,73.0,,0.73,40.15
2009-09-24,56,73.0,,0.73,40.879999999999995
2009-09-25,29,73.0,,0.73,21.169999999999998
2009-09-26,14,73.0,,0.73,10.219999999999999
2009-09-27,0,73.0,,0.73,0.0
2009-09-28,100,73.0,,0.73,73.0
2009-09-29,45,73.0,,0.73,32.85
2009-09-30,36,73.0,,0.73,26.28
2009-10-01,23,100.0,False,1.0,23.0
2009-10-02,31,100.0,,1.0,31.0
2009-10-03,43,100.0,,1.0,43.0
2009-10-04,17,100.0,,1.0,17.0
2009-10-05,29,100.0,,1.0,29.0
2009-10-06,11,100.0,,1.0,11.0
2009-10-07,28,100.0,,1.0,28.0
2009-10-08,40,100.0,,1.0,40.0
2009-10-09,43,100.0,,1.0,43.0
2009-10-10,35,100.0,,1.0,35.0
2009-10-11,26,100.0,,1.0,26.0
2009-10-12,54,100.0,,1.0,54.0
2009-10-13,28,100.0,,1.0,28.0
2009-10-14,22,100.0,,1.0,22.0
2009-10-15,34,100.0,,1.0,34.0
2009-10-16,30,100.0,,1.0,30.0
2009-10-17,34,100.0,,1.0,34.0
2009-10-18,8,100.0,,1.0,8.0
2009-10-19,28,100.0,,1.0,28.0
2009-10-20,33,100.0,,1.0,33.0
2009-10-21,62,100.0,,1.0,62.0
2009-10-22,17,100.0,,1.0,17.0
2009-10-23,37,100.0,,1.0,37.0
2009-10-24,42,100.0,,1.0,42.0
2009-10-25,100,100.0,,1.0,100.0
2009-10-26,49,100.0,,1.0,49.0
2009-10-27,60,100.0,,1.0,60.0
2009-10-28,71,100.0,,1.0,71.0
2009-10-29,51,100.0,,1.0,51.0
2009-10-30,49,100.0,,1.0,49.0
2009-10-31,43,100.0,,1.0,43.0
2009-11-01,100,92.0,False,0.92,92.0
2009-11-02,52,92.0,,0.92,47.84
2009-11-03,25,92.0,,0.92,23.0
2009-11-04,71,92.0,,0.92,65.32000000000001
2009-11-05,46,92.0,,0.92,42.32
2009-11-06,11,92.0,,0.92,10.120000000000001
2009-11-07,31,92.0,,0.92,28.52
2009-11-08,38,92.0,,0.92,34.96
2009-11-09,31,92.0,,0.92,28.52
2009-11-10,25,92.0,,0.92,23.0
2009-11-11,52,92.0,,0.92,47.84
2009-11-12,5,92.0,,0.92,4.6000000000000005
2009-11-13,59,92.0,,0.92,54.28
2009-11-14,0,92.0,,0.92,0.0
2009-11-15,8,92.0,,0.92,7.36
2009-11-16,15,92.0,,0.92,13.8
2009-11-17,25,92.0,,0.92,23.0
2009-11-18,15,92.0,,0.92,13.8
2009-11-19,45,92.0,,0.92,41.4
2009-11-20,21,92.0,,0.92,19.32
2009-11-21,0,92.0,,0.92,0.0
2009-11-22,30,92.0,,0.92,27.6
2009-11-23,46,92.0,,0.92,42.32
2009-11-24,15,92.0,,0.92,13.8
2009-11-25,11,92.0,,0.92,10.120000000000001
2009-11-26,16,92.0,,0.92,14.72
2009-11-27,22,92.0,,0.92,20.240000000000002
2009-11-28,23,92.0,,0.92,21.16
2009-11-29,30,92.0,,0.92,27.6
2009-11-30,20,92.0,,0.92,18.400000000000002
2009-12-01,39,52.0,False,0.52,20.28
2009-12-02,66,52.0,,0.52,34.32
2009-12-03,13,52.0,,0.52,6.76
2009-12-04,56,52.0,,0.52,29.12
2009-12-05,20,52.0,,0.52,10.4
2009-12-06,80,52.0,,0.52,41.6
2009-12-07,67,52.0,,0.52,34.84
2009-12-08,79,52.0,,0.52,41.08
2009-12-09,40,52.0,,0.52,20.8
2009-12-10,27,52.0,,0.52,14.040000000000001
2009-12-11,43,52.0,,0.52,22.36
2009-12-12,20,52.0,,0.52,10.4
2009-12-13,79,52.0,,0.52,41.08
2009-12-14,81,52.0,,0.52,42.120000000000005
2009-12-15,40,52.0,,0.52,20.8
2009-12-16,28,52.0,,0.52,14.56
2009-12-17,100,52.0,,0.52,52.0
2009-12-18,15,52.0,,0.52,7.800000000000001
2009-12-19,62,52.0,,0.52,32.24
2009-12-20,21,52.0,,0.52,10.92
2009-12-21,76,52.0,,0.52,39.52
2009-12-22,31,52.0,,0.52,16.12
2009-12-23,66,52.0,,0.52,34.32
2009-12-24,0,52.0,,0.52,0.0
2009-12-25,56,52.0,,0.52,29.12
2009-12-26,0,52.0,,0.52,0.0
2009-12-27,47,52.0,,0.52,24.44
2009-12-28,82,52.0,,0.52,42.64
2009-12-29,31,52.0,,0.52,16.12
2009-12-30,49,52.0,,0.52,25.48
2009-12-31,36,52.0,,0.52,18.72
2010-01-01,16,72.0,False,0.72,11.52
2010-01-02,14,72.0,,0.72,10.08
2010-01-03,41,72.0,,0.72,29.52
2010-01-04,28,72.0,,0.72,20.16
2010-01-05,54,72.0,,0.72,38.879999999999995
2010-01-06,27,72.0,,0.72,19.439999999999998
2010-01-07,27,72.0,,0.72,19.439999999999998
2010-01-08,19,72.0,,0.72,13.68
2010-01-09,51,72.0,,0.72,36.72
2010-01-10,27,72.0,,0.72,19.439999999999998
2010-01-11,18,72.0,,0.72,12.959999999999999
2010-01-12,26,72.0,,0.72,18.72
2010-01-13,27,72.0,,0.72,19.439999999999998
2010-01-14,36,72.0,,0.72,25.919999999999998
2010-01-15,28,72.0,,0.72,20.16
2010-01-16,26,72.0,,0.72,18.72
2010-01-17,52,72.0,,0.72,37.44
2010-01-18,69,72.0,,0.72,49.68
2010-01-19,26,72.0,,0.72,18.72
2010-01-20,34,72.0,,0.72,24.48
2010-01-21,17,72.0,,0.72,12.24
2010-01-22,54,72.0,,0.72,38.879999999999995
2010-01-23,100,72.0,,0.72,72.0
2010-01-24,26,72.0,,0.72,18.72
2010-01-25,43,72.0,,0.72,30.959999999999997
2010-01-26,26,72.0,,0.72,18.72
2010-01-27,17,72.0,,0.72,12.24
2010-01-28,61,72.0,,0.72,43.92
2010-01-29,36,72.0,,0.72,25.919999999999998
2010-01-30,25,72.0,,0.72,18.0
2010-01-31,25,72.0,,0.72,18.0
2010-02-01,34,63.0,False,0.63,21.42
2010-02-02,8,63.0,,0.63,5.04
2010-02-03,33,63.0,,0.63,20.79
2010-02-04,25,63.0,,0.63,15.75
2010-02-05,45,63.0,,0.63,28.35
2010-02-06,60,63.0,,0.63,37.8
2010-02-07,87,63.0,,0.63,54.81
2010-02-08,26,63.0,,0.63,16.38
2010-02-09,16,63.0,,0.63,10.08
2010-02-10,50,63.0,,0.63,31.5
2010-02-11,34,63.0,,0.63,21.42
2010-02-12,27,63.0,,0.63,17.01
2010-02-13,38,63.0,,0.63,23.94
2010-02-14,39,63.0,,0.63,24.57
2010-02-15,29,63.0,,0.63,18.27
2010-02-16,43,63.0,,0.63,27.09
2010-02-17,86,63.0,,0.63,54.18
2010-02-18,34,63.0,,0.63,21.42
2010-02-19,9,63.0,,0.63,5.67
2010-02-20,61,63.0,,0.63,38.43
2010-02-21,100,63.0,,0.63,63.0
2010-02-22,59,63.0,,0.63,37.17
2010-02-23,65,63.0,,0.63,40.95
2010-02-24,58,63.0,,0.63,36.54
2010-02-25,33,63.0,,0.63,20.79
2010-02-26,35,63.0,,0.63,22.05
2010-02-27,48,63.0,,0.63,30.240000000000002
2010-02-28,25,63.0,,0.63,15.75
2010-03-01,24,67.0,False,0.67,16.080000000000002
2010-03-02,23,67.0,,0.67,15.41
2010-03-03,32,67.0,,0.67,21.44
2010-03-04,32,67.0,,0.67,21.44
2010-03-05,34,67.0,,0.67,22.78
2010-03-06,12,67.0,,0.67,8.040000000000001
2010-03-07,12,67.0,,0.67,8.040000000000001
2010-03-08,41,67.0,,0.67,27.470000000000002
2010-03-09,32,67.0,,0.67,21.44
2010-03-10,32,67.0,,0.67,21.44
2010-03-11,24,67.0,,0.67,16.080000000000002
2010-03-12,59,67.0,,0.67,39.53
2010-03-13,46,67.0,,0.67,30.82
2010-03-14,72,67.0,,0.67,48.24
2010-03-15,24,67.0,,0.67,16.080000000000002
2010-03-16,64,67.0,,0.67,42.88
2010-03-17,100,67.0,,0.67,67.0
2010-03-18,42,67.0,,0.67,28.14
2010-03-19,72,67.0,,0.67,48.24
2010-03-20,12,67.0,,0.67,8.040000000000001
2010-03-21,60,67.0,,0.67,40.2
2010-03-22,48,67.0,,0.67,32.160000000000004
2010-03-23,16,67.0,,0.67,10.72
2010-03-24,49,67.0,,0.67,32.830000000000005
2010-03-25,40,67.0,,0.67,26.8
2010-03-26,35,67.0,,0.67,23.450000000000003
2010-03-27,61,67.0,,0.67,40.870000000000005
2010-03-28,36,67.0,,0.67,24.12
2010-03-29,96,67.0,,0.67,64.32000000000001
2010-03-30,32,67.0,,0.67,21.44
2010-03-31,42,67.0,,0.67,28.14
2010-04-01,24,60.0,False,0.6,14.399999999999999
2010-04-02,14,60.0,,0.6,8.4
2010-04-03,18,60.0,,0.6,10.799999999999999
2010-04-04,37,60.0,,0.6,22.2
2010-04-05,46,60.0,,0.6,27.599999999999998
2010-04-06,100,60.0,,0.6,60.0
2010-04-07,34,60.0,,0.6,20.4
2010-04-08,22,60.0,,0.6,13.2
2010-04-09,72,60.0,,0.6,43.199999999999996
2010-04-10,17,60.0,,0.6,10.2
2010-04-11,67,60.0,,0.6,40.199999999999996
2010-04-12,22,60.0,,0.6,13.2
2010-04-13,43,60.0,,0.6,25.8
2010-04-14,44,60.0,,0.6,26.4
2010-04-15,11,60.0,,0.6,6.6
2010-04-16,23,60.0,,0.6,13.799999999999999
2010-04-17,33,60.0,,0.6,19.8
2010-04-18,66,60.0,,0.6,39.6
2010-04-19,22,60.0,,0.6,13.2
2010-04-20,22,60.0,,0.6,13.2
2010-04-21,66,60.0,,0.6,39.6
2010-04-22,55,60.0,,0.6,33.0
2010-04-23,58,60.0,,0.6,34.8
2010-04-24,33,60.0,,0.6,19.8
2010-04-25,97,60.0,,0.6,58.199999999999996
2010-04-26,42,60.0,,0.6,25.2
2010-04-27,21,60.0,,0.6,12.6
2010-04-28,99,60.0,,0.6,59.4
2010-04-29,23,60.0,,0.6,13.799999999999999
2010-04-30,36,60.0,,0.6,21.599999999999998
2010-05-01,42,67.0,False,0.67,28.14
2010-05-02,13,67.0,,0.67,8.71
2010-05-03,35,67.0,,0.67,23.450000000000003
2010-05-04,35,67.0,,0.67,23.450000000000003
2010-05-05,18,67.0,,0.67,12.06
2010-05-06,18,67.0,,0.67,12.06
2010-05-07,29,67.0,,0.67,19.43
2010-05-08,0,67.0,,0.67,0.0
2010-05-09,14,67.0,,0.67,9.38
2010-05-10,36,67.0,,0.67,24.12
2010-05-11,26,67.0,,0.67,17.42
2010-05-12,18,67.0,,0.67,12.06
2010-05-13,9,67.0,,0.67,6.03
2010-05-14,39,67.0,,0.67,26.130000000000003
2010-05-15,0,67.0,,0.67,0.0
2010-05-16,14,67.0,,0.67,9.38
2010-05-17,54,67.0,,0.67,36.18
2010-05-18,18,67.0,,0.67,12.06
2010-05-19,27,67.0,,0.67,18.09
2010-05-20,46,67.0,,0.67,30.82
2010-05-21,50,67.0,,0.67,33.5
2010-05-22,29,67.0,,0.67,19.43
2010-05-23,100,67.0,,0.67,67.0
2010-05-24,92,67.0,,0.67,61.64
2010-05-25,27,67.0,,0.67,18.09
2010-05-26,37,67.0,,0.67,24.790000000000003
2010-05-27,48,67.0,,0.67,32.160000000000004
2010-05-28,32,67.0,,0.67,21.44
2010-05-29,15,67.0,,0.67,10.05
2010-05-30,16,67.0,,0.67,10.72
2010-05-31,27,67.0,,0.67,18.09
2010-06-01,13,57.0,False,0.57,7.409999999999999
2010-06-02,77,57.0,,0.57,43.88999999999999
2010-06-03,66,57.0,,0.57,37.62
2010-06-04,42,57.0,,0.57,23.939999999999998
2010-06-05,39,57.0,,0.57,22.229999999999997
2010-06-06,39,57.0,,0.57,22.229999999999997
2010-06-07,65,57.0,,0.57,37.05
2010-06-08,63,57.0,,0.57,35.91
2010-06-09,39,57.0,,0.57,22.229999999999997
2010-06-10,40,57.0,,0.57,22.799999999999997
2010-06-11,87,57.0,,0.57,49.589999999999996
2010-06-12,20,57.0,,0.57,11.399999999999999
2010-06-13,20,57.0,,0.57,11.399999999999999
2010-06-14,66,57.0,,0.57,37.62
2010-06-15,52,57.0,,0.57,29.639999999999997
2010-06-16,54,57.0,,0.57,30.779999999999998
2010-06-17,68,57.0,,0.57,38.76
2010-06-18,15,57.0,,0.57,8.549999999999999
2010-06-19,62,57.0,,0.57,35.339999999999996
2010-06-20,64,57.0,,0.57,36.48
2010-06-21,54,57.0,,0.57,30.779999999999998
2010-06-22,90,57.0,,0.57,51.3
2010-06-23,79,57.0,,0.57,45.029999999999994
2010-06-24,0,57.0,,0.57,0.0
2010-06-25,29,57.0,,0.57,16.529999999999998
2010-06-26,100,57.0,,0.57,56.99999999999999
2010-06-27,20,57.0,,0.57,11.399999999999999
2010-06-28,39,57.0,,0.57,22.229999999999997
2010-06-29,26,57.0,,0.57,14.819999999999999
2010-06-30,26,57.0,,0.57,14.819999999999999
2010-07-01,8,60.0,False,0.6,4.8
2010-07-02,15,60.0,,0.6,9.0
2010-07-03,29,60.0,,0.6,17.4
2010-07-04,10,60.0,,0.6,6.0
2010-07-05,18,60.0,,0.6,10.799999999999999
2010-07-06,13,60.0,,0.6,7.8
2010-07-07,13,60.0,,0.6,7.8
2010-07-08,45,60.0,,0.6,27.0
2010-07-09,7,60.0,,0.6,4.2
2010-07-10,17,60.0,,0.6,10.2
2010-07-11,45,60.0,,0.6,27.0
2010-07-12,26,60.0,,0.6,15.6
2010-07-13,37,60.0,,0.6,22.2
2010-07-14,32,60.0,,0.6,19.2
2010-07-15,13,60.0,,0.6,7.8
2010-07-16,27,60.0,,0.6,16.2
2010-07-17,36,60.0,,0.6,21.599999999999998
2010-07-18,27,60.0,,0.6,16.2
2010-07-19,32,60.0,,0.6,19.2
2010-07-20,13,60.0,,0.6,7.8
2010-07-21,19,60.0,,0.6,11.4
2010-07-22,13,60.0,,0.6,7.8
2010-07-23,26,60.0,,0.6,15.6
2010-07-24,0,60.0,,0.6,0.0
2010-07-25,100,60.0,,0.6,60.0
2010-07-26,32,60.0,,0.6,19.2
2010-07-27,43,60.0,,0.6,25.8
2010-07-28,25,60.0,,0.6,15.0
2010-07-29,32,60.0,,0.6,19.2
2010-07-30,0,60.0,,0.6,0.0
2010-07-31,36,60.0,,0.6,21.599999999999998
2010-08-01,87,56.0,False,0.56,48.720000000000006
2010-08-02,61,56.0,,0.56,34.160000000000004
2010-08-03,72,56.0,,0.56,40.32000000000001
2010-08-04,37,56.0,,0.56,20.720000000000002
2010-08-05,25,56.0,,0.56,14.000000000000002
2010-08-06,39,56.0,,0.56,21.840000000000003
2010-08-07,34,56.0,,0.56,19.040000000000003
2010-08-08,69,56.0,,0.56,38.64
