date,cost plus_unscaled,cost plus_monthly,isPartial,scale,cost plus
2005-05-26,33,33,False,0.33,10.89
2005-05-27,36,36,False,0.36,12.959999999999999
2005-05-28,30,30,False,0.3,9.0
2005-05-29,94,94,False,0.94,88.36
2005-05-30,79,79,False,0.79,62.410000000000004
2005-05-31,40,40,False,0.4,16.0
2005-06-01,54,54,False,0.54,29.160000000000004
2005-06-02,78,78,False,0.78,60.84
2005-06-03,59,59,False,0.59,34.809999999999995
2005-06-04,27,27,False,0.27,7.290000000000001
2005-06-05,56,56,False,0.56,31.360000000000003
2005-06-06,63,63,False,0.63,39.69
2005-06-07,40,40,False,0.4,16.0
2005-06-08,55,55,False,0.55,30.250000000000004
2005-06-09,41,41,False,0.41,16.81
2005-06-10,44,44,False,0.44,19.36
2005-06-11,27,27,False,0.27,7.290000000000001
2005-06-12,84,84,False,0.84,70.56
2005-06-13,48,48,False,0.48,23.04
2005-06-14,56,56,False,0.56,31.360000000000003
2005-06-15,65,65,False,0.65,42.25
2005-06-16,17,17,False,0.17,2.89
2005-06-17,53,53,False,0.53,28.09
2005-06-18,100,100,False,1.0,100.0
2005-06-19,88,88,False,0.88,77.44
2005-06-20,32,32,False,0.32,10.24
2005-06-21,89,89,False,0.89,79.21000000000001
2005-06-22,16,16,False,0.16,2.56
2005-06-23,42,42,False,0.42,17.64
2005-06-24,36,36,False,0.36,12.959999999999999
2005-06-25,86,86,False,0.86,73.96
2005-06-26,73,73,False,0.73,53.29
2005-06-27,40,40,False,0.4,16.0
2005-06-28,32,32,False,0.32,10.24
2005-06-29,24,24,False,0.24,5.76
2005-06-30,90,90,False,0.9,81.0
2005-07-01,14,14,False,0.14,1.9600000000000002
2005-07-02,54,54,False,0.54,29.160000000000004
2005-07-03,59,59,False,0.59,34.809999999999995
2005-07-04,84,84,False,0.84,70.56
2005-07-05,32,32,False,0.32,10.24
2005-07-06,46,46,False,0.46,21.16
2005-07-07,48,48,False,0.48,23.04
2005-07-08,25,25,False,0.25,6.25
2005-07-09,39,39,False,0.39,15.21
2005-07-10,60,60,False,0.6,36.0
2005-07-11,52,52,False,0.52,27.04
2005-07-12,29,29,False,0.29,8.41
2005-07-13,18,18,False,0.18,3.2399999999999998
2005-07-14,54,54,False,0.54,29.160000000000004
2005-07-15,25,25,False,0.25,6.25
2005-07-16,69,69,False,0.69,47.61
2005-07-17,40,40,False,0.4,16.0
2005-07-18,29,29,False,0.29,8.41
2005-07-19,45,45,False,0.45,20.25
2005-07-20,47,47,False,0.47,22.09
2005-07-21,24,24,False,0.24,5.76
2005-07-22,32,32,False,0.32,10.24
2005-07-23,20,20,False,0.2,4.0
2005-07-24,100,100,False,1.0,100.0
2005-07-25,23,23,False,0.23,5.29
2005-07-26,35,35,False,0.35,12.25
2005-07-27,59,59,False,0.59,34.809999999999995
2005-07-28,61,61,False,0.61,37.21
2005-07-29,45,45,False,0.45,20.25
2005-07-30,49,49,False,0.49,24.009999999999998
2005-07-31,40,40,False,0.4,16.0
2005-08-01,48,48,False,0.48,23.04
2005-08-02,53,53,False,0.53,28.09
2005-08-03,13,13,False,0.13,1.69
2005-08-04,42,42,False,0.42,17.64
2005-08-05,51,51,False,0.51,26.01
2005-08-06,68,68,False,0.68,46.24
2005-08-07,23,23,False,0.23,5.29
2005-08-08,72,72,False,0.72,51.839999999999996
2005-08-09,39,39,False,0.39,15.21
2005-08-10,27,27,False,0.27,7.290000000000001
2005-08-11,20,20,False,0.2,4.0
2005-08-12,36,36,False,0.36,12.959999999999999
2005-08-13,0,0,False,0.0,0.0
2005-08-14,100,100,False,1.0,100.0
2005-08-15,46,46,False,0.46,21.16
2005-08-16,33,33,False,0.33,10.89
2005-08-17,33,33,False,0.33,10.89
2005-08-18,48,48,False,0.48,23.04
2005-08-19,7,7,False,0.07,0.49000000000000005
2005-08-20,21,21,False,0.21,4.41
2005-08-21,65,65,False,0.65,42.25
2005-08-22,32,32,False,0.32,10.24
2005-08-23,90,90,False,0.9,81.0
2005-08-24,0,0,False,0.0,0.0
2005-08-25,69,69,False,0.69,47.61
2005-08-26,34,34,False,0.34,11.56
2005-08-27,62,62,False,0.62,38.44
2005-08-28,41,41,False,0.41,16.81
2005-08-29,63,63,False,0.63,39.69
2005-08-30,37,37,False,0.37,13.69
2005-08-31,32,32,False,0.32,10.24
2005-09-01,17,17,False,0.17,2.89
2005-09-02,25,25,False,0.25,6.25
2005-09-03,29,29,False,0.29,8.41
2005-09-04,100,100,False,1.0,100.0
2005-09-05,42,42,False,0.42,17.64
2005-09-06,17,17,False,0.17,2.89
2005-09-07,16,16,False,0.16,2.56
2005-09-08,22,22,False,0.22,4.84
2005-09-09,40,40,False,0.4,16.0
2005-09-10,26,26,False,0.26,6.76
2005-09-11,9,9,False,0.09,0.8099999999999999
2005-09-12,16,16,False,0.16,2.56
2005-09-13,58,58,False,0.58,33.64
2005-09-14,26,26,False,0.26,6.76
2005-09-15,11,11,False,0.11,1.21
2005-09-16,40,40,False,0.4,16.0
2005-09-17,70,70,False,0.7,49.0
2005-09-18,26,26,False,0.26,6.76
2005-09-19,31,31,False,0.31,9.61
2005-09-20,15,15,False,0.15,2.25
2005-09-21,21,21,False,0.21,4.41
2005-09-22,26,26,False,0.26,6.76
2005-09-23,57,57,False,0.57,32.489999999999995
2005-09-24,18,18,False,0.18,3.2399999999999998
2005-09-25,34,34,False,0.34,11.56
2005-09-26,16,16,False,0.16,2.56
2005-09-27,20,20,False,0.2,4.0
2005-09-28,21,21,False,0.21,4.41
2005-09-29,26,26,False,0.26,6.76
2005-09-30,23,23,False,0.23,5.29
2005-10-01,31,31,False,0.31,9.61
2005-10-02,59,59,False,0.59,34.809999999999995
2005-10-03,62,62,False,0.62,38.44
2005-10-04,79,79,False,0.79,62.410000000000004
2005-10-05,70,70,False,0.7,49.0
2005-10-06,27,27,False,0.27,7.290000000000001
2005-10-07,67,67,False,0.67,44.89
2005-10-08,44,44,False,0.44,19.36
2005-10-09,59,59,False,0.59,34.809999999999995
2005-10-10,100,100,False,1.0,100.0
2005-10-11,26,26,False,0.26,6.76
2005-10-12,80,80,False,0.8,64.0
2005-10-13,53,53,False,0.53,28.09
2005-10-14,57,57,False,0.57,32.489999999999995
2005-10-15,30,30,False,0.3,9.0
2005-10-16,72,72,False,0.72,51.839999999999996
2005-10-17,70,70,False,0.7,49.0
2005-10-18,43,43,False,0.43,18.49
2005-10-19,95,95,False,0.95,90.25
2005-10-20,35,35,False,0.35,12.25
2005-10-21,94,94,False,0.94,88.36
2005-10-22,58,58,False,0.58,33.64
2005-10-23,70,70,False,0.7,49.0
2005-10-24,34,34,False,0.34,11.56
2005-10-25,43,43,False,0.43,18.49
2005-10-26,43,43,False,0.43,18.49
2005-10-27,26,26,False,0.26,6.76
2005-10-28,77,77,False,0.77,59.29
2005-10-29,29,29,False,0.29,8.41
2005-10-30,44,44,False,0.44,19.36
2005-10-31,18,18,False,0.18,3.2399999999999998
2005-11-01,21,21,False,0.21,4.41
2005-11-02,40,40,False,0.4,16.0
2005-11-03,40,40,False,0.4,16.0
2005-11-04,32,32,False,0.32,10.24
2005-11-05,49,49,False,0.49,24.009999999999998
2005-11-06,80,80,False,0.8,64.0
2005-11-07,58,58,False,0.58,33.64
2005-11-08,23,23,False,0.23,5.29
2005-11-09,32,32,False,0.32,10.24
2005-11-10,21,21,False,0.21,4.41
2005-11-11,33,33,False,0.33,10.89
2005-11-12,89,89,False,0.89,79.21000000000001
2005-11-13,32,32,False,0.32,10.24
2005-11-14,39,39,False,0.39,15.21
2005-11-15,47,47,False,0.47,22.09
2005-11-16,47,47,False,0.47,22.09
2005-11-17,63,63,False,0.63,39.69
2005-11-18,57,57,False,0.57,32.489999999999995
2005-11-19,40,40,False,0.4,16.0
2005-11-20,32,32,False,0.32,10.24
2005-11-21,48,48,False,0.48,23.04
2005-11-22,82,82,False,0.82,67.24
2005-11-23,50,50,False,0.5,25.0
2005-11-24,17,17,False,0.17,2.89
2005-11-25,100,100,False,1.0,100.0
2005-11-26,65,65,False,0.65,42.25
2005-11-27,100,100,False,1.0,100.0
2005-11-28,50,50,False,0.5,25.0
2005-11-29,44,44,False,0.44,19.36
2005-11-30,32,32,False,0.32,10.24
2005-12-01,25,25,False,0.25,6.25
2005-12-02,58,58,False,0.58,33.64
2005-12-03,93,93,False,0.93,86.49000000000001
2005-12-04,100,100,False,1.0,100.0
2005-12-05,38,38,False,0.38,14.44
2005-12-06,61,61,False,0.61,37.21
2005-12-07,41,41,False,0.41,16.81
2005-12-08,38,38,False,0.38,14.44
2005-12-09,23,23,False,0.23,5.29
2005-12-10,73,73,False,0.73,53.29
2005-12-11,34,34,False,0.34,11.56
2005-12-12,50,50,False,0.5,25.0
2005-12-13,66,66,False,0.66,43.56
2005-12-14,34,34,False,0.34,11.56
2005-12-15,57,57,False,0.57,32.489999999999995
2005-12-16,66,66,False,0.66,43.56
2005-12-17,35,35,False,0.35,12.25
2005-12-18,59,59,False,0.59,34.809999999999995
2005-12-19,82,82,False,0.82,67.24
2005-12-20,63,63,False,0.63,39.69
2005-12-21,62,62,False,0.62,38.44
2005-12-22,61,61,False,0.61,37.21
2005-12-23,80,80,False,0.8,64.0
2005-12-24,51,51,False,0.51,26.01
2005-12-25,31,31,False,0.31,9.61
2005-12-26,31,31,False,0.31,9.61
2005-12-27,38,38,False,0.38,14.44
2005-12-28,26,26,False,0.26,6.76
2005-12-29,46,46,False,0.46,21.16
2005-12-30,62,62,False,0.62,38.44
2005-12-31,43,43,False,0.43,18.49
2006-01-01,51,51,False,0.51,26.01
2006-01-02,61,61,False,0.61,37.21
2006-01-03,72,72,False,0.72,51.839999999999996
2006-01-04,51,51,False,0.51,26.01
2006-01-05,33,33,False,0.33,10.89
2006-01-06,100,100,False,1.0,100.0
2006-01-07,59,59,False,0.59,34.809999999999995
2006-01-08,40,40,False,0.4,16.0
2006-01-09,57,57,False,0.57,32.489999999999995
2006-01-10,24,24,False,0.24,5.76
2006-01-11,49,49,False,0.49,24.009999999999998
2006-01-12,50,50,False,0.5,25.0
2006-01-13,39,39,False,0.39,15.21
2006-01-14,38,38,False,0.38,14.44
2006-01-15,50,50,False,0.5,25.0
2006-01-16,56,56,False,0.56,31.360000000000003
2006-01-17,36,36,False,0.36,12.959999999999999
2006-01-18,54,54,False,0.54,29.160000000000004
2006-01-19,56,56,False,0.56,31.360000000000003
2006-01-20,26,26,False,0.26,6.76
2006-01-21,57,57,False,0.57,32.489999999999995
2006-01-22,66,66,False,0.66,43.56
2006-01-23,48,48,False,0.48,23.04
2006-01-24,41,41,False,0.41,16.81
2006-01-25,59,59,False,0.59,34.809999999999995
2006-01-26,49,49,False,0.49,24.009999999999998
2006-01-27,25,25,False,0.25,6.25
2006-01-28,46,46,False,0.46,21.16
2006-01-29,82,82,False,0.82,67.24
2006-01-30,35,35,False,0.35,12.25
2006-01-31,40,40,False,0.4,16.0
2006-02-01,29,29,False,0.29,8.41
2006-02-02,52,52,False,0.52,27.04
2006-02-03,62,62,False,0.62,38.44
2006-02-04,79,79,False,0.79,62.410000000000004
2006-02-05,81,81,False,0.81,65.61
2006-02-06,61,61,False,0.61,37.21
2006-02-07,35,35,False,0.35,12.25
2006-02-08,65,65,False,0.65,42.25
2006-02-09,66,66,False,0.66,43.56
2006-02-10,70,70,False,0.7,49.0
2006-02-11,33,33,False,0.33,10.89
2006-02-12,100,100,False,1.0,100.0
2006-02-13,51,51,False,0.51,26.01
2006-02-14,72,72,False,0.72,51.839999999999996
2006-02-15,37,37,False,0.37,13.69
2006-02-16,44,44,False,0.44,19.36
2006-02-17,70,70,False,0.7,49.0
2006-02-18,78,78,False,0.78,60.84
2006-02-19,46,46,False,0.46,21.16
2006-02-20,32,32,False,0.32,10.24
2006-02-21,29,29,False,0.29,8.41
2006-02-22,58,58,False,0.58,33.64
2006-02-23,44,44,False,0.44,19.36
2006-02-24,23,23,False,0.23,5.29
2006-02-25,35,35,False,0.35,12.25
2006-02-26,46,46,False,0.46,21.16
2006-02-27,50,50,False,0.5,25.0
2006-02-28,70,70,False,0.7,49.0
2006-03-01,31,31,False,0.31,9.61
2006-03-02,48,48,False,0.48,23.04
2006-03-03,33,33,False,0.33,10.89
2006-03-04,87,87,False,0.87,75.69
2006-03-05,100,100,False,1.0,100.0
2006-03-06,95,95,False,0.95,90.25
2006-03-07,15,15,False,0.15,2.25
2006-03-08,39,39,False,0.39,15.21
2006-03-09,87,87,False,0.87,75.69
2006-03-10,43,43,False,0.43,18.49
2006-03-11,89,89,False,0.89,79.21000000000001
2006-03-12,75,75,False,0.75,56.25
2006-03-13,56,56,False,0.56,31.360000000000003
2006-03-14,62,62,False,0.62,38.44
2006-03-15,48,48,False,0.48,23.04
2006-03-16,64,64,False,0.64,40.96
2006-03-17,86,86,False,0.86,73.96
2006-03-18,38,38,False,0.38,14.44
2006-03-19,61,61,False,0.61,37.21
2006-03-20,23,23,False,0.23,5.29
2006-03-21,52,52,False,0.52,27.04
2006-03-22,39,39,False,0.39,15.21
2006-03-23,24,24,False,0.24,5.76
2006-03-24,42,42,False,0.42,17.64
2006-03-25,49,49,False,0.49,24.009999999999998
2006-03-26,86,86,False,0.86,73.96
2006-03-27,63,63,False,0.63,39.69
2006-03-28,30,30,False,0.3,9.0
2006-03-29,47,47,False,0.47,22.09
2006-03-30,64,64,False,0.64,40.96
2006-03-31,59,59,False,0.59,34.809999999999995
2006-04-01,39,39,False,0.39,15.21
2006-04-02,100,100,False,1.0,100.0
2006-04-03,25,25,False,0.25,6.25
2006-04-04,48,48,False,0.48,23.04
2006-04-05,37,37,False,0.37,13.69
2006-04-06,49,49,False,0.49,24.009999999999998
2006-04-07,46,46,False,0.46,21.16
2006-04-08,39,39,False,0.39,15.21
2006-04-09,60,60,False,0.6,36.0
2006-04-10,55,55,False,0.55,30.250000000000004
2006-04-11,43,43,False,0.43,18.49
2006-04-12,56,56,False,0.56,31.360000000000003
2006-04-13,39,39,False,0.39,15.21
2006-04-14,67,67,False,0.67,44.89
2006-04-15,82,82,False,0.82,67.24
2006-04-16,76,76,False,0.76,57.76
2006-04-17,12,12,False,0.12,1.44
2006-04-18,24,24,False,0.24,5.76
2006-04-19,36,36,False,0.36,12.959999999999999
2006-04-20,49,49,False,0.49,24.009999999999998
2006-04-21,86,86,False,0.86,73.96
2006-04-22,58,58,False,0.58,33.64
2006-04-23,57,57,False,0.57,32.489999999999995
2006-04-24,24,24,False,0.24,5.76
2006-04-25,41,41,False,0.41,16.81
2006-04-26,30,30,False,0.3,9.0
2006-04-27,24,24,False,0.24,5.76
2006-04-28,39,39,False,0.39,15.21
2006-04-29,49,49,False,0.49,24.009999999999998
2006-04-30,49,49,False,0.49,24.009999999999998
2006-05-01,31,31,False,0.31,9.61
2006-05-02,22,22,False,0.22,4.84
2006-05-03,35,35,False,0.35,12.25
2006-05-04,32,32,False,0.32,10.24
2006-05-05,15,15,False,0.15,2.25
2006-05-06,53,53,False,0.53,28.09
2006-05-07,22,22,False,0.22,4.84
2006-05-08,40,40,False,0.4,16.0
2006-05-09,26,26,False,0.26,6.76
2006-05-10,18,18,False,0.18,3.2399999999999998
2006-05-11,27,27,False,0.27,7.290000000000001
2006-05-12,29,29,False,0.29,8.41
2006-05-13,68,68,False,0.68,46.24
2006-05-14,100,100,False,1.0,100.0
2006-05-15,22,22,False,0.22,4.84
2006-05-16,31,31,False,0.31,9.61
2006-05-17,18,18,False,0.18,3.2399999999999998
2006-05-18,5,5,False,0.05,0.25
2006-05-19,44,44,False,0.44,19.36
2006-05-20,47,47,False,0.47,22.09
2006-05-21,62,62,False,0.62,38.44
2006-05-22,37,37,False,0.37,13.69
2006-05-23,36,36,False,0.36,12.959999999999999
2006-05-24,28,28,False,0.28,7.840000000000001
2006-05-25,33,33,False,0.33,10.89
2006-05-26,68,68,False,0.68,46.24
2006-05-27,33,33,False,0.33,10.89
2006-05-28,62,62,False,0.62,38.44
2006-05-29,74,74,False,0.74,54.76
2006-05-30,28,28,False,0.28,7.840000000000001
2006-05-31,32,32,False,0.32,10.24
2006-06-01,41,41,False,0.41,16.81
2006-06-02,6,6,False,0.06,0.36
2006-06-03,65,65,False,0.65,42.25
2006-06-04,38,38,False,0.38,14.44
2006-06-05,69,69,False,0.69,47.61
2006-06-06,45,45,False,0.45,20.25
2006-06-07,28,28,False,0.28,7.840000000000001
2006-06-08,29,29,False,0.29,8.41
2006-06-09,37,37,False,0.37,13.69
2006-06-10,66,66,False,0.66,43.56
2006-06-11,76,76,False,0.76,57.76
2006-06-12,64,64,False,0.64,40.96
2006-06-13,29,29,False,0.29,8.41
