date,DONATION_unscaled,DONATION_monthly,isPartial,scale,DONATION
2005-05-18,66,58.0,,0.58,38.279999999999994
2005-05-19,71,58.0,,0.58,41.18
2005-05-20,60,58.0,,0.58,34.8
2005-05-21,52,58.0,,0.58,30.159999999999997
2005-05-22,87,58.0,,0.58,50.459999999999994
2005-05-23,67,58.0,,0.58,38.86
2005-05-24,59,58.0,,0.58,34.22
2005-05-25,90,58.0,,0.58,52.199999999999996
2005-05-26,72,58.0,,0.58,41.76
2005-05-27,50,58.0,,0.58,28.999999999999996
2005-05-28,66,58.0,,0.58,38.279999999999994
2005-05-29,57,58.0,,0.58,33.059999999999995
2005-05-30,100,58.0,,0.58,57.99999999999999
2005-05-31,44,58.0,,0.58,25.52
2005-06-01,91,53.0,False,0.53,48.230000000000004
2005-06-02,62,53.0,,0.53,32.86
2005-06-03,46,53.0,,0.53,24.380000000000003
2005-06-04,62,53.0,,0.53,32.86
2005-06-05,69,53.0,,0.53,36.57
2005-06-06,59,53.0,,0.53,31.270000000000003
2005-06-07,46,53.0,,0.53,24.380000000000003
2005-06-08,62,53.0,,0.53,32.86
2005-06-09,64,53.0,,0.53,33.92
2005-06-10,54,53.0,,0.53,28.62
2005-06-11,68,53.0,,0.53,36.04
2005-06-12,75,53.0,,0.53,39.75
2005-06-13,80,53.0,,0.53,42.400000000000006
2005-06-14,46,53.0,,0.53,24.380000000000003
2005-06-15,33,53.0,,0.53,17.490000000000002
2005-06-16,79,53.0,,0.53,41.870000000000005
2005-06-17,89,53.0,,0.53,47.17
2005-06-18,83,53.0,,0.53,43.99
2005-06-19,49,53.0,,0.53,25.970000000000002
2005-06-20,61,53.0,,0.53,32.33
2005-06-21,83,53.0,,0.53,43.99
2005-06-22,78,53.0,,0.53,41.34
2005-06-23,66,53.0,,0.53,34.980000000000004
2005-06-24,98,53.0,,0.53,51.940000000000005
2005-06-25,82,53.0,,0.53,43.46
2005-06-26,42,53.0,,0.53,22.26
2005-06-27,100,53.0,,0.53,53.0
2005-06-28,79,53.0,,0.53,41.870000000000005
2005-06-29,53,53.0,,0.53,28.09
2005-06-30,48,53.0,,0.53,25.44
2005-07-01,67,55.0,False,0.55,36.85
2005-07-02,32,55.0,,0.55,17.6
2005-07-03,68,55.0,,0.55,37.400000000000006
2005-07-04,50,55.0,,0.55,27.500000000000004
2005-07-05,56,55.0,,0.55,30.800000000000004
2005-07-06,45,55.0,,0.55,24.750000000000004
2005-07-07,46,55.0,,0.55,25.3
2005-07-08,73,55.0,,0.55,40.150000000000006
2005-07-09,55,55.0,,0.55,30.250000000000004
2005-07-10,58,55.0,,0.55,31.900000000000002
2005-07-11,45,55.0,,0.55,24.750000000000004
2005-07-12,71,55.0,,0.55,39.050000000000004
2005-07-13,67,55.0,,0.55,36.85
2005-07-14,86,55.0,,0.55,47.300000000000004
2005-07-15,61,55.0,,0.55,33.550000000000004
2005-07-16,58,55.0,,0.55,31.900000000000002
2005-07-17,19,55.0,,0.55,10.450000000000001
2005-07-18,61,55.0,,0.55,33.550000000000004
2005-07-19,66,55.0,,0.55,36.300000000000004
2005-07-20,56,55.0,,0.55,30.800000000000004
2005-07-21,52,55.0,,0.55,28.6
2005-07-22,49,55.0,,0.55,26.950000000000003
2005-07-23,38,55.0,,0.55,20.900000000000002
2005-07-24,59,55.0,,0.55,32.45
2005-07-25,94,55.0,,0.55,51.7
2005-07-26,54,55.0,,0.55,29.700000000000003
2005-07-27,100,55.0,,0.55,55.00000000000001
2005-07-28,46,55.0,,0.55,25.3
2005-07-29,62,55.0,,0.55,34.1
2005-07-30,48,55.0,,0.55,26.400000000000002
2005-07-31,67,55.0,,0.55,36.85
2005-08-01,97,58.0,False,0.58,56.26
2005-08-02,68,58.0,,0.58,39.44
2005-08-03,59,58.0,,0.58,34.22
2005-08-04,76,58.0,,0.58,44.08
2005-08-05,70,58.0,,0.58,40.599999999999994
2005-08-06,63,58.0,,0.58,36.54
2005-08-07,54,58.0,,0.58,31.319999999999997
2005-08-08,47,58.0,,0.58,27.259999999999998
2005-08-09,46,58.0,,0.58,26.68
2005-08-10,32,58.0,,0.58,18.56
2005-08-11,48,58.0,,0.58,27.839999999999996
2005-08-12,62,58.0,,0.58,35.96
2005-08-13,69,58.0,,0.58,40.019999999999996
2005-08-14,71,58.0,,0.58,41.18
2005-08-15,69,58.0,,0.58,40.019999999999996
2005-08-16,67,58.0,,0.58,38.86
2005-08-17,64,58.0,,0.58,37.12
2005-08-18,93,58.0,,0.58,53.94
2005-08-19,40,58.0,,0.58,23.2
2005-08-20,51,58.0,,0.58,29.58
2005-08-21,17,58.0,,0.58,9.86
2005-08-22,57,58.0,,0.58,33.059999999999995
2005-08-23,50,58.0,,0.58,28.999999999999996
2005-08-24,21,58.0,,0.58,12.18
2005-08-25,83,58.0,,0.58,48.13999999999999
2005-08-26,50,58.0,,0.58,28.999999999999996
2005-08-27,90,58.0,,0.58,52.199999999999996
2005-08-28,49,58.0,,0.58,28.419999999999998
2005-08-29,35,58.0,,0.58,20.299999999999997
2005-08-30,44,58.0,,0.58,25.52
2005-08-31,100,58.0,,0.58,57.99999999999999
2005-09-01,78,100.0,False,1.0,78.0
2005-09-02,56,100.0,,1.0,56.0
2005-09-03,100,100.0,,1.0,100.0
2005-09-04,77,100.0,,1.0,77.0
2005-09-05,91,100.0,,1.0,91.0
2005-09-06,72,100.0,,1.0,72.0
2005-09-07,58,100.0,,1.0,58.0
2005-09-08,57,100.0,,1.0,57.0
2005-09-09,35,100.0,,1.0,35.0
2005-09-10,33,100.0,,1.0,33.0
2005-09-11,38,100.0,,1.0,38.0
2005-09-12,48,100.0,,1.0,48.0
2005-09-13,37,100.0,,1.0,37.0
2005-09-14,39,100.0,,1.0,39.0
2005-09-15,18,100.0,,1.0,18.0
2005-09-16,19,100.0,,1.0,19.0
2005-09-17,15,100.0,,1.0,15.0
2005-09-18,14,100.0,,1.0,14.0
2005-09-19,26,100.0,,1.0,26.0
2005-09-20,22,100.0,,1.0,22.0
2005-09-21,19,100.0,,1.0,19.0
2005-09-22,23,100.0,,1.0,23.0
2005-09-23,21,100.0,,1.0,21.0
2005-09-24,18,100.0,,1.0,18.0
2005-09-25,17,100.0,,1.0,17.0
2005-09-26,33,100.0,,1.0,33.0
2005-09-27,24,100.0,,1.0,24.0
2005-09-28,26,100.0,,1.0,26.0
2005-09-29,28,100.0,,1.0,28.0
2005-09-30,23,100.0,,1.0,23.0
2005-10-01,67,59.0,False,0.59,39.53
2005-10-02,64,59.0,,0.59,37.76
2005-10-03,71,59.0,,0.59,41.89
2005-10-04,54,59.0,,0.59,31.86
2005-10-05,93,59.0,,0.59,54.87
2005-10-06,45,59.0,,0.59,26.549999999999997
2005-10-07,77,59.0,,0.59,45.43
2005-10-08,63,59.0,,0.59,37.169999999999995
2005-10-09,73,59.0,,0.59,43.07
2005-10-10,45,59.0,,0.59,26.549999999999997
2005-10-11,96,59.0,,0.59,56.64
2005-10-12,65,59.0,,0.59,38.35
2005-10-13,100,59.0,,0.59,59.0
2005-10-14,84,59.0,,0.59,49.559999999999995
2005-10-15,65,59.0,,0.59,38.35
2005-10-16,27,59.0,,0.59,15.93
2005-10-17,70,59.0,,0.59,41.3
2005-10-18,80,59.0,,0.59,47.199999999999996
2005-10-19,70,59.0,,0.59,41.3
2005-10-20,82,59.0,,0.59,48.379999999999995
2005-10-21,88,59.0,,0.59,51.919999999999995
2005-10-22,53,59.0,,0.59,31.27
2005-10-23,26,59.0,,0.59,15.34
2005-10-24,96,59.0,,0.59,56.64
2005-10-25,99,59.0,,0.59,58.41
2005-10-26,98,59.0,,0.59,57.82
2005-10-27,49,59.0,,0.59,28.91
2005-10-28,59,59.0,,0.59,34.809999999999995
2005-10-29,46,59.0,,0.59,27.139999999999997
2005-10-30,45,59.0,,0.59,26.549999999999997
2005-10-31,61,59.0,,0.59,35.989999999999995
2005-11-01,71,59.0,False,0.59,41.89
2005-11-02,41,59.0,,0.59,24.189999999999998
2005-11-03,66,59.0,,0.59,38.94
2005-11-04,52,59.0,,0.59,30.68
2005-11-05,100,59.0,,0.59,59.0
2005-11-06,46,59.0,,0.59,27.139999999999997
2005-11-07,44,59.0,,0.59,25.959999999999997
2005-11-08,68,59.0,,0.59,40.12
2005-11-09,26,59.0,,0.59,15.34
2005-11-10,52,59.0,,0.59,30.68
2005-11-11,41,59.0,,0.59,24.189999999999998
2005-11-12,46,59.0,,0.59,27.139999999999997
2005-11-13,46,59.0,,0.59,27.139999999999997
2005-11-14,68,59.0,,0.59,40.12
2005-11-15,46,59.0,,0.59,27.139999999999997
2005-11-16,47,59.0,,0.59,27.729999999999997
2005-11-17,75,59.0,,0.59,44.25
2005-11-18,51,59.0,,0.59,30.09
2005-11-19,65,59.0,,0.59,38.35
2005-11-20,32,59.0,,0.59,18.88
2005-11-21,78,59.0,,0.59,46.019999999999996
2005-11-22,43,59.0,,0.59,25.369999999999997
2005-11-23,36,59.0,,0.59,21.24
2005-11-24,57,59.0,,0.59,33.629999999999995
2005-11-25,69,59.0,,0.59,40.71
2005-11-26,40,59.0,,0.59,23.599999999999998
2005-11-27,69,59.0,,0.59,40.71
2005-11-28,53,59.0,,0.59,31.27
2005-11-29,65,59.0,,0.59,38.35
2005-11-30,52,59.0,,0.59,30.68
2005-12-01,47,63.0,False,0.63,29.61
2005-12-02,45,63.0,,0.63,28.35
2005-12-03,75,63.0,,0.63,47.25
2005-12-04,55,63.0,,0.63,34.65
2005-12-05,74,63.0,,0.63,46.62
2005-12-06,83,63.0,,0.63,52.29
2005-12-07,62,63.0,,0.63,39.06
2005-12-08,63,63.0,,0.63,39.69
2005-12-09,42,63.0,,0.63,26.46
2005-12-10,50,63.0,,0.63,31.5
2005-12-11,38,63.0,,0.63,23.94
2005-12-12,56,63.0,,0.63,35.28
2005-12-13,35,63.0,,0.63,22.05
2005-12-14,72,63.0,,0.63,45.36
2005-12-15,66,63.0,,0.63,41.58
2005-12-16,73,63.0,,0.63,45.99
2005-12-17,65,63.0,,0.63,40.95
2005-12-18,48,63.0,,0.63,30.240000000000002
2005-12-19,94,63.0,,0.63,59.22
2005-12-20,66,63.0,,0.63,41.58
2005-12-21,40,63.0,,0.63,25.2
