date,GOLD_unscaled,GOLD_monthly,isPartial,scale,GOLD
2005-01-01,91,47.0,False,0.47,42.769999999999996
2005-01-02,88,47.0,,0.47,41.36
2005-01-03,85,47.0,,0.47,39.949999999999996
2005-01-04,85,47.0,,0.47,39.949999999999996
2005-01-05,83,47.0,,0.47,39.01
2005-01-06,76,47.0,,0.47,35.72
2005-01-07,82,47.0,,0.47,38.54
2005-01-08,93,47.0,,0.47,43.71
2005-01-09,89,47.0,,0.47,41.83
2005-01-10,80,47.0,,0.47,37.599999999999994
2005-01-11,86,47.0,,0.47,40.419999999999995
2005-01-12,86,47.0,,0.47,40.419999999999995
2005-01-13,74,47.0,,0.47,34.78
2005-01-14,87,47.0,,0.47,40.89
2005-01-15,94,47.0,,0.47,44.18
2005-01-16,97,47.0,,0.47,45.589999999999996
2005-01-17,95,47.0,,0.47,44.65
2005-01-18,85,47.0,,0.47,39.949999999999996
2005-01-19,73,47.0,,0.47,34.309999999999995
2005-01-20,78,47.0,,0.47,36.66
2005-01-21,87,47.0,,0.47,40.89
2005-01-22,83,47.0,,0.47,39.01
2005-01-23,84,47.0,,0.47,39.48
2005-01-24,79,47.0,,0.47,37.129999999999995
2005-01-25,90,47.0,,0.47,42.3
2005-01-26,77,47.0,,0.47,36.19
2005-01-27,84,47.0,,0.47,39.48
2005-01-28,81,47.0,,0.47,38.07
2005-01-29,86,47.0,,0.47,40.419999999999995
2005-01-30,100,47.0,,0.47,47.0
2005-01-31,84,47.0,,0.47,39.48
2005-02-01,81,49.0,False,0.49,39.69
2005-02-02,77,49.0,,0.49,37.73
2005-02-03,93,49.0,,0.49,45.57
2005-02-04,76,49.0,,0.49,37.24
2005-02-05,91,49.0,,0.49,44.589999999999996
2005-02-06,74,49.0,,0.49,36.26
2005-02-07,80,49.0,,0.49,39.2
2005-02-08,75,49.0,,0.49,36.75
2005-02-09,100,49.0,,0.49,49.0
2005-02-10,76,49.0,,0.49,37.24
2005-02-11,87,49.0,,0.49,42.63
2005-02-12,88,49.0,,0.49,43.12
2005-02-13,87,49.0,,0.49,42.63
2005-02-14,88,49.0,,0.49,43.12
2005-02-15,82,49.0,,0.49,40.18
2005-02-16,83,49.0,,0.49,40.67
2005-02-17,79,49.0,,0.49,38.71
2005-02-18,74,49.0,,0.49,36.26
2005-02-19,86,49.0,,0.49,42.14
2005-02-20,82,49.0,,0.49,40.18
2005-02-21,90,49.0,,0.49,44.1
2005-02-22,97,49.0,,0.49,47.53
2005-02-23,77,49.0,,0.49,37.73
2005-02-24,95,49.0,,0.49,46.55
2005-02-25,81,49.0,,0.49,39.69
2005-02-26,84,49.0,,0.49,41.16
2005-02-27,90,49.0,,0.49,44.1
2005-02-28,69,49.0,,0.49,33.81
2005-03-01,80,48.0,False,0.48,38.4
2005-03-02,86,48.0,,0.48,41.28
2005-03-03,82,48.0,,0.48,39.36
2005-03-04,85,48.0,,0.48,40.8
2005-03-05,90,48.0,,0.48,43.199999999999996
2005-03-06,91,48.0,,0.48,43.68
2005-03-07,72,48.0,,0.48,34.56
2005-03-08,82,48.0,,0.48,39.36
2005-03-09,90,48.0,,0.48,43.199999999999996
2005-03-10,85,48.0,,0.48,40.8
2005-03-11,86,48.0,,0.48,41.28
2005-03-12,89,48.0,,0.48,42.72
2005-03-13,89,48.0,,0.48,42.72
2005-03-14,78,48.0,,0.48,37.44
2005-03-15,94,48.0,,0.48,45.12
2005-03-16,86,48.0,,0.48,41.28
2005-03-17,87,48.0,,0.48,41.76
2005-03-18,78,48.0,,0.48,37.44
2005-03-19,82,48.0,,0.48,39.36
2005-03-20,90,48.0,,0.48,43.199999999999996
2005-03-21,95,48.0,,0.48,45.6
2005-03-22,86,48.0,,0.48,41.28
2005-03-23,90,48.0,,0.48,43.199999999999996
2005-03-24,77,48.0,,0.48,36.96
2005-03-25,100,48.0,,0.48,48.0
2005-03-26,79,48.0,,0.48,37.92
2005-03-27,91,48.0,,0.48,43.68
2005-03-28,89,48.0,,0.48,42.72
2005-03-29,81,48.0,,0.48,38.879999999999995
2005-03-30,73,48.0,,0.48,35.04
2005-03-31,80,48.0,,0.48,38.4
2005-04-01,77,49.0,False,0.49,37.73
2005-04-02,77,49.0,,0.49,37.73
2005-04-03,85,49.0,,0.49,41.65
2005-04-04,79,49.0,,0.49,38.71
2005-04-05,0,49.0,,0.49,0.0
2005-04-06,79,49.0,,0.49,38.71
2005-04-07,77,49.0,,0.49,37.73
2005-04-08,84,49.0,,0.49,41.16
2005-04-09,79,49.0,,0.49,38.71
2005-04-10,96,49.0,,0.49,47.04
2005-04-11,78,49.0,,0.49,38.22
2005-04-12,74,49.0,,0.49,36.26
2005-04-13,69,49.0,,0.49,33.81
2005-04-14,71,49.0,,0.49,34.79
2005-04-15,69,49.0,,0.49,33.81
2005-04-16,75,49.0,,0.49,36.75
2005-04-17,78,49.0,,0.49,38.22
2005-04-18,76,49.0,,0.49,37.24
2005-04-19,69,49.0,,0.49,33.81
2005-04-20,71,49.0,,0.49,34.79
2005-04-21,77,49.0,,0.49,37.73
2005-04-22,79,49.0,,0.49,38.71
2005-04-23,100,49.0,,0.49,49.0
2005-04-24,70,49.0,,0.49,34.3
2005-04-25,68,49.0,,0.49,33.32
2005-04-26,80,49.0,,0.49,39.2
2005-04-27,68,49.0,,0.49,33.32
2005-04-28,77,49.0,,0.49,37.73
2005-04-29,68,49.0,,0.49,33.32
2005-04-30,78,49.0,,0.49,38.22
2005-05-01,97,49.0,False,0.49,47.53
2005-05-02,81,49.0,,0.49,39.69
2005-05-03,75,49.0,,0.49,36.75
2005-05-04,74,49.0,,0.49,36.26
2005-05-05,92,49.0,,0.49,45.08
2005-05-06,75,49.0,,0.49,36.75
2005-05-07,81,49.0,,0.49,39.69
2005-05-08,100,49.0,,0.49,49.0
2005-05-09,70,49.0,,0.49,34.3
2005-05-10,76,49.0,,0.49,37.24
2005-05-11,75,49.0,,0.49,36.75
2005-05-12,84,49.0,,0.49,41.16
2005-05-13,85,49.0,,0.49,41.65
2005-05-14,79,49.0,,0.49,38.71
2005-05-15,80,49.0,,0.49,39.2
2005-05-16,76,49.0,,0.49,37.24
2005-05-17,80,49.0,,0.49,39.2
2005-05-18,75,49.0,,0.49,36.75
2005-05-19,79,49.0,,0.49,38.71
2005-05-20,74,49.0,,0.49,36.26
2005-05-21,73,49.0,,0.49,35.769999999999996
2005-05-22,61,49.0,,0.49,29.89
2005-05-23,80,49.0,,0.49,39.2
2005-05-24,88,49.0,,0.49,43.12
2005-05-25,63,49.0,,0.49,30.87
2005-05-26,78,49.0,,0.49,38.22
2005-05-27,87,49.0,,0.49,42.63
2005-05-28,82,49.0,,0.49,40.18
2005-05-29,84,49.0,,0.49,41.16
2005-05-30,85,49.0,,0.49,41.65
2005-05-31,79,49.0,,0.49,38.71
2005-06-01,82,47.0,False,0.47,38.54
2005-06-02,90,47.0,,0.47,42.3
2005-06-03,86,47.0,,0.47,40.419999999999995
2005-06-04,91,47.0,,0.47,42.769999999999996
2005-06-05,100,47.0,,0.47,47.0
2005-06-06,91,47.0,,0.47,42.769999999999996
2005-06-07,86,47.0,,0.47,40.419999999999995
2005-06-08,84,47.0,,0.47,39.48
2005-06-09,81,47.0,,0.47,38.07
2005-06-10,99,47.0,,0.47,46.529999999999994
2005-06-11,83,47.0,,0.47,39.01
2005-06-12,91,47.0,,0.47,42.769999999999996
2005-06-13,83,47.0,,0.47,39.01
2005-06-14,96,47.0,,0.47,45.12
2005-06-15,83,47.0,,0.47,39.01
2005-06-16,87,47.0,,0.47,40.89
2005-06-17,86,47.0,,0.47,40.419999999999995
2005-06-18,92,47.0,,0.47,43.239999999999995
2005-06-19,95,47.0,,0.47,44.65
2005-06-20,89,47.0,,0.47,41.83
2005-06-21,86,47.0,,0.47,40.419999999999995
2005-06-22,87,47.0,,0.47,40.89
2005-06-23,85,47.0,,0.47,39.949999999999996
2005-06-24,90,47.0,,0.47,42.3
2005-06-25,96,47.0,,0.47,45.12
2005-06-26,96,47.0,,0.47,45.12
2005-06-27,92,47.0,,0.47,43.239999999999995
2005-06-28,93,47.0,,0.47,43.71
2005-06-29,83,47.0,,0.47,39.01
2005-06-30,82,47.0,,0.47,38.54
2005-07-01,66,50.0,False,0.5,33.0
2005-07-02,83,50.0,,0.5,41.5
2005-07-03,68,50.0,,0.5,34.0
2005-07-04,67,50.0,,0.5,33.5
2005-07-05,75,50.0,,0.5,37.5
2005-07-06,68,50.0,,0.5,34.0
2005-07-07,80,50.0,,0.5,40.0
2005-07-08,65,50.0,,0.5,32.5
2005-07-09,77,50.0,,0.5,38.5
2005-07-10,89,50.0,,0.5,44.5
2005-07-11,71,50.0,,0.5,35.5
2005-07-12,76,50.0,,0.5,38.0
2005-07-13,82,50.0,,0.5,41.0
2005-07-14,68,50.0,,0.5,34.0
2005-07-15,86,50.0,,0.5,43.0
2005-07-16,92,50.0,,0.5,46.0
2005-07-17,100,50.0,,0.5,50.0
2005-07-18,82,50.0,,0.5,41.0
2005-07-19,73,50.0,,0.5,36.5
2005-07-20,80,50.0,,0.5,40.0
2005-07-21,80,50.0,,0.5,40.0
2005-07-22,83,50.0,,0.5,41.5
2005-07-23,76,50.0,,0.5,38.0
2005-07-24,90,50.0,,0.5,45.0
2005-07-25,64,50.0,,0.5,32.0
2005-07-26,81,50.0,,0.5,40.5
2005-07-27,65,50.0,,0.5,32.5
2005-07-28,67,50.0,,0.5,33.5
2005-07-29,78,50.0,,0.5,39.0
2005-07-30,79,50.0,,0.5,39.5
2005-07-31,63,50.0,,0.5,31.5
2005-08-01,75,51.0,False,0.51,38.25
2005-08-02,72,51.0,,0.51,36.72
2005-08-03,76,51.0,,0.51,38.76
2005-08-04,74,51.0,,0.51,37.74
2005-08-05,83,51.0,,0.51,42.33
2005-08-06,97,51.0,,0.51,49.47
2005-08-07,98,51.0,,0.51,49.980000000000004
2005-08-08,86,51.0,,0.51,43.86
2005-08-09,84,51.0,,0.51,42.84
2005-08-10,90,51.0,,0.51,45.9
2005-08-11,78,51.0,,0.51,39.78
2005-08-12,81,51.0,,0.51,41.31
2005-08-13,88,51.0,,0.51,44.88
2005-08-14,91,51.0,,0.51,46.410000000000004
2005-08-15,78,51.0,,0.51,39.78
2005-08-16,90,51.0,,0.51,45.9
2005-08-17,80,51.0,,0.51,40.8
2005-08-18,84,51.0,,0.51,42.84
2005-08-19,90,51.0,,0.51,45.9
2005-08-20,88,51.0,,0.51,44.88
2005-08-21,100,51.0,,0.51,51.0
2005-08-22,88,51.0,,0.51,44.88
2005-08-23,85,51.0,,0.51,43.35
2005-08-24,84,51.0,,0.51,42.84
2005-08-25,84,51.0,,0.51,42.84
2005-08-26,83,51.0,,0.51,42.33
2005-08-27,82,51.0,,0.51,41.82
2005-08-28,100,51.0,,0.51,51.0
2005-08-29,77,51.0,,0.51,39.27
2005-08-30,85,51.0,,0.51,43.35
2005-08-31,90,51.0,,0.51,45.9
2005-09-01,67,53.0,False,0.53,35.510000000000005
2005-09-02,63,53.0,,0.53,33.39
2005-09-03,82,53.0,,0.53,43.46
2005-09-04,80,53.0,,0.53,42.400000000000006
2005-09-05,77,53.0,,0.53,40.81
2005-09-06,65,53.0,,0.53,34.45
2005-09-07,71,53.0,,0.53,37.63
2005-09-08,70,53.0,,0.53,37.1
2005-09-09,83,53.0,,0.53,43.99
2005-09-10,79,53.0,,0.53,41.870000000000005
2005-09-11,86,53.0,,0.53,45.580000000000005
2005-09-12,68,53.0,,0.53,36.04
2005-09-13,67,53.0,,0.53,35.510000000000005
2005-09-14,65,53.0,,0.53,34.45
2005-09-15,63,53.0,,0.53,33.39
2005-09-16,80,53.0,,0.53,42.400000000000006
2005-09-17,82,53.0,,0.53,43.46
2005-09-18,100,53.0,,0.53,53.0
2005-09-19,76,53.0,,0.53,40.28
2005-09-20,78,53.0,,0.53,41.34
2005-09-21,70,53.0,,0.53,37.1
2005-09-22,64,53.0,,0.53,33.92
2005-09-23,79,53.0,,0.53,41.870000000000005
2005-09-24,82,53.0,,0.53,43.46
2005-09-25,86,53.0,,0.53,45.580000000000005
2005-09-26,64,53.0,,0.53,33.92
2005-09-27,78,53.0,,0.53,41.34
2005-09-28,73,53.0,,0.53,38.690000000000005
2005-09-29,70,53.0,,0.53,37.1
2005-09-30,76,53.0,,0.53,40.28
2005-10-01,94,51.0,False,0.51,47.94
2005-10-02,95,51.0,,0.51,48.45
2005-10-03,77,51.0,,0.51,39.27
2005-10-04,89,51.0,,0.51,45.39
2005-10-05,77,51.0,,0.51,39.27
2005-10-06,82,51.0,,0.51,41.82
2005-10-07,86,51.0,,0.51,43.86
2005-10-08,100,51.0,,0.51,51.0
2005-10-09,98,51.0,,0.51,49.980000000000004
2005-10-10,88,51.0,,0.51,44.88
2005-10-11,76,51.0,,0.51,38.76
2005-10-12,85,51.0,,0.51,43.35
2005-10-13,75,51.0,,0.51,38.25
2005-10-14,73,51.0,,0.51,37.230000000000004
2005-10-15,96,51.0,,0.51,48.96
2005-10-16,87,51.0,,0.51,44.37
2005-10-17,79,51.0,,0.51,40.29
2005-10-18,88,51.0,,0.51,44.88
2005-10-19,84,51.0,,0.51,42.84
2005-10-20,80,51.0,,0.51,40.8
2005-10-21,84,51.0,,0.51,42.84
2005-10-22,84,51.0,,0.51,42.84
2005-10-23,87,51.0,,0.51,44.37
2005-10-24,88,51.0,,0.51,44.88
2005-10-25,85,51.0,,0.51,43.35
2005-10-26,76,51.0,,0.51,38.76
2005-10-27,68,51.0,,0.51,34.68
2005-10-28,85,51.0,,0.51,43.35
2005-10-29,76,51.0,,0.51,38.76
2005-10-30,93,51.0,,0.51,47.43
2005-10-31,75,51.0,,0.51,38.25
2005-11-01,65,54.0,False,0.54,35.1
2005-11-02,73,54.0,,0.54,39.42
2005-11-03,76,54.0,,0.54,41.040000000000006
2005-11-04,70,54.0,,0.54,37.800000000000004
2005-11-05,83,54.0,,0.54,44.82
2005-11-06,84,54.0,,0.54,45.36
2005-11-07,76,54.0,,0.54,41.040000000000006
2005-11-08,79,54.0,,0.54,42.660000000000004
2005-11-09,69,54.0,,0.54,37.260000000000005
2005-11-10,66,54.0,,0.54,35.64
2005-11-11,81,54.0,,0.54,43.74
2005-11-12,79,54.0,,0.54,42.660000000000004
2005-11-13,82,54.0,,0.54,44.28
2005-11-14,76,54.0,,0.54,41.040000000000006
2005-11-15,76,54.0,,0.54,41.040000000000006
2005-11-16,79,54.0,,0.54,42.660000000000004
2005-11-17,81,54.0,,0.54,43.74
2005-11-18,80,54.0,,0.54,43.2
2005-11-19,86,54.0,,0.54,46.440000000000005
2005-11-20,82,54.0,,0.54,44.28
2005-11-21,80,54.0,,0.54,43.2
2005-11-22,78,54.0,,0.54,42.120000000000005
2005-11-23,79,54.0,,0.54,42.660000000000004
2005-11-24,74,54.0,,0.54,39.96
2005-11-25,85,54.0,,0.54,45.900000000000006
2005-11-26,100,54.0,,0.54,54.0
2005-11-27,93,54.0,,0.54,50.220000000000006
2005-11-28,83,54.0,,0.54,44.82
2005-11-29,84,54.0,,0.54,45.36
2005-11-30,80,54.0,,0.54,43.2
2005-12-01,80,59.0,False,0.59,47.199999999999996
2005-12-02,76,59.0,,0.59,44.839999999999996
2005-12-03,89,59.0,,0.59,52.51
2005-12-04,90,59.0,,0.59,53.099999999999994
2005-12-05,76,59.0,,0.59,44.839999999999996
2005-12-06,85,59.0,,0.59,50.15
2005-12-07,84,59.0,,0.59,49.559999999999995
2005-12-08,83,59.0,,0.59,48.97
2005-12-09,94,59.0,,0.59,55.459999999999994
2005-12-10,88,59.0,,0.59,51.919999999999995
2005-12-11,91,59.0,,0.59,53.69
2005-12-12,94,59.0,,0.59,55.459999999999994
2005-12-13,87,59.0,,0.59,51.33
2005-12-14,91,59.0,,0.59,53.69
2005-12-15,83,59.0,,0.59,48.97
2005-12-16,76,59.0,,0.59,44.839999999999996
2005-12-17,100,59.0,,0.59,59.0
2005-12-18,94,59.0,,0.59,55.459999999999994
2005-12-19,71,59.0,,0.59,41.89
2005-12-20,79,59.0,,0.59,46.61
2005-12-21,89,59.0,,0.59,52.51
2005-12-22,87,59.0,,0.59,51.33
2005-12-23,82,59.0,,0.59,48.379999999999995
2005-12-24,84,59.0,,0.59,49.559999999999995
2005-12-25,84,59.0,,0.59,49.559999999999995
2005-12-26,84,59.0,,0.59,49.559999999999995
2005-12-27,91,59.0,,0.59,53.69
2005-12-28,88,59.0,,0.59,51.919999999999995
2005-12-29,87,59.0,,0.59,51.33
2005-12-30,82,59.0,,0.59,48.379999999999995
2005-12-31,100,59.0,,0.59,59.0
2006-01-01,77,55.0,False,0.55,42.35
2006-01-02,85,55.0,,0.55,46.75000000000001
2006-01-03,100,55.0,,0.55,55.00000000000001
2006-01-04,96,55.0,,0.55,52.800000000000004
2006-01-05,84,55.0,,0.55,46.2
2006-01-06,81,55.0,,0.55,44.550000000000004
2006-01-07,91,55.0,,0.55,50.050000000000004
2006-01-08,95,55.0,,0.55,52.25000000000001
2006-01-09,90,55.0,,0.55,49.50000000000001
2006-01-10,73,55.0,,0.55,40.150000000000006
2006-01-11,91,55.0,,0.55,50.050000000000004
2006-01-12,87,55.0,,0.55,47.85
2006-01-13,78,55.0,,0.55,42.900000000000006
2006-01-14,87,55.0,,0.55,47.85
2006-01-15,91,55.0,,0.55,50.050000000000004
2006-01-16,79,55.0,,0.55,43.45
2006-01-17,82,55.0,,0.55,45.1
2006-01-18,78,55.0,,0.55,42.900000000000006
2006-01-19,81,55.0,,0.55,44.550000000000004
2006-01-20,84,55.0,,0.55,46.2
2006-01-21,99,55.0,,0.55,54.45
2006-01-22,90,55.0,,0.55,49.50000000000001
2006-01-23,81,55.0,,0.55,44.550000000000004
2006-01-24,85,55.0,,0.55,46.75000000000001
2006-01-25,84,55.0,,0.55,46.2
2006-01-26,97,55.0,,0.55,53.35
2006-01-27,80,55.0,,0.55,44.0
2006-01-28,85,55.0,,0.55,46.75000000000001
2006-01-29,98,55.0,,0.55,53.900000000000006
2006-01-30,87,55.0,,0.55,47.85
2006-01-31,92,55.0,,0.55,50.6
2006-02-01,71,61.0,False,0.61,43.31
2006-02-02,82,61.0,,0.61,50.019999999999996
2006-02-03,81,61.0,,0.61,49.41
2006-02-04,81,61.0,,0.61,49.41
2006-02-05,91,61.0,,0.61,55.51
2006-02-06,77,61.0,,0.61,46.97
2006-02-07,75,61.0,,0.61,45.75
2006-02-08,86,61.0,,0.61,52.46
2006-02-09,81,61.0,,0.61,49.41
2006-02-10,82,61.0,,0.61,50.019999999999996
2006-02-11,96,61.0,,0.61,58.56
2006-02-12,91,61.0,,0.61,55.51
2006-02-13,97,61.0,,0.61,59.17
2006-02-14,82,61.0,,0.61,50.019999999999996
2006-02-15,80,61.0,,0.61,48.8
2006-02-16,92,61.0,,0.61,56.12
2006-02-17,84,61.0,,0.61,51.24
2006-02-18,99,61.0,,0.61,60.39
2006-02-19,90,61.0,,0.61,54.9
2006-02-20,89,61.0,,0.61,54.29
2006-02-21,80,61.0,,0.61,48.8
2006-02-22,75,61.0,,0.61,45.75
2006-02-23,95,61.0,,0.61,57.949999999999996
2006-02-24,91,61.0,,0.61,55.51
2006-02-25,97,61.0,,0.61,59.17
2006-02-26,100,61.0,,0.61,61.0
2006-02-27,92,61.0,,0.61,56.12
2006-02-28,75,61.0,,0.61,45.75
2006-03-01,86,53.0,False,0.53,45.580000000000005
2006-03-02,82,53.0,,0.53,43.46
2006-03-03,85,53.0,,0.53,45.050000000000004
2006-03-04,92,53.0,,0.53,48.760000000000005
2006-03-05,94,53.0,,0.53,49.82
2006-03-06,80,53.0,,0.53,42.400000000000006
2006-03-07,91,53.0,,0.53,48.230000000000004
2006-03-08,86,53.0,,0.53,45.580000000000005
2006-03-09,82,53.0,,0.53,43.46
2006-03-10,91,53.0,,0.53,48.230000000000004
2006-03-11,89,53.0,,0.53,47.17
2006-03-12,100,53.0,,0.53,53.0
2006-03-13,84,53.0,,0.53,44.52
2006-03-14,84,53.0,,0.53,44.52
2006-03-15,77,53.0,,0.53,40.81
2006-03-16,81,53.0,,0.53,42.93
2006-03-17,88,53.0,,0.53,46.64
2006-03-18,93,53.0,,0.53,49.29
2006-03-19,88,53.0,,0.53,46.64
2006-03-20,82,53.0,,0.53,43.46
2006-03-21,87,53.0,,0.53,46.11
2006-03-22,93,53.0,,0.53,49.29
2006-03-23,80,53.0,,0.53,42.400000000000006
2006-03-24,79,53.0,,0.53,41.870000000000005
2006-03-25,100,53.0,,0.53,53.0
2006-03-26,89,53.0,,0.53,47.17
2006-03-27,86,53.0,,0.53,45.580000000000005
2006-03-28,88,53.0,,0.53,46.64
2006-03-29,84,53.0,,0.53,44.52
2006-03-30,81,53.0,,0.53,42.93
2006-03-31,91,53.0,,0.53,48.230000000000004
2006-04-01,90,57.0,False,0.57,51.3
2006-04-02,85,57.0,,0.57,48.449999999999996
2006-04-03,78,57.0,,0.57,44.459999999999994
2006-04-04,86,57.0,,0.57,49.019999999999996
2006-04-05,90,57.0,,0.57,51.3
2006-04-06,81,57.0,,0.57,46.169999999999995
2006-04-07,93,57.0,,0.57,53.01
2006-04-08,97,57.0,,0.57,55.28999999999999
2006-04-09,93,57.0,,0.57,53.01
2006-04-10,80,57.0,,0.57,45.599999999999994
2006-04-11,86,57.0,,0.57,49.019999999999996
2006-04-12,89,57.0,,0.57,50.73
2006-04-13,66,57.0,,0.57,37.62
2006-04-14,84,57.0,,0.57,47.879999999999995
2006-04-15,90,57.0,,0.57,51.3
2006-04-16,90,57.0,,0.57,51.3
2006-04-17,81,57.0,,0.57,46.169999999999995
2006-04-18,86,57.0,,0.57,49.019999999999996
2006-04-19,100,57.0,,0.57,56.99999999999999
2006-04-20,85,57.0,,0.57,48.449999999999996
2006-04-21,88,57.0,,0.57,50.16
2006-04-22,94,57.0,,0.57,53.58
2006-04-23,93,57.0,,0.57,53.01
2006-04-24,84,57.0,,0.57,47.879999999999995
2006-04-25,85,57.0,,0.57,48.449999999999996
2006-04-26,96,57.0,,0.57,54.72
2006-04-27,90,57.0,,0.57,51.3
2006-04-28,97,57.0,,0.57,55.28999999999999
2006-04-29,91,57.0,,0.57,51.87
2006-04-30,86,57.0,,0.57,49.019999999999996
2006-05-01,80,62.0,False,0.62,49.6
2006-05-02,73,62.0,,0.62,45.26
2006-05-03,84,62.0,,0.62,52.08
2006-05-04,92,62.0,,0.62,57.04
2006-05-05,86,62.0,,0.62,53.32
2006-05-06,90,62.0,,0.62,55.8
2006-05-07,99,62.0,,0.62,61.38
2006-05-08,73,62.0,,0.62,45.26
2006-05-09,88,62.0,,0.62,54.56
2006-05-10,85,62.0,,0.62,52.7
2006-05-11,100,62.0,,0.62,62.0
2006-05-12,95,62.0,,0.62,58.9
2006-05-13,90,62.0,,0.62,55.8
2006-05-14,82,62.0,,0.62,50.839999999999996
2006-05-15,83,62.0,,0.62,51.46
2006-05-16,82,62.0,,0.62,50.839999999999996
2006-05-17,82,62.0,,0.62,50.839999999999996
2006-05-18,75,62.0,,0.62,46.5
2006-05-19,78,62.0,,0.62,48.36
2006-05-20,83,62.0,,0.62,51.46
2006-05-21,89,62.0,,0.62,55.18
2006-05-22,87,62.0,,0.62,53.94
2006-05-23,83,62.0,,0.62,51.46
2006-05-24,77,62.0,,0.62,47.74
2006-05-25,81,62.0,,0.62,50.22
2006-05-26,77,62.0,,0.62,47.74
2006-05-27,84,62.0,,0.62,52.08
2006-05-28,82,62.0,,0.62,50.839999999999996
2006-05-29,79,62.0,,0.62,48.98
2006-05-30,78,62.0,,0.62,48.36
2006-05-31,74,62.0,,0.62,45.88
2006-06-01,86,58.0,False,0.58,49.879999999999995
2006-06-02,84,58.0,,0.58,48.72
2006-06-03,93,58.0,,0.58,53.94
2006-06-04,89,58.0,,0.58,51.62
2006-06-05,87,58.0,,0.58,50.459999999999994
2006-06-06,82,58.0,,0.58,47.559999999999995
2006-06-07,80,58.0,,0.58,46.4
2006-06-08,82,58.0,,0.58,47.559999999999995
2006-06-09,87,58.0,,0.58,50.459999999999994
2006-06-10,96,58.0,,0.58,55.67999999999999
2006-06-11,82,58.0,,0.58,47.559999999999995
2006-06-12,85,58.0,,0.58,49.3
2006-06-13,88,58.0,,0.58,51.04
2006-06-14,93,58.0,,0.58,53.94
2006-06-15,89,58.0,,0.58,51.62
2006-06-16,92,58.0,,0.58,53.36
2006-06-17,87,58.0,,0.58,50.459999999999994
2006-06-18,100,58.0,,0.58,57.99999999999999
2006-06-19,89,58.0,,0.58,51.62
2006-06-20,88,58.0,,0.58,51.04
2006-06-21,78,58.0,,0.58,45.239999999999995
2006-06-22,93,58.0,,0.58,53.94
2006-06-23,82,58.0,,0.58,47.559999999999995
2006-06-24,83,58.0,,0.58,48.13999999999999
2006-06-25,94,58.0,,0.58,54.519999999999996
2006-06-26,88,58.0,,0.58,51.04
2006-06-27,79,58.0,,0.58,45.82
2006-06-28,80,58.0,,0.58,46.4
2006-06-29,86,58.0,,0.58,49.879999999999995
2006-06-30,79,58.0,,0.58,45.82
2006-07-01,89,54.0,False,0.54,48.06
2006-07-02,91,54.0,,0.54,49.14
2006-07-03,76,54.0,,0.54,41.040000000000006
2006-07-04,98,54.0,,0.54,52.92
2006-07-05,90,54.0,,0.54,48.6
2006-07-06,74,54.0,,0.54,39.96
2006-07-07,82,54.0,,0.54,44.28
2006-07-08,90,54.0,,0.54,48.6
2006-07-09,100,54.0,,0.54,54.0
2006-07-10,83,54.0,,0.54,44.82
2006-07-11,84,54.0,,0.54,45.36
2006-07-12,94,54.0,,0.54,50.760000000000005
2006-07-13,84,54.0,,0.54,45.36
2006-07-14,87,54.0,,0.54,46.980000000000004
2006-07-15,99,54.0,,0.54,53.46
2006-07-16,91,54.0,,0.54,49.14
2006-07-17,83,54.0,,0.54,44.82
2006-07-18,79,54.0,,0.54,42.660000000000004
2006-07-19,81,54.0,,0.54,43.74
2006-07-20,75,54.0,,0.54,40.5
2006-07-21,72,54.0,,0.54,38.88
2006-07-22,88,54.0,,0.54,47.52
2006-07-23,89,54.0,,0.54,48.06
2006-07-24,86,54.0,,0.54,46.440000000000005
2006-07-25,93,54.0,,0.54,50.220000000000006
2006-07-26,76,54.0,,0.54,41.040000000000006
2006-07-27,74,54.0,,0.54,39.96
2006-07-28,83,54.0,,0.54,44.82
2006-07-29,82,54.0,,0.54,44.28
2006-07-30,86,54.0,,0.54,46.440000000000005
2006-07-31,76,54.0,,0.54,41.040000000000006
2006-08-01,83,53.0,False,0.53,43.99
2006-08-02,85,53.0,,0.53,45.050000000000004
2006-08-03,82,53.0,,0.53,43.46
2006-08-04,86,53.0,,0.53,45.580000000000005
2006-08-05,89,53.0,,0.53,47.17
2006-08-06,100,53.0,,0.53,53.0
2006-08-07,84,53.0,,0.53,44.52
2006-08-08,84,53.0,,0.53,44.52
2006-08-09,86,53.0,,0.53,45.580000000000005
2006-08-10,75,53.0,,0.53,39.75
2006-08-11,87,53.0,,0.53,46.11
2006-08-12,100,53.0,,0.53,53.0
2006-08-13,93,53.0,,0.53,49.29
2006-08-14,76,53.0,,0.53,40.28
2006-08-15,85,53.0,,0.53,45.050000000000004
2006-08-16,86,53.0,,0.53,45.580000000000005
2006-08-17,83,53.0,,0.53,43.99
2006-08-18,83,53.0,,0.53,43.99
2006-08-19,99,53.0,,0.53,52.470000000000006
2006-08-20,99,53.0,,0.53,52.470000000000006
2006-08-21,90,53.0,,0.53,47.7
2006-08-22,77,53.0,,0.53,40.81
2006-08-23,86,53.0,,0.53,45.580000000000005
2006-08-24,84,53.0,,0.53,44.52
2006-08-25,82,53.0,,0.53,43.46
2006-08-26,81,53.0,,0.53,42.93
2006-08-27,87,53.0,,0.53,46.11
2006-08-28,82,53.0,,0.53,43.46
