date,community bank_unscaled,community bank_monthly,isPartial,scale,community bank
2005-01-01,50,49.0,False,0.49,24.5
2005-01-02,58,49.0,,0.49,28.419999999999998
2005-01-03,41,49.0,,0.49,20.09
2005-01-04,50,49.0,,0.49,24.5
2005-01-05,90,49.0,,0.49,44.1
2005-01-06,74,49.0,,0.49,36.26
2005-01-07,41,49.0,,0.49,20.09
2005-01-08,45,49.0,,0.49,22.05
2005-01-09,27,49.0,,0.49,13.23
2005-01-10,49,49.0,,0.49,24.009999999999998
2005-01-11,79,49.0,,0.49,38.71
2005-01-12,59,49.0,,0.49,28.91
2005-01-13,49,49.0,,0.49,24.009999999999998
2005-01-14,91,49.0,,0.49,44.589999999999996
2005-01-15,45,49.0,,0.49,22.05
2005-01-16,37,49.0,,0.49,18.13
2005-01-17,100,49.0,,0.49,49.0
2005-01-18,48,49.0,,0.49,23.52
2005-01-19,49,49.0,,0.49,24.009999999999998
2005-01-20,72,49.0,,0.49,35.28
2005-01-21,40,49.0,,0.49,19.6
2005-01-22,26,49.0,,0.49,12.74
2005-01-23,50,49.0,,0.49,24.5
2005-01-24,64,49.0,,0.49,31.36
2005-01-25,83,49.0,,0.49,40.67
2005-01-26,37,49.0,,0.49,18.13
2005-01-27,85,49.0,,0.49,41.65
2005-01-28,50,49.0,,0.49,24.5
2005-01-29,68,49.0,,0.49,33.32
2005-01-30,50,49.0,,0.49,24.5
2005-01-31,78,49.0,,0.49,38.22
2005-02-01,32,45.0,False,0.45,14.4
2005-02-02,62,45.0,,0.45,27.900000000000002
2005-02-03,57,45.0,,0.45,25.650000000000002
2005-02-04,100,45.0,,0.45,45.0
2005-02-05,32,45.0,,0.45,14.4
2005-02-06,48,45.0,,0.45,21.6
2005-02-07,62,45.0,,0.45,27.900000000000002
2005-02-08,63,45.0,,0.45,28.35
2005-02-09,51,45.0,,0.45,22.95
2005-02-10,66,45.0,,0.45,29.7
2005-02-11,78,45.0,,0.45,35.1
2005-02-12,39,45.0,,0.45,17.55
2005-02-13,15,45.0,,0.45,6.75
2005-02-14,47,45.0,,0.45,21.150000000000002
2005-02-15,28,45.0,,0.45,12.6
2005-02-16,69,45.0,,0.45,31.05
2005-02-17,51,45.0,,0.45,22.95
2005-02-18,40,45.0,,0.45,18.0
2005-02-19,54,45.0,,0.45,24.3
2005-02-20,39,45.0,,0.45,17.55
2005-02-21,51,45.0,,0.45,22.95
2005-02-22,40,45.0,,0.45,18.0
2005-02-23,81,45.0,,0.45,36.45
2005-02-24,55,45.0,,0.45,24.75
2005-02-25,68,45.0,,0.45,30.6
2005-02-26,82,45.0,,0.45,36.9
2005-02-27,68,45.0,,0.45,30.6
2005-02-28,45,45.0,,0.45,20.25
2005-03-01,66,50.0,False,0.5,33.0
2005-03-02,51,50.0,,0.5,25.5
2005-03-03,67,50.0,,0.5,33.5
2005-03-04,68,50.0,,0.5,34.0
2005-03-05,63,50.0,,0.5,31.5
2005-03-06,28,50.0,,0.5,14.0
2005-03-07,100,50.0,,0.5,50.0
2005-03-08,100,50.0,,0.5,50.0
2005-03-09,79,50.0,,0.5,39.5
2005-03-10,59,50.0,,0.5,29.5
2005-03-11,71,50.0,,0.5,35.5
2005-03-12,68,50.0,,0.5,34.0
2005-03-13,28,50.0,,0.5,14.0
2005-03-14,29,50.0,,0.5,14.5
2005-03-15,61,50.0,,0.5,30.5
2005-03-16,66,50.0,,0.5,33.0
2005-03-17,51,50.0,,0.5,25.5
2005-03-18,73,50.0,,0.5,36.5
2005-03-19,48,50.0,,0.5,24.0
2005-03-20,43,50.0,,0.5,21.5
2005-03-21,51,50.0,,0.5,25.5
2005-03-22,62,50.0,,0.5,31.0
2005-03-23,58,50.0,,0.5,29.0
2005-03-24,75,50.0,,0.5,37.5
2005-03-25,52,50.0,,0.5,26.0
2005-03-26,29,50.0,,0.5,14.5
2005-03-27,14,50.0,,0.5,7.0
2005-03-28,59,50.0,,0.5,29.5
2005-03-29,47,50.0,,0.5,23.5
2005-03-30,30,50.0,,0.5,15.0
2005-03-31,44,50.0,,0.5,22.0
2005-04-01,61,50.0,False,0.5,30.5
2005-04-02,31,50.0,,0.5,15.5
2005-04-03,30,50.0,,0.5,15.0
2005-04-04,39,50.0,,0.5,19.5
2005-04-05,0,50.0,,0.5,0.0
2005-04-06,94,50.0,,0.5,47.0
2005-04-07,80,50.0,,0.5,40.0
2005-04-08,30,50.0,,0.5,15.0
2005-04-09,33,50.0,,0.5,16.5
2005-04-10,24,50.0,,0.5,12.0
2005-04-11,60,50.0,,0.5,30.0
2005-04-12,78,50.0,,0.5,39.0
2005-04-13,49,50.0,,0.5,24.5
2005-04-14,75,50.0,,0.5,37.5
2005-04-15,70,50.0,,0.5,35.0
2005-04-16,41,50.0,,0.5,20.5
2005-04-17,99,50.0,,0.5,49.5
2005-04-18,60,50.0,,0.5,30.0
2005-04-19,49,50.0,,0.5,24.5
2005-04-20,64,50.0,,0.5,32.0
2005-04-21,67,50.0,,0.5,33.5
2005-04-22,100,50.0,,0.5,50.0
2005-04-23,31,50.0,,0.5,15.5
2005-04-24,30,50.0,,0.5,15.0
2005-04-25,62,50.0,,0.5,31.0
2005-04-26,48,50.0,,0.5,24.0
2005-04-27,40,50.0,,0.5,20.0
2005-04-28,62,50.0,,0.5,31.0
2005-04-29,62,50.0,,0.5,31.0
2005-04-30,59,50.0,,0.5,29.5
2005-05-01,24,53.0,False,0.53,12.72
2005-05-02,49,53.0,,0.53,25.970000000000002
2005-05-03,45,53.0,,0.53,23.85
2005-05-04,43,53.0,,0.53,22.790000000000003
2005-05-05,62,53.0,,0.53,32.86
2005-05-06,52,53.0,,0.53,27.560000000000002
2005-05-07,13,53.0,,0.53,6.890000000000001
2005-05-08,20,53.0,,0.53,10.600000000000001
2005-05-09,43,53.0,,0.53,22.790000000000003
2005-05-10,100,53.0,,0.53,53.0
2005-05-11,22,53.0,,0.53,11.66
2005-05-12,48,53.0,,0.53,25.44
2005-05-13,44,53.0,,0.53,23.32
2005-05-14,19,53.0,,0.53,10.07
2005-05-15,19,53.0,,0.53,10.07
2005-05-16,58,53.0,,0.53,30.740000000000002
2005-05-17,75,53.0,,0.53,39.75
2005-05-18,47,53.0,,0.53,24.91
2005-05-19,53,53.0,,0.53,28.09
2005-05-20,16,53.0,,0.53,8.48
2005-05-21,40,53.0,,0.53,21.200000000000003
2005-05-22,26,53.0,,0.53,13.780000000000001
2005-05-23,40,53.0,,0.53,21.200000000000003
2005-05-24,39,53.0,,0.53,20.67
2005-05-25,55,53.0,,0.53,29.150000000000002
2005-05-26,38,53.0,,0.53,20.14
2005-05-27,59,53.0,,0.53,31.270000000000003
2005-05-28,42,53.0,,0.53,22.26
2005-05-29,44,53.0,,0.53,23.32
2005-05-30,18,53.0,,0.53,9.540000000000001
2005-05-31,74,53.0,,0.53,39.22
2005-06-01,52,53.0,False,0.53,27.560000000000002
2005-06-02,82,53.0,,0.53,43.46
2005-06-03,24,53.0,,0.53,12.72
2005-06-04,26,53.0,,0.53,13.780000000000001
2005-06-05,85,53.0,,0.53,45.050000000000004
2005-06-06,71,53.0,,0.53,37.63
2005-06-07,45,53.0,,0.53,23.85
2005-06-08,56,53.0,,0.53,29.68
2005-06-09,74,53.0,,0.53,39.22
2005-06-10,33,53.0,,0.53,17.490000000000002
2005-06-11,26,53.0,,0.53,13.780000000000001
2005-06-12,33,53.0,,0.53,17.490000000000002
2005-06-13,76,53.0,,0.53,40.28
2005-06-14,45,53.0,,0.53,23.85
2005-06-15,69,53.0,,0.53,36.57
2005-06-16,43,53.0,,0.53,22.790000000000003
2005-06-17,59,53.0,,0.53,31.270000000000003
2005-06-18,40,53.0,,0.53,21.200000000000003
2005-06-19,14,53.0,,0.53,7.42
2005-06-20,100,53.0,,0.53,53.0
2005-06-21,64,53.0,,0.53,33.92
2005-06-22,47,53.0,,0.53,24.91
2005-06-23,64,53.0,,0.53,33.92
2005-06-24,81,53.0,,0.53,42.93
2005-06-25,20,53.0,,0.53,10.600000000000001
2005-06-26,67,53.0,,0.53,35.510000000000005
2005-06-27,42,53.0,,0.53,22.26
2005-06-28,60,53.0,,0.53,31.8
2005-06-29,72,53.0,,0.53,38.160000000000004
2005-06-30,51,53.0,,0.53,27.03
2005-07-01,77,55.0,False,0.55,42.35
2005-07-02,30,55.0,,0.55,16.5
2005-07-03,57,55.0,,0.55,31.35
2005-07-04,87,55.0,,0.55,47.85
2005-07-05,36,55.0,,0.55,19.8
2005-07-06,37,55.0,,0.55,20.35
2005-07-07,49,55.0,,0.55,26.950000000000003
2005-07-08,39,55.0,,0.55,21.450000000000003
2005-07-09,20,55.0,,0.55,11.0
2005-07-10,35,55.0,,0.55,19.25
2005-07-11,53,55.0,,0.55,29.150000000000002
2005-07-12,72,55.0,,0.55,39.6
2005-07-13,37,55.0,,0.55,20.35
2005-07-14,74,55.0,,0.55,40.7
2005-07-15,49,55.0,,0.55,26.950000000000003
2005-07-16,34,55.0,,0.55,18.700000000000003
2005-07-17,42,55.0,,0.55,23.1
2005-07-18,68,55.0,,0.55,37.400000000000006
2005-07-19,48,55.0,,0.55,26.400000000000002
2005-07-20,65,55.0,,0.55,35.75
2005-07-21,46,55.0,,0.55,25.3
2005-07-22,49,55.0,,0.55,26.950000000000003
2005-07-23,69,55.0,,0.55,37.95
2005-07-24,43,55.0,,0.55,23.650000000000002
2005-07-25,100,55.0,,0.55,55.00000000000001
2005-07-26,89,55.0,,0.55,48.95
2005-07-27,28,55.0,,0.55,15.400000000000002
2005-07-28,58,55.0,,0.55,31.900000000000002
2005-07-29,84,55.0,,0.55,46.2
2005-07-30,41,55.0,,0.55,22.55
2005-07-31,21,55.0,,0.55,11.55
2005-08-01,55,60.0,False,0.6,33.0
2005-08-02,54,60.0,,0.6,32.4
2005-08-03,77,60.0,,0.6,46.199999999999996
2005-08-04,91,60.0,,0.6,54.6
2005-08-05,55,60.0,,0.6,33.0
2005-08-06,28,60.0,,0.6,16.8
2005-08-07,14,60.0,,0.6,8.4
2005-08-08,100,60.0,,0.6,60.0
2005-08-09,65,60.0,,0.6,39.0
2005-08-10,63,60.0,,0.6,37.8
2005-08-11,60,60.0,,0.6,36.0
2005-08-12,36,60.0,,0.6,21.599999999999998
2005-08-13,41,60.0,,0.6,24.599999999999998
2005-08-14,28,60.0,,0.6,16.8
2005-08-15,76,60.0,,0.6,45.6
2005-08-16,81,60.0,,0.6,48.6
2005-08-17,59,60.0,,0.6,35.4
2005-08-18,86,60.0,,0.6,51.6
2005-08-19,98,60.0,,0.6,58.8
2005-08-20,47,60.0,,0.6,28.2
2005-08-21,48,60.0,,0.6,28.799999999999997
2005-08-22,57,60.0,,0.6,34.199999999999996
2005-08-23,56,60.0,,0.6,33.6
2005-08-24,68,60.0,,0.6,40.8
2005-08-25,71,60.0,,0.6,42.6
2005-08-26,74,60.0,,0.6,44.4
2005-08-27,91,60.0,,0.6,54.6
2005-08-28,26,60.0,,0.6,15.6
2005-08-29,48,60.0,,0.6,28.799999999999997
2005-08-30,78,60.0,,0.6,46.8
2005-08-31,52,60.0,,0.6,31.2
2005-09-01,46,52.0,False,0.52,23.92
2005-09-02,63,52.0,,0.52,32.76
2005-09-03,19,52.0,,0.52,9.88
2005-09-04,27,52.0,,0.52,14.040000000000001
2005-09-05,50,52.0,,0.52,26.0
2005-09-06,100,52.0,,0.52,52.0
2005-09-07,93,52.0,,0.52,48.36
2005-09-08,77,52.0,,0.52,40.04
2005-09-09,73,52.0,,0.52,37.96
2005-09-10,41,52.0,,0.52,21.32
2005-09-11,40,52.0,,0.52,20.8
2005-09-12,35,52.0,,0.52,18.2
2005-09-13,49,52.0,,0.52,25.48
2005-09-14,56,52.0,,0.52,29.12
2005-09-15,79,52.0,,0.52,41.08
2005-09-16,68,52.0,,0.52,35.36
2005-09-17,23,52.0,,0.52,11.96
2005-09-18,17,52.0,,0.52,8.84
2005-09-19,63,52.0,,0.52,32.76
2005-09-20,34,52.0,,0.52,17.68
2005-09-21,35,52.0,,0.52,18.2
2005-09-22,64,52.0,,0.52,33.28
2005-09-23,38,52.0,,0.52,19.76
2005-09-24,29,52.0,,0.52,15.08
2005-09-25,22,52.0,,0.52,11.440000000000001
2005-09-26,59,52.0,,0.52,30.68
2005-09-27,65,52.0,,0.52,33.800000000000004
2005-09-28,59,52.0,,0.52,30.68
2005-09-29,38,52.0,,0.52,19.76
2005-09-30,69,52.0,,0.52,35.88
2005-10-01,55,51.0,False,0.51,28.05
2005-10-02,38,51.0,,0.51,19.38
2005-10-03,100,51.0,,0.51,51.0
2005-10-04,75,51.0,,0.51,38.25
2005-10-05,76,51.0,,0.51,38.76
2005-10-06,91,51.0,,0.51,46.410000000000004
2005-10-07,63,51.0,,0.51,32.13
2005-10-08,66,51.0,,0.51,33.660000000000004
2005-10-09,15,51.0,,0.51,7.65
2005-10-10,93,51.0,,0.51,47.43
2005-10-11,97,51.0,,0.51,49.47
2005-10-12,76,51.0,,0.51,38.76
2005-10-13,69,51.0,,0.51,35.19
2005-10-14,97,51.0,,0.51,49.47
2005-10-15,23,51.0,,0.51,11.73
2005-10-16,44,51.0,,0.51,22.44
2005-10-17,97,51.0,,0.51,49.47
2005-10-18,92,51.0,,0.51,46.92
2005-10-19,93,51.0,,0.51,47.43
2005-10-20,58,51.0,,0.51,29.580000000000002
2005-10-21,72,51.0,,0.51,36.72
2005-10-22,58,51.0,,0.51,29.580000000000002
2005-10-23,21,51.0,,0.51,10.71
2005-10-24,91,51.0,,0.51,46.410000000000004
2005-10-25,56,51.0,,0.51,28.560000000000002
2005-10-26,84,51.0,,0.51,42.84
2005-10-27,85,51.0,,0.51,43.35
2005-10-28,82,51.0,,0.51,41.82
2005-10-29,45,51.0,,0.51,22.95
2005-10-30,52,51.0,,0.51,26.52
2005-10-31,81,51.0,,0.51,41.31
2005-11-01,76,50.0,False,0.5,38.0
2005-11-02,84,50.0,,0.5,42.0
2005-11-03,94,50.0,,0.5,47.0
2005-11-04,98,50.0,,0.5,49.0
2005-11-05,25,50.0,,0.5,12.5
2005-11-06,31,50.0,,0.5,15.5
2005-11-07,64,50.0,,0.5,32.0
2005-11-08,69,50.0,,0.5,34.5
2005-11-09,50,50.0,,0.5,25.0
2005-11-10,71,50.0,,0.5,35.5
2005-11-11,38,50.0,,0.5,19.0
2005-11-12,43,50.0,,0.5,21.5
2005-11-13,43,50.0,,0.5,21.5
2005-11-14,59,50.0,,0.5,29.5
2005-11-15,90,50.0,,0.5,45.0
2005-11-16,84,50.0,,0.5,42.0
2005-11-17,71,50.0,,0.5,35.5
2005-11-18,56,50.0,,0.5,28.0
2005-11-19,49,50.0,,0.5,24.5
2005-11-20,49,50.0,,0.5,24.5
2005-11-21,52,50.0,,0.5,26.0
2005-11-22,48,50.0,,0.5,24.0
2005-11-23,90,50.0,,0.5,45.0
2005-11-24,13,50.0,,0.5,6.5
2005-11-25,36,50.0,,0.5,18.0
2005-11-26,56,50.0,,0.5,28.0
2005-11-27,12,50.0,,0.5,6.0
2005-11-28,100,50.0,,0.5,50.0
2005-11-29,68,50.0,,0.5,34.0
2005-11-30,67,50.0,,0.5,33.5
2005-12-01,86,56.0,False,0.56,48.160000000000004
2005-12-02,61,56.0,,0.56,34.160000000000004
2005-12-03,51,56.0,,0.56,28.560000000000002
2005-12-04,35,56.0,,0.56,19.6
2005-12-05,53,56.0,,0.56,29.680000000000003
2005-12-06,49,56.0,,0.56,27.44
2005-12-07,56,56.0,,0.56,31.360000000000003
2005-12-08,70,56.0,,0.56,39.2
2005-12-09,61,56.0,,0.56,34.160000000000004
2005-12-10,25,56.0,,0.56,14.000000000000002
2005-12-11,31,56.0,,0.56,17.360000000000003
2005-12-12,60,56.0,,0.56,33.6
2005-12-13,65,56.0,,0.56,36.400000000000006
2005-12-14,86,56.0,,0.56,48.160000000000004
2005-12-15,49,56.0,,0.56,27.44
2005-12-16,78,56.0,,0.56,43.68000000000001
2005-12-17,47,56.0,,0.56,26.320000000000004
2005-12-18,28,56.0,,0.56,15.680000000000001
2005-12-19,62,56.0,,0.56,34.720000000000006
2005-12-20,65,56.0,,0.56,36.400000000000006
2005-12-21,100,56.0,,0.56,56.00000000000001
2005-12-22,72,56.0,,0.56,40.32000000000001
2005-12-23,74,56.0,,0.56,41.440000000000005
2005-12-24,45,56.0,,0.56,25.200000000000003
2005-12-25,31,56.0,,0.56,17.360000000000003
2005-12-26,63,56.0,,0.56,35.28
2005-12-27,33,56.0,,0.56,18.48
2005-12-28,73,56.0,,0.56,40.88
2005-12-29,62,56.0,,0.56,34.720000000000006
2005-12-30,34,56.0,,0.56,19.040000000000003
2005-12-31,60,56.0,,0.56,33.6
2006-01-01,38,56.0,False,0.56,21.28
2006-01-02,69,56.0,,0.56,38.64
2006-01-03,52,56.0,,0.56,29.120000000000005
2006-01-04,62,56.0,,0.56,34.720000000000006
2006-01-05,44,56.0,,0.56,24.64
2006-01-06,33,56.0,,0.56,18.48
2006-01-07,20,56.0,,0.56,11.200000000000001
2006-01-08,49,56.0,,0.56,27.44
2006-01-09,62,56.0,,0.56,34.720000000000006
2006-01-10,42,56.0,,0.56,23.520000000000003
2006-01-11,55,56.0,,0.56,30.800000000000004
2006-01-12,75,56.0,,0.56,42.00000000000001
2006-01-13,70,56.0,,0.56,39.2
2006-01-14,65,56.0,,0.56,36.400000000000006
2006-01-15,19,56.0,,0.56,10.64
2006-01-16,21,56.0,,0.56,11.760000000000002
2006-01-17,60,56.0,,0.56,33.6
2006-01-18,60,56.0,,0.56,33.6
2006-01-19,73,56.0,,0.56,40.88
2006-01-20,70,56.0,,0.56,39.2
2006-01-21,27,56.0,,0.56,15.120000000000001
2006-01-22,0,56.0,,0.56,0.0
2006-01-23,100,56.0,,0.56,56.00000000000001
2006-01-24,35,56.0,,0.56,19.6
2006-01-25,35,56.0,,0.56,19.6
2006-01-26,41,56.0,,0.56,22.96
2006-01-27,62,56.0,,0.56,34.720000000000006
2006-01-28,27,56.0,,0.56,15.120000000000001
2006-01-29,36,56.0,,0.56,20.160000000000004
2006-01-30,63,56.0,,0.56,35.28
2006-01-31,56,56.0,,0.56,31.360000000000003
2006-02-01,99,57.0,False,0.57,56.42999999999999
2006-02-02,73,57.0,,0.57,41.61
2006-02-03,64,57.0,,0.57,36.48
2006-02-04,34,57.0,,0.57,19.38
2006-02-05,59,57.0,,0.57,33.629999999999995
2006-02-06,59,57.0,,0.57,33.629999999999995
2006-02-07,83,57.0,,0.57,47.309999999999995
2006-02-08,78,57.0,,0.57,44.459999999999994
2006-02-09,73,57.0,,0.57,41.61
2006-02-10,76,57.0,,0.57,43.31999999999999
2006-02-11,29,57.0,,0.57,16.529999999999998
2006-02-12,14,57.0,,0.57,7.9799999999999995
2006-02-13,66,57.0,,0.57,37.62
2006-02-14,68,57.0,,0.57,38.76
2006-02-15,100,57.0,,0.57,56.99999999999999
2006-02-16,93,57.0,,0.57,53.01
2006-02-17,64,57.0,,0.57,36.48
2006-02-18,49,57.0,,0.57,27.929999999999996
2006-02-19,50,57.0,,0.57,28.499999999999996
2006-02-20,35,57.0,,0.57,19.95
2006-02-21,72,57.0,,0.57,41.04
2006-02-22,77,57.0,,0.57,43.88999999999999
2006-02-23,69,57.0,,0.57,39.33
2006-02-24,86,57.0,,0.57,49.019999999999996
2006-02-25,36,57.0,,0.57,20.52
2006-02-26,30,57.0,,0.57,17.099999999999998
2006-02-27,74,57.0,,0.57,42.18
2006-02-28,57,57.0,,0.57,32.489999999999995
2006-03-01,68,57.0,False,0.57,38.76
2006-03-02,79,57.0,,0.57,45.029999999999994
2006-03-03,100,57.0,,0.57,56.99999999999999
2006-03-04,41,57.0,,0.57,23.369999999999997
2006-03-05,78,57.0,,0.57,44.459999999999994
2006-03-06,90,57.0,,0.57,51.3
2006-03-07,81,57.0,,0.57,46.169999999999995
2006-03-08,91,57.0,,0.57,51.87
2006-03-09,74,57.0,,0.57,42.18
2006-03-10,71,57.0,,0.57,40.47
2006-03-11,64,57.0,,0.57,36.48
2006-03-12,32,57.0,,0.57,18.24
2006-03-13,74,57.0,,0.57,42.18
2006-03-14,62,57.0,,0.57,35.339999999999996
2006-03-15,76,57.0,,0.57,43.31999999999999
2006-03-16,84,57.0,,0.57,47.879999999999995
2006-03-17,61,57.0,,0.57,34.769999999999996
2006-03-18,63,57.0,,0.57,35.91
2006-03-19,31,57.0,,0.57,17.669999999999998
2006-03-20,95,57.0,,0.57,54.15
2006-03-21,51,57.0,,0.57,29.069999999999997
2006-03-22,68,57.0,,0.57,38.76
2006-03-23,53,57.0,,0.57,30.209999999999997
2006-03-24,73,57.0,,0.57,41.61
2006-03-25,51,57.0,,0.57,29.069999999999997
2006-03-26,16,57.0,,0.57,9.12
2006-03-27,78,57.0,,0.57,44.459999999999994
2006-03-28,79,57.0,,0.57,45.029999999999994
2006-03-29,75,57.0,,0.57,42.74999999999999
2006-03-30,93,57.0,,0.57,53.01
2006-03-31,75,57.0,,0.57,42.74999999999999
2006-04-01,25,55.0,False,0.55,13.750000000000002
2006-04-02,41,55.0,,0.55,22.55
2006-04-03,83,55.0,,0.55,45.650000000000006
2006-04-04,90,55.0,,0.55,49.50000000000001
2006-04-05,63,55.0,,0.55,34.650000000000006
2006-04-06,63,55.0,,0.55,34.650000000000006
2006-04-07,99,55.0,,0.55,54.45
2006-04-08,45,55.0,,0.55,24.750000000000004
2006-04-09,46,55.0,,0.55,25.3
2006-04-10,61,55.0,,0.55,33.550000000000004
2006-04-11,69,55.0,,0.55,37.95
2006-04-12,55,55.0,,0.55,30.250000000000004
2006-04-13,77,55.0,,0.55,42.35
2006-04-14,100,55.0,,0.55,55.00000000000001
2006-04-15,37,55.0,,0.55,20.35
2006-04-16,34,55.0,,0.55,18.700000000000003
2006-04-17,80,55.0,,0.55,44.0
2006-04-18,59,55.0,,0.55,32.45
2006-04-19,66,55.0,,0.55,36.300000000000004
2006-04-20,76,55.0,,0.55,41.800000000000004
2006-04-21,78,55.0,,0.55,42.900000000000006
2006-04-22,45,55.0,,0.55,24.750000000000004
2006-04-23,40,55.0,,0.55,22.0
2006-04-24,70,55.0,,0.55,38.5
2006-04-25,91,55.0,,0.55,50.050000000000004
2006-04-26,52,55.0,,0.55,28.6
2006-04-27,85,55.0,,0.55,46.75000000000001
2006-04-28,54,55.0,,0.55,29.700000000000003
2006-04-29,62,55.0,,0.55,34.1
2006-04-30,25,55.0,,0.55,13.750000000000002
2006-05-01,87,53.0,False,0.53,46.11
2006-05-02,69,53.0,,0.53,36.57
2006-05-03,71,53.0,,0.53,37.63
2006-05-04,95,53.0,,0.53,50.35
2006-05-05,77,53.0,,0.53,40.81
2006-05-06,72,53.0,,0.53,38.160000000000004
2006-05-07,49,53.0,,0.53,25.970000000000002
2006-05-08,77,53.0,,0.53,40.81
2006-05-09,82,53.0,,0.53,43.46
2006-05-10,48,53.0,,0.53,25.44
2006-05-11,58,53.0,,0.53,30.740000000000002
2006-05-12,78,53.0,,0.53,41.34
2006-05-13,49,53.0,,0.53,25.970000000000002
2006-05-14,55,53.0,,0.53,29.150000000000002
2006-05-15,58,53.0,,0.53,30.740000000000002
2006-05-16,83,53.0,,0.53,43.99
2006-05-17,79,53.0,,0.53,41.870000000000005
2006-05-18,81,53.0,,0.53,42.93
2006-05-19,71,53.0,,0.53,37.63
2006-05-20,73,53.0,,0.53,38.690000000000005
2006-05-21,50,53.0,,0.53,26.5
2006-05-22,73,53.0,,0.53,38.690000000000005
2006-05-23,65,53.0,,0.53,34.45
2006-05-24,84,53.0,,0.53,44.52
2006-05-25,100,53.0,,0.53,53.0
2006-05-26,94,53.0,,0.53,49.82
2006-05-27,54,53.0,,0.53,28.62
2006-05-28,26,53.0,,0.53,13.780000000000001
2006-05-29,32,53.0,,0.53,16.96
2006-05-30,47,53.0,,0.53,24.91
2006-05-31,90,53.0,,0.53,47.7
2006-06-01,62,63.0,False,0.63,39.06
2006-06-02,68,63.0,,0.63,42.84
2006-06-03,56,63.0,,0.63,35.28
2006-06-04,43,63.0,,0.63,27.09
2006-06-05,72,63.0,,0.63,45.36
2006-06-06,100,63.0,,0.63,63.0
2006-06-07,86,63.0,,0.63,54.18
2006-06-08,82,63.0,,0.63,51.660000000000004
2006-06-09,56,63.0,,0.63,35.28
2006-06-10,38,63.0,,0.63,23.94
2006-06-11,34,63.0,,0.63,21.42
2006-06-12,82,63.0,,0.63,51.660000000000004
2006-06-13,72,63.0,,0.63,45.36
2006-06-14,73,63.0,,0.63,45.99
2006-06-15,71,63.0,,0.63,44.73
2006-06-16,73,63.0,,0.63,45.99
2006-06-17,55,63.0,,0.63,34.65
2006-06-18,52,63.0,,0.63,32.76
2006-06-19,66,63.0,,0.63,41.58
2006-06-20,73,63.0,,0.63,45.99
2006-06-21,57,63.0,,0.63,35.910000000000004
2006-06-22,72,63.0,,0.63,45.36
2006-06-23,60,63.0,,0.63,37.8
2006-06-24,56,63.0,,0.63,35.28
2006-06-25,28,63.0,,0.63,17.64
2006-06-26,77,63.0,,0.63,48.51
2006-06-27,48,63.0,,0.63,30.240000000000002
2006-06-28,63,63.0,,0.63,39.69
2006-06-29,80,63.0,,0.63,50.4
2006-06-30,65,63.0,,0.63,40.95
2006-07-01,36,62.0,False,0.62,22.32
2006-07-02,43,62.0,,0.62,26.66
2006-07-03,87,62.0,,0.62,53.94
2006-07-04,28,62.0,,0.62,17.36
2006-07-05,63,62.0,,0.62,39.06
2006-07-06,75,62.0,,0.62,46.5
2006-07-07,74,62.0,,0.62,45.88
2006-07-08,38,62.0,,0.62,23.56
2006-07-09,44,62.0,,0.62,27.28
2006-07-10,98,62.0,,0.62,60.76
2006-07-11,87,62.0,,0.62,53.94
2006-07-12,97,62.0,,0.62,60.14
2006-07-13,51,62.0,,0.62,31.62
2006-07-14,73,62.0,,0.62,45.26
2006-07-15,47,62.0,,0.62,29.14
2006-07-16,44,62.0,,0.62,27.28
2006-07-17,72,62.0,,0.62,44.64
2006-07-18,76,62.0,,0.62,47.12
2006-07-19,80,62.0,,0.62,49.6
2006-07-20,49,62.0,,0.62,30.38
2006-07-21,95,62.0,,0.62,58.9
2006-07-22,46,62.0,,0.62,28.52
2006-07-23,66,62.0,,0.62,40.92
2006-07-24,90,62.0,,0.62,55.8
2006-07-25,75,62.0,,0.62,46.5
2006-07-26,87,62.0,,0.62,53.94
2006-07-27,87,62.0,,0.62,53.94
2006-07-28,91,62.0,,0.62,56.42
2006-07-29,47,62.0,,0.62,29.14
2006-07-30,38,62.0,,0.62,23.56
2006-07-31,100,62.0,,0.62,62.0
2006-08-01,85,65.0,False,0.65,55.25
2006-08-02,77,65.0,,0.65,50.050000000000004
2006-08-03,82,65.0,,0.65,53.300000000000004
2006-08-04,76,65.0,,0.65,49.4
2006-08-05,31,65.0,,0.65,20.150000000000002
2006-08-06,32,65.0,,0.65,20.8
2006-08-07,87,65.0,,0.65,56.550000000000004
2006-08-08,79,65.0,,0.65,51.35
2006-08-09,69,65.0,,0.65,44.85
2006-08-10,67,65.0,,0.65,43.550000000000004
2006-08-11,51,65.0,,0.65,33.15
2006-08-12,35,65.0,,0.65,22.75
2006-08-13,59,65.0,,0.65,38.35
2006-08-14,80,65.0,,0.65,52.0
2006-08-15,100,65.0,,0.65,65.0
2006-08-16,75,65.0,,0.65,48.75
2006-08-17,73,65.0,,0.65,47.45
2006-08-18,68,65.0,,0.65,44.2
2006-08-19,56,65.0,,0.65,36.4
2006-08-20,43,65.0,,0.65,27.95
2006-08-21,63,65.0,,0.65,40.95
2006-08-22,62,65.0,,0.65,40.300000000000004
2006-08-23,75,65.0,,0.65,48.75
2006-08-24,77,65.0,,0.65,50.050000000000004
2006-08-25,71,65.0,,0.65,46.15
2006-08-26,46,65.0,,0.65,29.900000000000002
