date,ECONOMY_unscaled,ECONOMY_monthly,isPartial,scale,ECONOMY
2005-05-16,73,74.0,,0.74,54.019999999999996
2005-05-17,78,74.0,,0.74,57.72
2005-05-18,73,74.0,,0.74,54.019999999999996
2005-05-19,64,74.0,,0.74,47.36
2005-05-20,66,74.0,,0.74,48.839999999999996
2005-05-21,35,74.0,,0.74,25.9
2005-05-22,56,74.0,,0.74,41.44
2005-05-23,67,74.0,,0.74,49.58
2005-05-24,61,74.0,,0.74,45.14
2005-05-25,79,74.0,,0.74,58.46
2005-05-26,51,74.0,,0.74,37.74
2005-05-27,61,74.0,,0.74,45.14
2005-05-28,39,74.0,,0.74,28.86
2005-05-29,31,74.0,,0.74,22.94
2005-05-30,61,74.0,,0.74,45.14
2005-05-31,71,74.0,,0.74,52.54
2005-06-01,100,43.0,False,0.43,43.0
2005-06-02,91,43.0,,0.43,39.13
2005-06-03,91,43.0,,0.43,39.13
2005-06-04,91,43.0,,0.43,39.13
2005-06-05,74,43.0,,0.43,31.82
2005-06-06,92,43.0,,0.43,39.56
2005-06-07,85,43.0,,0.43,36.55
2005-06-08,82,43.0,,0.43,35.26
2005-06-09,93,43.0,,0.43,39.99
2005-06-10,97,43.0,,0.43,41.71
2005-06-11,67,43.0,,0.43,28.81
2005-06-12,60,43.0,,0.43,25.8
2005-06-13,86,43.0,,0.43,36.98
2005-06-14,94,43.0,,0.43,40.42
2005-06-15,70,43.0,,0.43,30.099999999999998
2005-06-16,46,43.0,,0.43,19.78
2005-06-17,71,43.0,,0.43,30.53
2005-06-18,58,43.0,,0.43,24.94
2005-06-19,59,43.0,,0.43,25.37
2005-06-20,66,43.0,,0.43,28.38
2005-06-21,65,43.0,,0.43,27.95
2005-06-22,48,43.0,,0.43,20.64
2005-06-23,66,43.0,,0.43,28.38
2005-06-24,63,43.0,,0.43,27.09
2005-06-25,92,43.0,,0.43,39.56
2005-06-26,46,43.0,,0.43,19.78
2005-06-27,74,43.0,,0.43,31.82
2005-06-28,86,43.0,,0.43,36.98
2005-06-29,65,43.0,,0.43,27.95
2005-06-30,73,43.0,,0.43,31.39
2005-07-01,50,38.0,False,0.38,19.0
2005-07-02,39,38.0,,0.38,14.82
2005-07-03,51,38.0,,0.38,19.38
2005-07-04,54,38.0,,0.38,20.52
2005-07-05,59,38.0,,0.38,22.42
2005-07-06,100,38.0,,0.38,38.0
2005-07-07,68,38.0,,0.38,25.84
2005-07-08,57,38.0,,0.38,21.66
2005-07-09,85,38.0,,0.38,32.3
2005-07-10,84,38.0,,0.38,31.92
2005-07-11,68,38.0,,0.38,25.84
2005-07-12,94,38.0,,0.38,35.72
2005-07-13,74,38.0,,0.38,28.12
2005-07-14,74,38.0,,0.38,28.12
2005-07-15,98,38.0,,0.38,37.24
2005-07-16,27,38.0,,0.38,10.26
2005-07-17,76,38.0,,0.38,28.88
2005-07-18,67,38.0,,0.38,25.46
2005-07-19,74,38.0,,0.38,28.12
2005-07-20,72,38.0,,0.38,27.36
2005-07-21,55,38.0,,0.38,20.9
2005-07-22,81,38.0,,0.38,30.78
2005-07-23,82,38.0,,0.38,31.16
2005-07-24,48,38.0,,0.38,18.240000000000002
2005-07-25,68,38.0,,0.38,25.84
2005-07-26,83,38.0,,0.38,31.54
2005-07-27,67,38.0,,0.38,25.46
2005-07-28,74,38.0,,0.38,28.12
2005-07-29,64,38.0,,0.38,24.32
2005-07-30,62,38.0,,0.38,23.56
2005-07-31,47,38.0,,0.38,17.86
2005-08-01,33,42.0,False,0.42,13.86
2005-08-02,68,42.0,,0.42,28.56
2005-08-03,46,42.0,,0.42,19.32
2005-08-04,47,42.0,,0.42,19.74
2005-08-05,25,42.0,,0.42,10.5
2005-08-06,60,42.0,,0.42,25.2
2005-08-07,39,42.0,,0.42,16.38
2005-08-08,54,42.0,,0.42,22.68
2005-08-09,63,42.0,,0.42,26.459999999999997
2005-08-10,36,42.0,,0.42,15.12
2005-08-11,56,42.0,,0.42,23.52
2005-08-12,56,42.0,,0.42,23.52
2005-08-13,48,42.0,,0.42,20.16
2005-08-14,59,42.0,,0.42,24.779999999999998
2005-08-15,64,42.0,,0.42,26.88
2005-08-16,60,42.0,,0.42,25.2
2005-08-17,49,42.0,,0.42,20.58
2005-08-18,100,42.0,,0.42,42.0
2005-08-19,69,42.0,,0.42,28.98
2005-08-20,47,42.0,,0.42,19.74
2005-08-21,63,42.0,,0.42,26.459999999999997
2005-08-22,73,42.0,,0.42,30.66
2005-08-23,53,42.0,,0.42,22.259999999999998
2005-08-24,78,42.0,,0.42,32.76
2005-08-25,67,42.0,,0.42,28.14
2005-08-26,71,42.0,,0.42,29.82
2005-08-27,56,42.0,,0.42,23.52
2005-08-28,55,42.0,,0.42,23.099999999999998
2005-08-29,80,42.0,,0.42,33.6
2005-08-30,69,42.0,,0.42,28.98
2005-08-31,92,42.0,,0.42,38.64
2005-09-01,100,68.0,False,0.68,68.0
2005-09-02,42,68.0,,0.68,28.560000000000002
2005-09-03,57,68.0,,0.68,38.760000000000005
2005-09-04,50,68.0,,0.68,34.0
2005-09-05,77,68.0,,0.68,52.36000000000001
2005-09-06,60,68.0,,0.68,40.800000000000004
2005-09-07,70,68.0,,0.68,47.6
2005-09-08,58,68.0,,0.68,39.440000000000005
2005-09-09,71,68.0,,0.68,48.28
2005-09-10,70,68.0,,0.68,47.6
2005-09-11,65,68.0,,0.68,44.2
2005-09-12,64,68.0,,0.68,43.52
2005-09-13,92,68.0,,0.68,62.56
2005-09-14,62,68.0,,0.68,42.160000000000004
2005-09-15,91,68.0,,0.68,61.88
2005-09-16,73,68.0,,0.68,49.64
2005-09-17,47,68.0,,0.68,31.96
2005-09-18,72,68.0,,0.68,48.96
2005-09-19,71,68.0,,0.68,48.28
2005-09-20,83,68.0,,0.68,56.440000000000005
2005-09-21,78,68.0,,0.68,53.040000000000006
2005-09-22,71,68.0,,0.68,48.28
2005-09-23,60,68.0,,0.68,40.800000000000004
2005-09-24,44,68.0,,0.68,29.92
2005-09-25,35,68.0,,0.68,23.8
2005-09-26,67,68.0,,0.68,45.56
2005-09-27,79,68.0,,0.68,53.720000000000006
2005-09-28,74,68.0,,0.68,50.32
2005-09-29,62,68.0,,0.68,42.160000000000004
2005-09-30,69,68.0,,0.68,46.92
2005-10-01,35,65.0,False,0.65,22.75
2005-10-02,73,65.0,,0.65,47.45
2005-10-03,68,65.0,,0.65,44.2
2005-10-04,57,65.0,,0.65,37.050000000000004
2005-10-05,87,65.0,,0.65,56.550000000000004
2005-10-06,81,65.0,,0.65,52.65
2005-10-07,61,65.0,,0.65,39.65
2005-10-08,43,65.0,,0.65,27.95
2005-10-09,67,65.0,,0.65,43.550000000000004
2005-10-10,56,65.0,,0.65,36.4
2005-10-11,63,65.0,,0.65,40.95
2005-10-12,78,65.0,,0.65,50.7
2005-10-13,47,65.0,,0.65,30.55
2005-10-14,65,65.0,,0.65,42.25
2005-10-15,61,65.0,,0.65,39.65
2005-10-16,56,65.0,,0.65,36.4
2005-10-17,59,65.0,,0.65,38.35
2005-10-18,66,65.0,,0.65,42.9
2005-10-19,74,65.0,,0.65,48.1
2005-10-20,100,65.0,,0.65,65.0
2005-10-21,60,65.0,,0.65,39.0
2005-10-22,52,65.0,,0.65,33.800000000000004
2005-10-23,60,65.0,,0.65,39.0
2005-10-24,49,65.0,,0.65,31.85
2005-10-25,79,65.0,,0.65,51.35
2005-10-26,64,65.0,,0.65,41.6
2005-10-27,47,65.0,,0.65,30.55
2005-10-28,52,65.0,,0.65,33.800000000000004
2005-10-29,47,65.0,,0.65,30.55
2005-10-30,46,65.0,,0.65,29.900000000000002
2005-10-31,53,65.0,,0.65,34.45
2005-11-01,56,65.0,False,0.65,36.4
