date,BANKRUPTCY_unscaled,BANKRUPTCY_monthly,isPartial,scale,BANKRUPTCY
2005-03-25,38,84.0,,0.84,31.919999999999998
2005-03-26,28,84.0,,0.84,23.52
2005-03-27,23,84.0,,0.84,19.32
2005-03-28,40,84.0,,0.84,33.6
2005-03-29,47,84.0,,0.84,39.48
2005-03-30,56,84.0,,0.84,47.04
2005-03-31,50,84.0,,0.84,42.0
2005-04-01,69,80.0,False,0.8,55.2
2005-04-02,23,80.0,,0.8,18.400000000000002
2005-04-03,23,80.0,,0.8,18.400000000000002
2005-04-04,0,80.0,,0.8,0.0
2005-04-05,0,80.0,,0.8,0.0
2005-04-06,60,80.0,,0.8,48.0
2005-04-07,62,80.0,,0.8,49.6
2005-04-08,49,80.0,,0.8,39.2
2005-04-09,29,80.0,,0.8,23.200000000000003
2005-04-10,49,80.0,,0.8,39.2
2005-04-11,57,80.0,,0.8,45.6
2005-04-12,66,80.0,,0.8,52.800000000000004
2005-04-13,56,80.0,,0.8,44.800000000000004
