date,life insurance_unscaled,life insurance_monthly,isPartial,scale,life insurance
2005-05-27,85,85,False,0.85,72.25
2005-05-28,27,27,False,0.27,7.290000000000001
2005-05-29,35,35,False,0.35,12.25
2005-05-30,58,58,False,0.58,33.64
2005-05-31,82,82,False,0.82,67.24
2005-06-01,37,37,False,0.37,13.69
2005-06-02,88,88,False,0.88,77.44
2005-06-03,84,84,False,0.84,70.56
2005-06-04,46,46,False,0.46,21.16
2005-06-05,48,48,False,0.48,23.04
2005-06-06,75,75,False,0.75,56.25
2005-06-07,65,65,False,0.65,42.25
2005-06-08,81,81,False,0.81,65.61
2005-06-09,63,63,False,0.63,39.69
2005-06-10,41,41,False,0.41,16.81
2005-06-11,59,59,False,0.59,34.809999999999995
2005-06-12,42,42,False,0.42,17.64
2005-06-13,52,52,False,0.52,27.04
2005-06-14,90,90,False,0.9,81.0
2005-06-15,87,87,False,0.87,75.69
2005-06-16,100,100,False,1.0,100.0
2005-06-17,34,34,False,0.34,11.56
2005-06-18,37,37,False,0.37,13.69
2005-06-19,44,44,False,0.44,19.36
2005-06-20,91,91,False,0.91,82.81
2005-06-21,90,90,False,0.9,81.0
2005-06-22,67,67,False,0.67,44.89
2005-06-23,98,98,False,0.98,96.03999999999999
2005-06-24,66,66,False,0.66,43.56
2005-06-25,25,25,False,0.25,6.25
2005-06-26,31,31,False,0.31,9.61
2005-06-27,63,63,False,0.63,39.69
2005-06-28,82,82,False,0.82,67.24
2005-06-29,83,83,False,0.83,68.89
2005-06-30,88,88,False,0.88,77.44
2005-07-01,74,74,False,0.74,54.76
2005-07-02,39,39,False,0.39,15.21
2005-07-03,30,30,False,0.3,9.0
2005-07-04,53,53,False,0.53,28.09
2005-07-05,78,78,False,0.78,60.84
2005-07-06,74,74,False,0.74,54.76
2005-07-07,63,63,False,0.63,39.69
2005-07-08,51,51,False,0.51,26.01
2005-07-09,34,34,False,0.34,11.56
2005-07-10,36,36,False,0.36,12.959999999999999
2005-07-11,62,62,False,0.62,38.44
2005-07-12,57,57,False,0.57,32.489999999999995
2005-07-13,80,80,False,0.8,64.0
2005-07-14,66,66,False,0.66,43.56
2005-07-15,68,68,False,0.68,46.24
2005-07-16,25,25,False,0.25,6.25
2005-07-17,56,56,False,0.56,31.360000000000003
2005-07-18,76,76,False,0.76,57.76
2005-07-19,82,82,False,0.82,67.24
2005-07-20,59,59,False,0.59,34.809999999999995
2005-07-21,67,67,False,0.67,44.89
2005-07-22,77,77,False,0.77,59.29
2005-07-23,35,35,False,0.35,12.25
2005-07-24,20,20,False,0.2,4.0
2005-07-25,84,84,False,0.84,70.56
2005-07-26,88,88,False,0.88,77.44
2005-07-27,100,100,False,1.0,100.0
2005-07-28,79,79,False,0.79,62.410000000000004
2005-07-29,68,68,False,0.68,46.24
2005-07-30,44,44,False,0.44,19.36
2005-07-31,15,15,False,0.15,2.25
2005-08-01,74,74,False,0.74,54.76
2005-08-02,72,72,False,0.72,51.839999999999996
2005-08-03,47,47,False,0.47,22.09
2005-08-04,57,57,False,0.57,32.489999999999995
2005-08-05,73,73,False,0.73,53.29
2005-08-06,40,40,False,0.4,16.0
2005-08-07,55,55,False,0.55,30.250000000000004
2005-08-08,69,69,False,0.69,47.61
2005-08-09,67,67,False,0.67,44.89
2005-08-10,90,90,False,0.9,81.0
2005-08-11,44,44,False,0.44,19.36
2005-08-12,63,63,False,0.63,39.69
2005-08-13,43,43,False,0.43,18.49
2005-08-14,19,19,False,0.19,3.61
2005-08-15,49,49,False,0.49,24.009999999999998
2005-08-16,77,77,False,0.77,59.29
2005-08-17,53,53,False,0.53,28.09
2005-08-18,60,60,False,0.6,36.0
2005-08-19,80,80,False,0.8,64.0
2005-08-20,23,23,False,0.23,5.29
2005-08-21,23,23,False,0.23,5.29
2005-08-22,100,100,False,1.0,100.0
2005-08-23,92,92,False,0.92,84.64
2005-08-24,47,47,False,0.47,22.09
2005-08-25,52,52,False,0.52,27.04
2005-08-26,55,55,False,0.55,30.250000000000004
2005-08-27,50,50,False,0.5,25.0
2005-08-28,40,40,False,0.4,16.0
2005-08-29,58,58,False,0.58,33.64
2005-08-30,59,59,False,0.59,34.809999999999995
2005-08-31,52,52,False,0.52,27.04
2005-09-01,59,59,False,0.59,34.809999999999995
2005-09-02,88,88,False,0.88,77.44
2005-09-03,51,51,False,0.51,26.01
2005-09-04,27,27,False,0.27,7.290000000000001
2005-09-05,45,45,False,0.45,20.25
2005-09-06,68,68,False,0.68,46.24
2005-09-07,58,58,False,0.58,33.64
2005-09-08,61,61,False,0.61,37.21
2005-09-09,77,77,False,0.77,59.29
2005-09-10,23,23,False,0.23,5.29
2005-09-11,23,23,False,0.23,5.29
2005-09-12,82,82,False,0.82,67.24
2005-09-13,81,81,False,0.81,65.61
2005-09-14,100,100,False,1.0,100.0
2005-09-15,83,83,False,0.83,68.89
2005-09-16,61,61,False,0.61,37.21
2005-09-17,23,23,False,0.23,5.29
2005-09-18,28,28,False,0.28,7.840000000000001
2005-09-19,92,92,False,0.92,84.64
2005-09-20,60,60,False,0.6,36.0
2005-09-21,58,58,False,0.58,33.64
2005-09-22,45,45,False,0.45,20.25
2005-09-23,73,73,False,0.73,53.29
2005-09-24,42,42,False,0.42,17.64
2005-09-25,41,41,False,0.41,16.81
2005-09-26,64,64,False,0.64,40.96
2005-09-27,67,67,False,0.67,44.89
2005-09-28,75,75,False,0.75,56.25
2005-09-29,53,53,False,0.53,28.09
2005-09-30,64,64,False,0.64,40.96
2005-10-01,38,38,False,0.38,14.44
2005-10-02,39,39,False,0.39,15.21
2005-10-03,88,88,False,0.88,77.44
2005-10-04,96,96,False,0.96,92.16
2005-10-05,78,78,False,0.78,60.84
2005-10-06,60,60,False,0.6,36.0
2005-10-07,94,94,False,0.94,88.36
2005-10-08,33,33,False,0.33,10.89
2005-10-09,56,56,False,0.56,31.360000000000003
2005-10-10,81,81,False,0.81,65.61
2005-10-11,88,88,False,0.88,77.44
2005-10-12,73,73,False,0.73,53.29
2005-10-13,62,62,False,0.62,38.44
2005-10-14,60,60,False,0.6,36.0
2005-10-15,50,50,False,0.5,25.0
2005-10-16,43,43,False,0.43,18.49
2005-10-17,78,78,False,0.78,60.84
2005-10-18,77,77,False,0.77,59.29
2005-10-19,81,81,False,0.81,65.61
2005-10-20,90,90,False,0.9,81.0
2005-10-21,74,74,False,0.74,54.76
2005-10-22,71,71,False,0.71,50.41
2005-10-23,39,39,False,0.39,15.21
2005-10-24,84,84,False,0.84,70.56
2005-10-25,93,93,False,0.93,86.49000000000001
2005-10-26,100,100,False,1.0,100.0
2005-10-27,74,74,False,0.74,54.76
2005-10-28,89,89,False,0.89,79.21000000000001
2005-10-29,31,31,False,0.31,9.61
2005-10-30,43,43,False,0.43,18.49
2005-10-31,82,82,False,0.82,67.24
2005-11-01,83,83,False,0.83,68.89
2005-11-02,83,83,False,0.83,68.89
2005-11-03,53,53,False,0.53,28.09
2005-11-04,59,59,False,0.59,34.809999999999995
2005-11-05,81,81,False,0.81,65.61
2005-11-06,40,40,False,0.4,16.0
2005-11-07,100,100,False,1.0,100.0
2005-11-08,79,79,False,0.79,62.410000000000004
2005-11-09,40,40,False,0.4,16.0
2005-11-10,79,79,False,0.79,62.410000000000004
2005-11-11,80,80,False,0.8,64.0
2005-11-12,51,51,False,0.51,26.01
2005-11-13,50,50,False,0.5,25.0
2005-11-14,54,54,False,0.54,29.160000000000004
2005-11-15,79,79,False,0.79,62.410000000000004
2005-11-16,79,79,False,0.79,62.410000000000004
2005-11-17,94,94,False,0.94,88.36
2005-11-18,62,62,False,0.62,38.44
2005-11-19,34,34,False,0.34,11.56
2005-11-20,55,55,False,0.55,30.250000000000004
2005-11-21,66,66,False,0.66,43.56
2005-11-22,99,99,False,0.99,98.01
2005-11-23,76,76,False,0.76,57.76
2005-11-24,22,22,False,0.22,4.84
2005-11-25,48,48,False,0.48,23.04
2005-11-26,65,65,False,0.65,42.25
2005-11-27,72,72,False,0.72,51.839999999999996
2005-11-28,77,77,False,0.77,59.29
2005-11-29,86,86,False,0.86,73.96
2005-11-30,82,82,False,0.82,67.24
2005-12-01,79,79,False,0.79,62.410000000000004
2005-12-02,66,66,False,0.66,43.56
2005-12-03,36,36,False,0.36,12.959999999999999
2005-12-04,22,22,False,0.22,4.84
2005-12-05,71,71,False,0.71,50.41
2005-12-06,68,68,False,0.68,46.24
2005-12-07,97,97,False,0.97,94.09
2005-12-08,54,54,False,0.54,29.160000000000004
2005-12-09,52,52,False,0.52,27.04
2005-12-10,58,58,False,0.58,33.64
2005-12-11,50,50,False,0.5,25.0
2005-12-12,65,65,False,0.65,42.25
2005-12-13,74,74,False,0.74,54.76
2005-12-14,54,54,False,0.54,29.160000000000004
2005-12-15,53,53,False,0.53,28.09
2005-12-16,63,63,False,0.63,39.69
2005-12-17,38,38,False,0.38,14.44
2005-12-18,29,29,False,0.29,8.41
2005-12-19,67,67,False,0.67,44.89
2005-12-20,85,85,False,0.85,72.25
2005-12-21,73,73,False,0.73,53.29
2005-12-22,41,41,False,0.41,16.81
2005-12-23,33,33,False,0.33,10.89
2005-12-24,17,17,False,0.17,2.89
2005-12-25,14,14,False,0.14,1.9600000000000002
2005-12-26,88,88,False,0.88,77.44
2005-12-27,94,94,False,0.94,88.36
2005-12-28,96,96,False,0.96,92.16
2005-12-29,100,100,False,1.0,100.0
2005-12-30,56,56,False,0.56,31.360000000000003
2005-12-31,29,29,False,0.29,8.41
2006-01-01,50,50,False,0.5,25.0
2006-01-02,78,78,False,0.78,60.84
2006-01-03,76,76,False,0.76,57.76
2006-01-04,89,89,False,0.89,79.21000000000001
2006-01-05,94,94,False,0.94,88.36
2006-01-06,72,72,False,0.72,51.839999999999996
2006-01-07,53,53,False,0.53,28.09
2006-01-08,76,76,False,0.76,57.76
2006-01-09,100,100,False,1.0,100.0
2006-01-10,70,70,False,0.7,49.0
2006-01-11,55,55,False,0.55,30.250000000000004
2006-01-12,70,70,False,0.7,49.0
2006-01-13,72,72,False,0.72,51.839999999999996
2006-01-14,55,55,False,0.55,30.250000000000004
2006-01-15,32,32,False,0.32,10.24
2006-01-16,51,51,False,0.51,26.01
2006-01-17,61,61,False,0.61,37.21
2006-01-18,56,56,False,0.56,31.360000000000003
2006-01-19,71,71,False,0.71,50.41
2006-01-20,62,62,False,0.62,38.44
2006-01-21,41,41,False,0.41,16.81
2006-01-22,30,30,False,0.3,9.0
2006-01-23,49,49,False,0.49,24.009999999999998
2006-01-24,88,88,False,0.88,77.44
2006-01-25,72,72,False,0.72,51.839999999999996
2006-01-26,52,52,False,0.52,27.04
2006-01-27,57,57,False,0.57,32.489999999999995
2006-01-28,40,40,False,0.4,16.0
2006-01-29,46,46,False,0.46,21.16
2006-01-30,62,62,False,0.62,38.44
2006-01-31,75,75,False,0.75,56.25
2006-02-01,67,67,False,0.67,44.89
2006-02-02,67,67,False,0.67,44.89
2006-02-03,41,41,False,0.41,16.81
2006-02-04,46,46,False,0.46,21.16
2006-02-05,22,22,False,0.22,4.84
2006-02-06,60,60,False,0.6,36.0
2006-02-07,63,63,False,0.63,39.69
2006-02-08,62,62,False,0.62,38.44
2006-02-09,62,62,False,0.62,38.44
2006-02-10,65,65,False,0.65,42.25
2006-02-11,53,53,False,0.53,28.09
2006-02-12,45,45,False,0.45,20.25
2006-02-13,80,80,False,0.8,64.0
2006-02-14,73,73,False,0.73,53.29
2006-02-15,100,100,False,1.0,100.0
2006-02-16,76,76,False,0.76,57.76
2006-02-17,49,49,False,0.49,24.009999999999998
2006-02-18,53,53,False,0.53,28.09
2006-02-19,48,48,False,0.48,23.04
2006-02-20,72,72,False,0.72,51.839999999999996
2006-02-21,73,73,False,0.73,53.29
2006-02-22,75,75,False,0.75,56.25
2006-02-23,72,72,False,0.72,51.839999999999996
2006-02-24,68,68,False,0.68,46.24
2006-02-25,63,63,False,0.63,39.69
2006-02-26,47,47,False,0.47,22.09
2006-02-27,66,66,False,0.66,43.56
2006-02-28,75,75,False,0.75,56.25
2006-03-01,53,53,False,0.53,28.09
2006-03-02,86,86,False,0.86,73.96
2006-03-03,100,100,False,1.0,100.0
2006-03-04,36,36,False,0.36,12.959999999999999
2006-03-05,68,68,False,0.68,46.24
2006-03-06,56,56,False,0.56,31.360000000000003
2006-03-07,76,76,False,0.76,57.76
2006-03-08,60,60,False,0.6,36.0
2006-03-09,79,79,False,0.79,62.410000000000004
2006-03-10,82,82,False,0.82,67.24
2006-03-11,57,57,False,0.57,32.489999999999995
2006-03-12,56,56,False,0.56,31.360000000000003
2006-03-13,69,69,False,0.69,47.61
2006-03-14,92,92,False,0.92,84.64
2006-03-15,76,76,False,0.76,57.76
2006-03-16,64,64,False,0.64,40.96
2006-03-17,63,63,False,0.63,39.69
2006-03-18,53,53,False,0.53,28.09
2006-03-19,35,35,False,0.35,12.25
2006-03-20,80,80,False,0.8,64.0
2006-03-21,58,58,False,0.58,33.64
2006-03-22,72,72,False,0.72,51.839999999999996
2006-03-23,81,81,False,0.81,65.61
2006-03-24,69,69,False,0.69,47.61
2006-03-25,55,55,False,0.55,30.250000000000004
2006-03-26,32,32,False,0.32,10.24
2006-03-27,98,98,False,0.98,96.03999999999999
2006-03-28,70,70,False,0.7,49.0
2006-03-29,91,91,False,0.91,82.81
2006-03-30,69,69,False,0.69,47.61
2006-03-31,75,75,False,0.75,56.25
2006-04-01,61,61,False,0.61,37.21
2006-04-02,58,58,False,0.58,33.64
2006-04-03,100,100,False,1.0,100.0
2006-04-04,87,87,False,0.87,75.69
2006-04-05,94,94,False,0.94,88.36
2006-04-06,58,58,False,0.58,33.64
2006-04-07,54,54,False,0.54,29.160000000000004
2006-04-08,20,20,False,0.2,4.0
2006-04-09,21,21,False,0.21,4.41
2006-04-10,76,76,False,0.76,57.76
2006-04-11,63,63,False,0.63,39.69
2006-04-12,62,62,False,0.62,38.44
2006-04-13,89,89,False,0.89,79.21000000000001
2006-04-14,40,40,False,0.4,16.0
2006-04-15,34,34,False,0.34,11.56
2006-04-16,63,63,False,0.63,39.69
2006-04-17,82,82,False,0.82,67.24
2006-04-18,66,66,False,0.66,43.56
2006-04-19,70,70,False,0.7,49.0
2006-04-20,79,79,False,0.79,62.410000000000004
2006-04-21,49,49,False,0.49,24.009999999999998
2006-04-22,36,36,False,0.36,12.959999999999999
2006-04-23,43,43,False,0.43,18.49
2006-04-24,74,74,False,0.74,54.76
2006-04-25,90,90,False,0.9,81.0
2006-04-26,69,69,False,0.69,47.61
2006-04-27,73,73,False,0.73,53.29
2006-04-28,82,82,False,0.82,67.24
2006-04-29,41,41,False,0.41,16.81
2006-04-30,56,56,False,0.56,31.360000000000003
2006-05-01,80,80,False,0.8,64.0
2006-05-02,54,54,False,0.54,29.160000000000004
2006-05-03,86,86,False,0.86,73.96
2006-05-04,84,84,False,0.84,70.56
2006-05-05,44,44,False,0.44,19.36
2006-05-06,29,29,False,0.29,8.41
2006-05-07,48,48,False,0.48,23.04
2006-05-08,87,87,False,0.87,75.69
2006-05-09,85,85,False,0.85,72.25
2006-05-10,41,41,False,0.41,16.81
2006-05-11,58,58,False,0.58,33.64
2006-05-12,45,45,False,0.45,20.25
2006-05-13,24,24,False,0.24,5.76
2006-05-14,38,38,False,0.38,14.44
2006-05-15,100,100,False,1.0,100.0
2006-05-16,70,70,False,0.7,49.0
2006-05-17,64,64,False,0.64,40.96
2006-05-18,57,57,False,0.57,32.489999999999995
2006-05-19,69,69,False,0.69,47.61
2006-05-20,46,46,False,0.46,21.16
2006-05-21,45,45,False,0.45,20.25
2006-05-22,67,67,False,0.67,44.89
2006-05-23,51,51,False,0.51,26.01
2006-05-24,65,65,False,0.65,42.25
2006-05-25,59,59,False,0.59,34.809999999999995
2006-05-26,79,79,False,0.79,62.410000000000004
2006-05-27,18,18,False,0.18,3.2399999999999998
2006-05-28,33,33,False,0.33,10.89
2006-05-29,36,36,False,0.36,12.959999999999999
2006-05-30,51,51,False,0.51,26.01
2006-05-31,65,65,False,0.65,42.25
2006-06-01,69,69,False,0.69,47.61
2006-06-02,73,73,False,0.73,53.29
2006-06-03,59,59,False,0.59,34.809999999999995
2006-06-04,56,56,False,0.56,31.360000000000003
2006-06-05,82,82,False,0.82,67.24
2006-06-06,90,90,False,0.9,81.0
2006-06-07,76,76,False,0.76,57.76
2006-06-08,65,65,False,0.65,42.25
2006-06-09,72,72,False,0.72,51.839999999999996
2006-06-10,52,52,False,0.52,27.04
2006-06-11,46,46,False,0.46,21.16
2006-06-12,86,86,False,0.86,73.96
2006-06-13,91,91,False,0.91,82.81
2006-06-14,100,100,False,1.0,100.0
2006-06-15,92,92,False,0.92,84.64
2006-06-16,82,82,False,0.82,67.24
2006-06-17,39,39,False,0.39,15.21
2006-06-18,40,40,False,0.4,16.0
2006-06-19,64,64,False,0.64,40.96
2006-06-20,82,82,False,0.82,67.24
2006-06-21,82,82,False,0.82,67.24
2006-06-22,67,67,False,0.67,44.89
2006-06-23,52,52,False,0.52,27.04
2006-06-24,53,53,False,0.53,28.09
2006-06-25,53,53,False,0.53,28.09
2006-06-26,89,89,False,0.89,79.21000000000001
2006-06-27,86,86,False,0.86,73.96
2006-06-28,71,71,False,0.71,50.41
2006-06-29,67,67,False,0.67,44.89
2006-06-30,70,70,False,0.7,49.0
2006-07-01,8,8,False,0.08,0.64
2006-07-02,35,35,False,0.35,12.25
2006-07-03,50,50,False,0.5,25.0
2006-07-04,59,59,False,0.59,34.809999999999995
2006-07-05,100,100,False,1.0,100.0
2006-07-06,88,88,False,0.88,77.44
2006-07-07,69,69,False,0.69,47.61
2006-07-08,45,45,False,0.45,20.25
2006-07-09,43,43,False,0.43,18.49
2006-07-10,95,95,False,0.95,90.25
2006-07-11,83,83,False,0.83,68.89
2006-07-12,82,82,False,0.82,67.24
2006-07-13,67,67,False,0.67,44.89
2006-07-14,82,82,False,0.82,67.24
2006-07-15,30,30,False,0.3,9.0
2006-07-16,39,39,False,0.39,15.21
2006-07-17,76,76,False,0.76,57.76
2006-07-18,73,73,False,0.73,53.29
2006-07-19,98,98,False,0.98,96.03999999999999
2006-07-20,58,58,False,0.58,33.64
2006-07-21,71,71,False,0.71,50.41
2006-07-22,59,59,False,0.59,34.809999999999995
2006-07-23,34,34,False,0.34,11.56
2006-07-24,84,84,False,0.84,70.56
2006-07-25,73,73,False,0.73,53.29
2006-07-26,70,70,False,0.7,49.0
2006-07-27,80,80,False,0.8,64.0
2006-07-28,71,71,False,0.71,50.41
2006-07-29,52,52,False,0.52,27.04
2006-07-30,38,38,False,0.38,14.44
2006-07-31,77,77,False,0.77,59.29
2006-08-01,93,93,False,0.93,86.49000000000001
2006-08-02,48,48,False,0.48,23.04
2006-08-03,61,61,False,0.61,37.21
2006-08-04,71,71,False,0.71,50.41
2006-08-05,37,37,False,0.37,13.69
2006-08-06,52,52,False,0.52,27.04
2006-08-07,58,58,False,0.58,33.64
2006-08-08,88,88,False,0.88,77.44
2006-08-09,79,79,False,0.79,62.410000000000004
2006-08-10,73,73,False,0.73,53.29
2006-08-11,53,53,False,0.53,28.09
2006-08-12,40,40,False,0.4,16.0
2006-08-13,21,21,False,0.21,4.41
2006-08-14,88,88,False,0.88,77.44
2006-08-15,73,73,False,0.73,53.29
2006-08-16,71,71,False,0.71,50.41
2006-08-17,52,52,False,0.52,27.04
2006-08-18,61,61,False,0.61,37.21
2006-08-19,33,33,False,0.33,10.89
2006-08-20,33,33,False,0.33,10.89
2006-08-21,69,69,False,0.69,47.61
2006-08-22,100,100,False,1.0,100.0
2006-08-23,61,61,False,0.61,37.21
2006-08-24,73,73,False,0.73,53.29
2006-08-25,59,59,False,0.59,34.809999999999995
2006-08-26,41,41,False,0.41,16.81
2006-08-27,25,25,False,0.25,6.25
2006-08-28,70,70,False,0.7,49.0
2006-08-29,79,79,False,0.79,62.410000000000004
2006-08-30,46,46,False,0.46,21.16
2006-08-31,60,60,False,0.6,36.0
2006-09-01,47,47,False,0.47,22.09
2006-09-02,39,39,False,0.39,15.21
2006-09-03,30,30,False,0.3,9.0
2006-09-04,49,49,False,0.49,24.009999999999998
2006-09-05,72,72,False,0.72,51.839999999999996
2006-09-06,65,65,False,0.65,42.25
2006-09-07,88,88,False,0.88,77.44
2006-09-08,50,50,False,0.5,25.0
2006-09-09,40,40,False,0.4,16.0
2006-09-10,55,55,False,0.55,30.250000000000004
2006-09-11,74,74,False,0.74,54.76
2006-09-12,70,70,False,0.7,49.0
2006-09-13,79,79,False,0.79,62.410000000000004
2006-09-14,67,67,False,0.67,44.89
2006-09-15,62,62,False,0.62,38.44
2006-09-16,31,31,False,0.31,9.61
2006-09-17,43,43,False,0.43,18.49
2006-09-18,58,58,False,0.58,33.64
2006-09-19,65,65,False,0.65,42.25
2006-09-20,73,73,False,0.73,53.29
2006-09-21,100,100,False,1.0,100.0
2006-09-22,50,50,False,0.5,25.0
2006-09-23,36,36,False,0.36,12.959999999999999
2006-09-24,26,26,False,0.26,6.76
2006-09-25,83,83,False,0.83,68.89
2006-09-26,69,69,False,0.69,47.61
2006-09-27,64,64,False,0.64,40.96
2006-09-28,62,62,False,0.62,38.44
2006-09-29,69,69,False,0.69,47.61
2006-09-30,37,37,False,0.37,13.69
2006-10-01,40,40,False,0.4,16.0
2006-10-02,92,92,False,0.92,84.64
2006-10-03,80,80,False,0.8,64.0
2006-10-04,87,87,False,0.87,75.69
2006-10-05,84,84,False,0.84,70.56
