date,luxury apartments_unscaled,luxury apartments_monthly,isPartial,scale,luxury apartments
2005-05-30,0,0,False,0.0,0.0
2005-05-31,100,100,False,1.0,100.0
2005-06-01,100,100,False,1.0,100.0
2005-06-02,40,40,False,0.4,16.0
2005-06-03,0,0,False,0.0,0.0
2005-06-04,0,0,False,0.0,0.0
2005-06-05,36,36,False,0.36,12.959999999999999
2005-06-06,20,20,False,0.2,4.0
2005-06-07,41,41,False,0.41,16.81
2005-06-08,20,20,False,0.2,4.0
2005-06-09,21,21,False,0.21,4.41
2005-06-10,66,66,False,0.66,43.56
2005-06-11,35,35,False,0.35,12.25
2005-06-12,36,36,False,0.36,12.959999999999999
2005-06-13,41,41,False,0.41,16.81
2005-06-14,0,0,False,0.0,0.0
2005-06-15,21,21,False,0.21,4.41
2005-06-16,21,21,False,0.21,4.41
2005-06-17,0,0,False,0.0,0.0
2005-06-18,0,0,False,0.0,0.0
2005-06-19,38,38,False,0.38,14.44
2005-06-20,0,0,False,0.0,0.0
2005-06-21,0,0,False,0.0,0.0
2005-06-22,84,84,False,0.84,70.56
2005-06-23,21,21,False,0.21,4.41
2005-06-24,23,23,False,0.23,5.29
2005-06-25,37,37,False,0.37,13.69
2005-06-26,37,37,False,0.37,13.69
2005-06-27,41,41,False,0.41,16.81
2005-06-28,0,0,False,0.0,0.0
2005-06-29,62,62,False,0.62,38.44
2005-06-30,0,0,False,0.0,0.0
2005-07-01,0,0,False,0.0,0.0
2005-07-02,0,0,False,0.0,0.0
2005-07-03,0,0,False,0.0,0.0
2005-07-04,52,52,False,0.52,27.04
2005-07-05,0,0,False,0.0,0.0
2005-07-06,57,57,False,0.57,32.489999999999995
2005-07-07,0,0,False,0.0,0.0
2005-07-08,31,31,False,0.31,9.61
2005-07-09,48,48,False,0.48,23.04
2005-07-10,100,100,False,1.0,100.0
2005-07-11,58,58,False,0.58,33.64
2005-07-12,84,84,False,0.84,70.56
2005-07-13,0,0,False,0.0,0.0
2005-07-14,58,58,False,0.58,33.64
2005-07-15,62,62,False,0.62,38.44
2005-07-16,49,49,False,0.49,24.009999999999998
2005-07-17,0,0,False,0.0,0.0
2005-07-18,57,57,False,0.57,32.489999999999995
2005-07-19,28,28,False,0.28,7.840000000000001
2005-07-20,57,57,False,0.57,32.489999999999995
2005-07-21,59,59,False,0.59,34.809999999999995
2005-07-22,31,31,False,0.31,9.61
2005-07-23,0,0,False,0.0,0.0
2005-07-24,99,99,False,0.99,98.01
2005-07-25,28,28,False,0.28,7.840000000000001
2005-07-26,0,0,False,0.0,0.0
2005-07-27,29,29,False,0.29,8.41
2005-07-28,0,0,False,0.0,0.0
2005-07-29,31,31,False,0.31,9.61
2005-07-30,48,48,False,0.48,23.04
2005-07-31,0,0,False,0.0,0.0
2005-08-01,22,22,False,0.22,4.84
2005-08-02,43,43,False,0.43,18.49
2005-08-03,22,22,False,0.22,4.84
2005-08-04,22,22,False,0.22,4.84
2005-08-05,48,48,False,0.48,23.04
2005-08-06,37,37,False,0.37,13.69
2005-08-07,0,0,False,0.0,0.0
2005-08-08,0,0,False,0.0,0.0
2005-08-09,0,0,False,0.0,0.0
2005-08-10,43,43,False,0.43,18.49
2005-08-11,66,66,False,0.66,43.56
2005-08-12,0,0,False,0.0,0.0
2005-08-13,35,35,False,0.35,12.25
2005-08-14,0,0,False,0.0,0.0
2005-08-15,0,0,False,0.0,0.0
2005-08-16,64,64,False,0.64,40.96
2005-08-17,43,43,False,0.43,18.49
2005-08-18,67,67,False,0.67,44.89
2005-08-19,0,0,False,0.0,0.0
2005-08-20,35,35,False,0.35,12.25
2005-08-21,0,0,False,0.0,0.0
2005-08-22,85,85,False,0.85,72.25
2005-08-23,21,21,False,0.21,4.41
2005-08-24,0,0,False,0.0,0.0
2005-08-25,0,0,False,0.0,0.0
2005-08-26,0,0,False,0.0,0.0
2005-08-27,34,34,False,0.34,11.56
2005-08-28,0,0,False,0.0,0.0
2005-08-29,20,20,False,0.2,4.0
2005-08-30,100,100,False,1.0,100.0
2005-08-31,21,21,False,0.21,4.41
2005-09-01,17,17,False,0.17,2.89
2005-09-02,37,37,False,0.37,13.69
2005-09-03,56,56,False,0.56,31.360000000000003
2005-09-04,0,0,False,0.0,0.0
2005-09-05,0,0,False,0.0,0.0
2005-09-06,49,49,False,0.49,24.009999999999998
2005-09-07,0,0,False,0.0,0.0
2005-09-08,16,16,False,0.16,2.56
2005-09-09,0,0,False,0.0,0.0
2005-09-10,26,26,False,0.26,6.76
2005-09-11,50,50,False,0.5,25.0
2005-09-12,47,47,False,0.47,22.09
2005-09-13,15,15,False,0.15,2.25
2005-09-14,15,15,False,0.15,2.25
2005-09-15,15,15,False,0.15,2.25
2005-09-16,100,100,False,1.0,100.0
2005-09-17,0,0,False,0.0,0.0
2005-09-18,25,25,False,0.25,6.25
2005-09-19,15,15,False,0.15,2.25
2005-09-20,15,15,False,0.15,2.25
2005-09-21,0,0,False,0.0,0.0
2005-09-22,15,15,False,0.15,2.25
2005-09-23,17,17,False,0.17,2.89
2005-09-24,0,0,False,0.0,0.0
2005-09-25,50,50,False,0.5,25.0
2005-09-26,30,30,False,0.3,9.0
2005-09-27,15,15,False,0.15,2.25
2005-09-28,15,15,False,0.15,2.25
2005-09-29,46,46,False,0.46,21.16
2005-09-30,50,50,False,0.5,25.0
2005-10-01,0,0,False,0.0,0.0
2005-10-02,0,0,False,0.0,0.0
2005-10-03,41,41,False,0.41,16.81
2005-10-04,40,40,False,0.4,16.0
2005-10-05,0,0,False,0.0,0.0
2005-10-06,0,0,False,0.0,0.0
2005-10-07,22,22,False,0.22,4.84
2005-10-08,34,34,False,0.34,11.56
2005-10-09,33,33,False,0.33,10.89
2005-10-10,41,41,False,0.41,16.81
2005-10-11,20,20,False,0.2,4.0
2005-10-12,61,61,False,0.61,37.21
2005-10-13,0,0,False,0.0,0.0
2005-10-14,22,22,False,0.22,4.84
2005-10-15,0,0,False,0.0,0.0
2005-10-16,100,100,False,1.0,100.0
2005-10-17,40,40,False,0.4,16.0
2005-10-18,39,39,False,0.39,15.21
2005-10-19,0,0,False,0.0,0.0
2005-10-20,20,20,False,0.2,4.0
2005-10-21,22,22,False,0.22,4.84
2005-10-22,66,66,False,0.66,43.56
2005-10-23,0,0,False,0.0,0.0
2005-10-24,0,0,False,0.0,0.0
2005-10-25,0,0,False,0.0,0.0
2005-10-26,0,0,False,0.0,0.0
2005-10-27,59,59,False,0.59,34.809999999999995
2005-10-28,22,22,False,0.22,4.84
2005-10-29,0,0,False,0.0,0.0
2005-10-30,0,0,False,0.0,0.0
2005-10-31,82,82,False,0.82,67.24
2005-11-01,95,95,False,0.95,90.25
2005-11-02,61,61,False,0.61,37.21
2005-11-03,31,31,False,0.31,9.61
2005-11-04,32,32,False,0.32,10.24
2005-11-05,0,0,False,0.0,0.0
2005-11-06,100,100,False,1.0,100.0
2005-11-07,90,90,False,0.9,81.0
2005-11-08,57,57,False,0.57,32.489999999999995
2005-11-09,0,0,False,0.0,0.0
2005-11-10,43,43,False,0.43,18.49
2005-11-11,34,34,False,0.34,11.56
2005-11-12,0,0,False,0.0,0.0
2005-11-13,98,98,False,0.98,96.03999999999999
2005-11-14,59,59,False,0.59,34.809999999999995
2005-11-15,58,58,False,0.58,33.64
2005-11-16,58,58,False,0.58,33.64
2005-11-17,60,60,False,0.6,36.0
2005-11-18,32,32,False,0.32,10.24
2005-11-19,0,0,False,0.0,0.0
2005-11-20,49,49,False,0.49,24.009999999999998
2005-11-21,30,30,False,0.3,9.0
2005-11-22,89,89,False,0.89,79.21000000000001
2005-11-23,34,34,False,0.34,11.56
2005-11-24,54,54,False,0.54,29.160000000000004
2005-11-25,47,47,False,0.47,22.09
2005-11-26,0,0,False,0.0,0.0
2005-11-27,95,95,False,0.95,90.25
2005-11-28,86,86,False,0.86,73.96
2005-11-29,0,0,False,0.0,0.0
2005-11-30,0,0,False,0.0,0.0
2005-12-01,21,21,False,0.21,4.41
2005-12-02,0,0,False,0.0,0.0
2005-12-03,0,0,False,0.0,0.0
2005-12-04,100,100,False,1.0,100.0
2005-12-05,21,21,False,0.21,4.41
2005-12-06,61,61,False,0.61,37.21
2005-12-07,63,63,False,0.63,39.69
2005-12-08,21,21,False,0.21,4.41
2005-12-09,45,45,False,0.45,20.25
2005-12-10,0,0,False,0.0,0.0
2005-12-11,69,69,False,0.69,47.61
2005-12-12,21,21,False,0.21,4.41
2005-12-13,62,62,False,0.62,38.44
2005-12-14,43,43,False,0.43,18.49
2005-12-15,44,44,False,0.44,19.36
2005-12-16,24,24,False,0.24,5.76
2005-12-17,0,0,False,0.0,0.0
2005-12-18,37,37,False,0.37,13.69
2005-12-19,69,69,False,0.69,47.61
2005-12-20,0,0,False,0.0,0.0
2005-12-21,24,24,False,0.24,5.76
2005-12-22,26,26,False,0.26,6.76
2005-12-23,0,0,False,0.0,0.0
2005-12-24,44,44,False,0.44,19.36
2005-12-25,0,0,False,0.0,0.0
2005-12-26,78,78,False,0.78,60.84
2005-12-27,54,54,False,0.54,29.160000000000004
2005-12-28,0,0,False,0.0,0.0
2005-12-29,52,52,False,0.52,27.04
2005-12-30,28,28,False,0.28,7.840000000000001
2005-12-31,0,0,False,0.0,0.0
2006-01-01,0,0,False,0.0,0.0
2006-01-02,0,0,False,0.0,0.0
2006-01-03,21,21,False,0.21,4.41
2006-01-04,42,42,False,0.42,17.64
2006-01-05,85,85,False,0.85,72.25
2006-01-06,44,44,False,0.44,19.36
2006-01-07,0,0,False,0.0,0.0
2006-01-08,65,65,False,0.65,42.25
2006-01-09,42,42,False,0.42,17.64
2006-01-10,60,60,False,0.6,36.0
2006-01-11,0,0,False,0.0,0.0
2006-01-12,20,20,False,0.2,4.0
2006-01-13,85,85,False,0.85,72.25
2006-01-14,31,31,False,0.31,9.61
2006-01-15,0,0,False,0.0,0.0
2006-01-16,91,91,False,0.91,82.81
2006-01-17,100,100,False,1.0,100.0
2006-01-18,40,40,False,0.4,16.0
2006-01-19,61,61,False,0.61,37.21
2006-01-20,42,42,False,0.42,17.64
2006-01-21,0,0,False,0.0,0.0
2006-01-22,92,92,False,0.92,84.64
2006-01-23,20,20,False,0.2,4.0
2006-01-24,38,38,False,0.38,14.44
2006-01-25,39,39,False,0.39,15.21
2006-01-26,0,0,False,0.0,0.0
2006-01-27,0,0,False,0.0,0.0
2006-01-28,60,60,False,0.6,36.0
2006-01-29,90,90,False,0.9,81.0
2006-01-30,98,98,False,0.98,96.03999999999999
2006-01-31,0,0,False,0.0,0.0
2006-02-01,32,32,False,0.32,10.24
2006-02-02,33,33,False,0.33,10.89
2006-02-03,34,34,False,0.34,11.56
2006-02-04,49,49,False,0.49,24.009999999999998
2006-02-05,25,25,False,0.25,6.25
2006-02-06,34,34,False,0.34,11.56
2006-02-07,16,16,False,0.16,2.56
2006-02-08,16,16,False,0.16,2.56
2006-02-09,0,0,False,0.0,0.0
2006-02-10,17,17,False,0.17,2.89
2006-02-11,0,0,False,0.0,0.0
2006-02-12,48,48,False,0.48,23.04
2006-02-13,0,0,False,0.0,0.0
2006-02-14,16,16,False,0.16,2.56
2006-02-15,33,33,False,0.33,10.89
2006-02-16,49,49,False,0.49,24.009999999999998
2006-02-17,17,17,False,0.17,2.89
2006-02-18,49,49,False,0.49,24.009999999999998
2006-02-19,26,26,False,0.26,6.76
2006-02-20,18,18,False,0.18,3.2399999999999998
2006-02-21,32,32,False,0.32,10.24
2006-02-22,0,0,False,0.0,0.0
2006-02-23,16,16,False,0.16,2.56
2006-02-24,51,51,False,0.51,26.01
2006-02-25,0,0,False,0.0,0.0
2006-02-26,100,100,False,1.0,100.0
2006-02-27,79,79,False,0.79,62.410000000000004
2006-02-28,0,0,False,0.0,0.0
2006-03-01,0,0,False,0.0,0.0
2006-03-02,0,0,False,0.0,0.0
2006-03-03,26,26,False,0.26,6.76
2006-03-04,38,38,False,0.38,14.44
2006-03-05,39,39,False,0.39,15.21
2006-03-06,49,49,False,0.49,24.009999999999998
2006-03-07,24,24,False,0.24,5.76
2006-03-08,48,48,False,0.48,23.04
2006-03-09,74,74,False,0.74,54.76
2006-03-10,0,0,False,0.0,0.0
2006-03-11,79,79,False,0.79,62.410000000000004
2006-03-12,78,78,False,0.78,60.84
2006-03-13,100,100,False,1.0,100.0
2006-03-14,48,48,False,0.48,23.04
2006-03-15,25,25,False,0.25,6.25
2006-03-16,50,50,False,0.5,25.0
2006-03-17,27,27,False,0.27,7.290000000000001
2006-03-18,39,39,False,0.39,15.21
2006-03-19,38,38,False,0.38,14.44
2006-03-20,24,24,False,0.24,5.76
2006-03-21,47,47,False,0.47,22.09
2006-03-22,0,0,False,0.0,0.0
2006-03-23,49,49,False,0.49,24.009999999999998
2006-03-24,78,78,False,0.78,60.84
2006-03-25,38,38,False,0.38,14.44
2006-03-26,78,78,False,0.78,60.84
2006-03-27,73,73,False,0.73,53.29
2006-03-28,71,71,False,0.71,50.41
2006-03-29,24,24,False,0.24,5.76
2006-03-30,0,0,False,0.0,0.0
2006-03-31,78,78,False,0.78,60.84
2006-04-01,0,0,False,0.0,0.0
2006-04-02,66,66,False,0.66,43.56
2006-04-03,41,41,False,0.41,16.81
2006-04-04,100,100,False,1.0,100.0
2006-04-05,81,81,False,0.81,65.61
2006-04-06,20,20,False,0.2,4.0
2006-04-07,43,43,False,0.43,18.49
2006-04-08,0,0,False,0.0,0.0
2006-04-09,33,33,False,0.33,10.89
2006-04-10,20,20,False,0.2,4.0
2006-04-11,40,40,False,0.4,16.0
2006-04-12,21,21,False,0.21,4.41
2006-04-13,85,85,False,0.85,72.25
2006-04-14,24,24,False,0.24,5.76
2006-04-15,34,34,False,0.34,11.56
2006-04-16,0,0,False,0.0,0.0
2006-04-17,61,61,False,0.61,37.21
2006-04-18,59,59,False,0.59,34.809999999999995
2006-04-19,20,20,False,0.2,4.0
2006-04-20,40,40,False,0.4,16.0
2006-04-21,0,0,False,0.0,0.0
2006-04-22,32,32,False,0.32,10.24
2006-04-23,63,63,False,0.63,39.69
2006-04-24,39,39,False,0.39,15.21
2006-04-25,38,38,False,0.38,14.44
2006-04-26,59,59,False,0.59,34.809999999999995
2006-04-27,60,60,False,0.6,36.0
2006-04-28,43,43,False,0.43,18.49
2006-04-29,65,65,False,0.65,42.25
2006-04-30,0,0,False,0.0,0.0
2006-05-01,14,14,False,0.14,1.9600000000000002
2006-05-02,13,13,False,0.13,1.69
2006-05-03,0,0,False,0.0,0.0
2006-05-04,14,14,False,0.14,1.9600000000000002
2006-05-05,30,30,False,0.3,9.0
2006-05-06,23,23,False,0.23,5.29
2006-05-07,0,0,False,0.0,0.0
2006-05-08,0,0,False,0.0,0.0
2006-05-09,27,27,False,0.27,7.290000000000001
2006-05-10,27,27,False,0.27,7.290000000000001
2006-05-11,41,41,False,0.41,16.81
2006-05-12,0,0,False,0.0,0.0
2006-05-13,23,23,False,0.23,5.29
2006-05-14,24,24,False,0.24,5.76
2006-05-15,14,14,False,0.14,1.9600000000000002
2006-05-16,55,55,False,0.55,30.250000000000004
2006-05-17,28,28,False,0.28,7.840000000000001
2006-05-18,14,14,False,0.14,1.9600000000000002
2006-05-19,30,30,False,0.3,9.0
2006-05-20,0,0,False,0.0,0.0
2006-05-21,47,47,False,0.47,22.09
2006-05-22,28,28,False,0.28,7.840000000000001
2006-05-23,28,28,False,0.28,7.840000000000001
2006-05-24,72,72,False,0.72,51.839999999999996
2006-05-25,44,44,False,0.44,19.36
2006-05-26,0,0,False,0.0,0.0
2006-05-27,51,51,False,0.51,26.01
2006-05-28,27,27,False,0.27,7.290000000000001
2006-05-29,23,23,False,0.23,5.29
2006-05-30,100,100,False,1.0,100.0
2006-05-31,0,0,False,0.0,0.0
2006-06-01,15,15,False,0.15,2.25
2006-06-02,33,33,False,0.33,10.89
2006-06-03,49,49,False,0.49,24.009999999999998
2006-06-04,100,100,False,1.0,100.0
2006-06-05,15,15,False,0.15,2.25
2006-06-06,15,15,False,0.15,2.25
2006-06-07,30,30,False,0.3,9.0
2006-06-08,31,31,False,0.31,9.61
2006-06-09,16,16,False,0.16,2.56
2006-06-10,0,0,False,0.0,0.0
2006-06-11,76,76,False,0.76,57.76
2006-06-12,61,61,False,0.61,37.21
2006-06-13,15,15,False,0.15,2.25
2006-06-14,31,31,False,0.31,9.61
2006-06-15,48,48,False,0.48,23.04
2006-06-16,69,69,False,0.69,47.61
2006-06-17,54,54,False,0.54,29.160000000000004
2006-06-18,0,0,False,0.0,0.0
2006-06-19,31,31,False,0.31,9.61
2006-06-20,15,15,False,0.15,2.25
2006-06-21,97,97,False,0.97,94.09
2006-06-22,16,16,False,0.16,2.56
2006-06-23,17,17,False,0.17,2.89
2006-06-24,72,72,False,0.72,51.839999999999996
2006-06-25,50,50,False,0.5,25.0
2006-06-26,46,46,False,0.46,21.16
2006-06-27,15,15,False,0.15,2.25
2006-06-28,46,46,False,0.46,21.16
2006-06-29,79,79,False,0.79,62.410000000000004
2006-06-30,34,34,False,0.34,11.56
2006-07-01,29,29,False,0.29,8.41
2006-07-02,61,61,False,0.61,37.21
2006-07-03,44,44,False,0.44,19.36
2006-07-04,79,79,False,0.79,62.410000000000004
2006-07-05,19,19,False,0.19,3.61
2006-07-06,51,51,False,0.51,26.01
2006-07-07,37,37,False,0.37,13.69
2006-07-08,0,0,False,0.0,0.0
2006-07-09,0,0,False,0.0,0.0
2006-07-10,68,68,False,0.68,46.24
2006-07-11,17,17,False,0.17,2.89
2006-07-12,17,17,False,0.17,2.89
2006-07-13,69,69,False,0.69,47.61
2006-07-14,18,18,False,0.18,3.2399999999999998
2006-07-15,0,0,False,0.0,0.0
2006-07-16,55,55,False,0.55,30.250000000000004
2006-07-17,51,51,False,0.51,26.01
2006-07-18,83,83,False,0.83,68.89
2006-07-19,50,50,False,0.5,25.0
2006-07-20,34,34,False,0.34,11.56
2006-07-21,54,54,False,0.54,29.160000000000004
2006-07-22,0,0,False,0.0,0.0
2006-07-23,0,0,False,0.0,0.0
