date,DEFAULT_unscaled,DEFAULT_monthly,isPartial,scale,DEFAULT
2005-05-17,71,65.0,,0.65,46.15
2005-05-18,68,65.0,,0.65,44.2
2005-05-19,61,65.0,,0.65,39.65
2005-05-20,90,65.0,,0.65,58.5
2005-05-21,80,65.0,,0.65,52.0
2005-05-22,39,65.0,,0.65,25.35
2005-05-23,100,65.0,,0.65,65.0
2005-05-24,74,65.0,,0.65,48.1
2005-05-25,94,65.0,,0.65,61.1
2005-05-26,56,65.0,,0.65,36.4
2005-05-27,74,65.0,,0.65,48.1
2005-05-28,75,65.0,,0.65,48.75
2005-05-29,53,65.0,,0.65,34.45
2005-05-30,53,65.0,,0.65,34.45
2005-05-31,89,65.0,,0.65,57.85
2005-06-01,91,69.0,False,0.69,62.78999999999999
2005-06-02,92,69.0,,0.69,63.48
2005-06-03,72,69.0,,0.69,49.67999999999999
2005-06-04,84,69.0,,0.69,57.959999999999994
2005-06-05,54,69.0,,0.69,37.26
2005-06-06,78,69.0,,0.69,53.81999999999999
2005-06-07,78,69.0,,0.69,53.81999999999999
2005-06-08,84,69.0,,0.69,57.959999999999994
2005-06-09,87,69.0,,0.69,60.029999999999994
2005-06-10,91,69.0,,0.69,62.78999999999999
2005-06-11,35,69.0,,0.69,24.15
2005-06-12,64,69.0,,0.69,44.16
2005-06-13,99,69.0,,0.69,68.30999999999999
2005-06-14,72,69.0,,0.69,49.67999999999999
2005-06-15,78,69.0,,0.69,53.81999999999999
2005-06-16,81,69.0,,0.69,55.88999999999999
2005-06-17,78,69.0,,0.69,53.81999999999999
2005-06-18,32,69.0,,0.69,22.08
2005-06-19,76,69.0,,0.69,52.44
2005-06-20,74,69.0,,0.69,51.059999999999995
2005-06-21,80,69.0,,0.69,55.199999999999996
2005-06-22,82,69.0,,0.69,56.58
2005-06-23,95,69.0,,0.69,65.55
2005-06-24,85,69.0,,0.69,58.65
2005-06-25,55,69.0,,0.69,37.949999999999996
2005-06-26,98,69.0,,0.69,67.61999999999999
2005-06-27,93,69.0,,0.69,64.17
2005-06-28,100,69.0,,0.69,69.0
2005-06-29,83,69.0,,0.69,57.269999999999996
2005-06-30,65,69.0,,0.69,44.849999999999994
2005-07-01,60,67.0,False,0.67,40.2
2005-07-02,40,67.0,,0.67,26.8
2005-07-03,39,67.0,,0.67,26.130000000000003
2005-07-04,41,67.0,,0.67,27.470000000000002
2005-07-05,55,67.0,,0.67,36.85
2005-07-06,70,67.0,,0.67,46.900000000000006
2005-07-07,80,67.0,,0.67,53.6
2005-07-08,94,67.0,,0.67,62.980000000000004
2005-07-09,32,67.0,,0.67,21.44
2005-07-10,30,67.0,,0.67,20.1
2005-07-11,66,67.0,,0.67,44.220000000000006
2005-07-12,75,67.0,,0.67,50.25
2005-07-13,81,67.0,,0.67,54.27
2005-07-14,83,67.0,,0.67,55.61000000000001
2005-07-15,79,67.0,,0.67,52.93
2005-07-16,56,67.0,,0.67,37.52
2005-07-17,30,67.0,,0.67,20.1
2005-07-18,67,67.0,,0.67,44.89
2005-07-19,53,67.0,,0.67,35.510000000000005
2005-07-20,50,67.0,,0.67,33.5
2005-07-21,73,67.0,,0.67,48.910000000000004
2005-07-22,69,67.0,,0.67,46.230000000000004
2005-07-23,52,67.0,,0.67,34.84
2005-07-24,33,67.0,,0.67,22.110000000000003
2005-07-25,69,67.0,,0.67,46.230000000000004
2005-07-26,64,67.0,,0.67,42.88
2005-07-27,77,67.0,,0.67,51.59
2005-07-28,100,67.0,,0.67,67.0
2005-07-29,49,67.0,,0.67,32.830000000000005
2005-07-30,45,67.0,,0.67,30.150000000000002
2005-07-31,53,67.0,,0.67,35.510000000000005
2005-08-01,61,70.0,False,0.7,42.699999999999996
2005-08-02,68,70.0,,0.7,47.599999999999994
2005-08-03,69,70.0,,0.7,48.3
2005-08-04,50,70.0,,0.7,35.0
2005-08-05,75,70.0,,0.7,52.5
2005-08-06,48,70.0,,0.7,33.599999999999994
2005-08-07,40,70.0,,0.7,28.0
2005-08-08,49,70.0,,0.7,34.3
2005-08-09,78,70.0,,0.7,54.599999999999994
2005-08-10,60,70.0,,0.7,42.0
2005-08-11,44,70.0,,0.7,30.799999999999997
2005-08-12,52,70.0,,0.7,36.4
2005-08-13,43,70.0,,0.7,30.099999999999998
2005-08-14,48,70.0,,0.7,33.599999999999994
2005-08-15,90,70.0,,0.7,62.99999999999999
2005-08-16,56,70.0,,0.7,39.199999999999996
2005-08-17,40,70.0,,0.7,28.0
2005-08-18,63,70.0,,0.7,44.099999999999994
2005-08-19,67,70.0,,0.7,46.9
2005-08-20,45,70.0,,0.7,31.499999999999996
2005-08-21,52,70.0,,0.7,36.4
2005-08-22,47,70.0,,0.7,32.9
2005-08-23,60,70.0,,0.7,42.0
2005-08-24,100,70.0,,0.7,70.0
2005-08-25,80,70.0,,0.7,56.0
2005-08-26,64,70.0,,0.7,44.8
2005-08-27,42,70.0,,0.7,29.4
2005-08-28,41,70.0,,0.7,28.7
2005-08-29,49,70.0,,0.7,34.3
2005-08-30,46,70.0,,0.7,32.199999999999996
2005-08-31,63,70.0,,0.7,44.099999999999994
2005-09-01,78,67.0,False,0.67,52.260000000000005
2005-09-02,76,67.0,,0.67,50.92
2005-09-03,67,67.0,,0.67,44.89
2005-09-04,39,67.0,,0.67,26.130000000000003
2005-09-05,55,67.0,,0.67,36.85
2005-09-06,84,67.0,,0.67,56.28
2005-09-07,50,67.0,,0.67,33.5
2005-09-08,100,67.0,,0.67,67.0
2005-09-09,90,67.0,,0.67,60.300000000000004
2005-09-10,88,67.0,,0.67,58.96
2005-09-11,57,67.0,,0.67,38.190000000000005
2005-09-12,69,67.0,,0.67,46.230000000000004
2005-09-13,86,67.0,,0.67,57.620000000000005
2005-09-14,84,67.0,,0.67,56.28
2005-09-15,64,67.0,,0.67,42.88
2005-09-16,47,67.0,,0.67,31.490000000000002
2005-09-17,70,67.0,,0.67,46.900000000000006
2005-09-18,56,67.0,,0.67,37.52
2005-09-19,66,67.0,,0.67,44.220000000000006
2005-09-20,91,67.0,,0.67,60.970000000000006
2005-09-21,78,67.0,,0.67,52.260000000000005
2005-09-22,78,67.0,,0.67,52.260000000000005
2005-09-23,68,67.0,,0.67,45.56
2005-09-24,69,67.0,,0.67,46.230000000000004
2005-09-25,46,67.0,,0.67,30.82
2005-09-26,60,67.0,,0.67,40.2
2005-09-27,61,67.0,,0.67,40.870000000000005
2005-09-28,74,67.0,,0.67,49.580000000000005
2005-09-29,94,67.0,,0.67,62.980000000000004
2005-09-30,95,67.0,,0.67,63.650000000000006
2005-10-01,59,62.0,False,0.62,36.58
2005-10-02,74,62.0,,0.62,45.88
2005-10-03,88,62.0,,0.62,54.56
2005-10-04,87,62.0,,0.62,53.94
2005-10-05,72,62.0,,0.62,44.64
2005-10-06,67,62.0,,0.62,41.54
2005-10-07,72,62.0,,0.62,44.64
2005-10-08,63,62.0,,0.62,39.06
2005-10-09,66,62.0,,0.62,40.92
2005-10-10,92,62.0,,0.62,57.04
2005-10-11,58,62.0,,0.62,35.96
2005-10-12,72,62.0,,0.62,44.64
2005-10-13,83,62.0,,0.62,51.46
2005-10-14,77,62.0,,0.62,47.74
2005-10-15,75,62.0,,0.62,46.5
2005-10-16,82,62.0,,0.62,50.839999999999996
2005-10-17,87,62.0,,0.62,53.94
2005-10-18,83,62.0,,0.62,51.46
2005-10-19,100,62.0,,0.62,62.0
2005-10-20,70,62.0,,0.62,43.4
2005-10-21,60,62.0,,0.62,37.2
2005-10-22,62,62.0,,0.62,38.44
2005-10-23,54,62.0,,0.62,33.48
2005-10-24,67,62.0,,0.62,41.54
2005-10-25,75,62.0,,0.62,46.5
2005-10-26,91,62.0,,0.62,56.42
2005-10-27,77,62.0,,0.62,47.74
2005-10-28,47,62.0,,0.62,29.14
2005-10-29,50,62.0,,0.62,31.0
2005-10-30,26,62.0,,0.62,16.12
2005-10-31,79,62.0,,0.62,48.98
2005-11-01,85,62.0,False,0.62,52.7
2005-11-02,75,62.0,,0.62,46.5
2005-11-03,94,62.0,,0.62,58.28
2005-11-04,71,62.0,,0.62,44.02
2005-11-05,56,62.0,,0.62,34.72
