date,savings plan_unscaled,savings plan_monthly,isPartial,scale,savings plan
2005-05-27,25,25,False,0.25,6.25
2005-05-28,41,41,False,0.41,16.81
2005-05-29,0,0,False,0.0,0.0
2005-05-30,0,0,False,0.0,0.0
2005-05-31,22,22,False,0.22,4.84
2005-06-01,42,42,False,0.42,17.64
2005-06-02,43,43,False,0.43,18.49
2005-06-03,15,15,False,0.15,2.25
2005-06-04,49,49,False,0.49,24.009999999999998
2005-06-05,25,25,False,0.25,6.25
2005-06-06,100,100,False,1.0,100.0
2005-06-07,29,29,False,0.29,8.41
2005-06-08,28,28,False,0.28,7.840000000000001
2005-06-09,30,30,False,0.3,9.0
2005-06-10,31,31,False,0.31,9.61
2005-06-11,25,25,False,0.25,6.25
2005-06-12,0,0,False,0.0,0.0
2005-06-13,15,15,False,0.15,2.25
2005-06-14,14,14,False,0.14,1.9600000000000002
2005-06-15,0,0,False,0.0,0.0
2005-06-16,30,30,False,0.3,9.0
2005-06-17,32,32,False,0.32,10.24
2005-06-18,26,26,False,0.26,6.76
2005-06-19,0,0,False,0.0,0.0
2005-06-20,29,29,False,0.29,8.41
2005-06-21,86,86,False,0.86,73.96
2005-06-22,15,15,False,0.15,2.25
2005-06-23,61,61,False,0.61,37.21
2005-06-24,16,16,False,0.16,2.56
2005-06-25,0,0,False,0.0,0.0
2005-06-26,26,26,False,0.26,6.76
2005-06-27,15,15,False,0.15,2.25
2005-06-28,57,57,False,0.57,32.489999999999995
2005-06-29,29,29,False,0.29,8.41
2005-06-30,30,30,False,0.3,9.0
2005-07-01,100,100,False,1.0,100.0
2005-07-02,79,79,False,0.79,62.410000000000004
2005-07-03,86,86,False,0.86,73.96
2005-07-04,75,75,False,0.75,56.25
2005-07-05,81,81,False,0.81,65.61
2005-07-06,32,32,False,0.32,10.24
2005-07-07,53,53,False,0.53,28.09
2005-07-08,34,34,False,0.34,11.56
2005-07-09,70,70,False,0.7,49.0
2005-07-10,73,73,False,0.73,53.29
2005-07-11,74,74,False,0.74,54.76
2005-07-12,62,62,False,0.62,38.44
2005-07-13,84,84,False,0.84,70.56
2005-07-14,32,32,False,0.32,10.24
2005-07-15,46,46,False,0.46,21.16
2005-07-16,71,71,False,0.71,50.41
2005-07-17,72,72,False,0.72,51.839999999999996
2005-07-18,41,41,False,0.41,16.81
2005-07-19,31,31,False,0.31,9.61
2005-07-20,42,42,False,0.42,17.64
2005-07-21,33,33,False,0.33,10.89
2005-07-22,57,57,False,0.57,32.489999999999995
2005-07-23,71,71,False,0.71,50.41
2005-07-24,37,37,False,0.37,13.69
2005-07-25,73,73,False,0.73,53.29
2005-07-26,92,92,False,0.92,84.64
2005-07-27,42,42,False,0.42,17.64
2005-07-28,65,65,False,0.65,42.25
2005-07-29,23,23,False,0.23,5.29
2005-07-30,89,89,False,0.89,79.21000000000001
2005-07-31,90,90,False,0.9,81.0
2005-08-01,60,60,False,0.6,36.0
2005-08-02,29,29,False,0.29,8.41
2005-08-03,0,0,False,0.0,0.0
2005-08-04,30,30,False,0.3,9.0
2005-08-05,48,48,False,0.48,23.04
2005-08-06,0,0,False,0.0,0.0
2005-08-07,100,100,False,1.0,100.0
2005-08-08,44,44,False,0.44,19.36
2005-08-09,43,43,False,0.43,18.49
2005-08-10,44,44,False,0.44,19.36
2005-08-11,15,15,False,0.15,2.25
2005-08-12,32,32,False,0.32,10.24
2005-08-13,73,73,False,0.73,53.29
2005-08-14,0,0,False,0.0,0.0
2005-08-15,74,74,False,0.74,54.76
2005-08-16,57,57,False,0.57,32.489999999999995
2005-08-17,30,30,False,0.3,9.0
2005-08-18,45,45,False,0.45,20.25
2005-08-19,0,0,False,0.0,0.0
2005-08-20,0,0,False,0.0,0.0
2005-08-21,0,0,False,0.0,0.0
2005-08-22,43,43,False,0.43,18.49
2005-08-23,57,57,False,0.57,32.489999999999995
2005-08-24,0,0,False,0.0,0.0
2005-08-25,19,19,False,0.19,3.61
2005-08-26,15,15,False,0.15,2.25
2005-08-27,69,69,False,0.69,47.61
2005-08-28,23,23,False,0.23,5.29
2005-08-29,0,0,False,0.0,0.0
2005-08-30,67,67,False,0.67,44.89
2005-08-31,27,27,False,0.27,7.290000000000001
2005-09-01,85,85,False,0.85,72.25
2005-09-02,23,23,False,0.23,5.29
2005-09-03,70,70,False,0.7,49.0
2005-09-04,36,36,False,0.36,12.959999999999999
2005-09-05,30,30,False,0.3,9.0
2005-09-06,61,61,False,0.61,37.21
2005-09-07,79,79,False,0.79,62.410000000000004
2005-09-08,100,100,False,1.0,100.0
2005-09-09,63,63,False,0.63,39.69
2005-09-10,32,32,False,0.32,10.24
2005-09-11,0,0,False,0.0,0.0
2005-09-12,19,19,False,0.19,3.61
2005-09-13,57,57,False,0.57,32.489999999999995
2005-09-14,19,19,False,0.19,3.61
2005-09-15,0,0,False,0.0,0.0
2005-09-16,82,82,False,0.82,67.24
2005-09-17,0,0,False,0.0,0.0
2005-09-18,62,62,False,0.62,38.44
2005-09-19,38,38,False,0.38,14.44
2005-09-20,74,74,False,0.74,54.76
2005-09-21,38,38,False,0.38,14.44
2005-09-22,19,19,False,0.19,3.61
2005-09-23,42,42,False,0.42,17.64
2005-09-24,64,64,False,0.64,40.96
2005-09-25,61,61,False,0.61,37.21
2005-09-26,19,19,False,0.19,3.61
2005-09-27,19,19,False,0.19,3.61
2005-09-28,38,38,False,0.38,14.44
2005-09-29,58,58,False,0.58,33.64
2005-09-30,42,42,False,0.42,17.64
2005-10-01,26,26,False,0.26,6.76
2005-10-02,0,0,False,0.0,0.0
2005-10-03,30,30,False,0.3,9.0
2005-10-04,88,88,False,0.88,77.44
2005-10-05,74,74,False,0.74,54.76
2005-10-06,90,90,False,0.9,81.0
2005-10-07,64,64,False,0.64,40.96
2005-10-08,0,0,False,0.0,0.0
2005-10-09,99,99,False,0.99,98.01
2005-10-10,46,46,False,0.46,21.16
2005-10-11,29,29,False,0.29,8.41
2005-10-12,59,59,False,0.59,34.809999999999995
2005-10-13,30,30,False,0.3,9.0
2005-10-14,16,16,False,0.16,2.56
2005-10-15,50,50,False,0.5,25.0
2005-10-16,0,0,False,0.0,0.0
2005-10-17,88,88,False,0.88,77.44
2005-10-18,100,100,False,1.0,100.0
2005-10-19,29,29,False,0.29,8.41
2005-10-20,15,15,False,0.15,2.25
2005-10-21,64,64,False,0.64,40.96
2005-10-22,24,24,False,0.24,5.76
2005-10-23,46,46,False,0.46,21.16
2005-10-24,29,29,False,0.29,8.41
2005-10-25,57,57,False,0.57,32.489999999999995
2005-10-26,44,44,False,0.44,19.36
2005-10-27,59,59,False,0.59,34.809999999999995
2005-10-28,32,32,False,0.32,10.24
2005-10-29,25,25,False,0.25,6.25
2005-10-30,49,49,False,0.49,24.009999999999998
2005-10-31,15,15,False,0.15,2.25
2005-11-01,43,43,False,0.43,18.49
2005-11-02,32,32,False,0.32,10.24
2005-11-03,11,11,False,0.11,1.21
2005-11-04,11,11,False,0.11,1.21
2005-11-05,34,34,False,0.34,11.56
2005-11-06,0,0,False,0.0,0.0
2005-11-07,20,20,False,0.2,4.0
2005-11-08,40,40,False,0.4,16.0
2005-11-09,0,0,False,0.0,0.0
2005-11-10,30,30,False,0.3,9.0
2005-11-11,12,12,False,0.12,1.44
2005-11-12,51,51,False,0.51,26.01
2005-11-13,17,17,False,0.17,2.89
2005-11-14,30,30,False,0.3,9.0
2005-11-15,49,49,False,0.49,24.009999999999998
2005-11-16,29,29,False,0.29,8.41
2005-11-17,41,41,False,0.41,16.81
2005-11-18,22,22,False,0.22,4.84
2005-11-19,100,100,False,1.0,100.0
2005-11-20,17,17,False,0.17,2.89
2005-11-21,40,40,False,0.4,16.0
2005-11-22,40,40,False,0.4,16.0
2005-11-23,35,35,False,0.35,12.25
2005-11-24,18,18,False,0.18,3.2399999999999998
2005-11-25,65,65,False,0.65,42.25
2005-11-26,34,34,False,0.34,11.56
2005-11-27,16,16,False,0.16,2.56
2005-11-28,20,20,False,0.2,4.0
2005-11-29,47,47,False,0.47,22.09
2005-11-30,57,57,False,0.57,32.489999999999995
2005-12-01,14,14,False,0.14,1.9600000000000002
2005-12-02,58,58,False,0.58,33.64
2005-12-03,0,0,False,0.0,0.0
2005-12-04,43,43,False,0.43,18.49
2005-12-05,54,54,False,0.54,29.160000000000004
2005-12-06,79,79,False,0.79,62.410000000000004
2005-12-07,14,14,False,0.14,1.9600000000000002
2005-12-08,0,0,False,0.0,0.0
2005-12-09,15,15,False,0.15,2.25
2005-12-10,65,65,False,0.65,42.25
2005-12-11,22,22,False,0.22,4.84
2005-12-12,28,28,False,0.28,7.840000000000001
2005-12-13,68,68,False,0.68,46.24
2005-12-14,70,70,False,0.7,49.0
2005-12-15,72,72,False,0.72,51.839999999999996
2005-12-16,46,46,False,0.46,21.16
2005-12-17,46,46,False,0.46,21.16
2005-12-18,24,24,False,0.24,5.76
2005-12-19,45,45,False,0.45,20.25
2005-12-20,58,58,False,0.58,33.64
2005-12-21,77,77,False,0.77,59.29
2005-12-22,50,50,False,0.5,25.0
2005-12-23,80,80,False,0.8,64.0
2005-12-24,0,0,False,0.0,0.0
2005-12-25,0,0,False,0.0,0.0
2005-12-26,25,25,False,0.25,6.25
2005-12-27,88,88,False,0.88,77.44
2005-12-28,85,85,False,0.85,72.25
2005-12-29,100,100,False,1.0,100.0
2005-12-30,91,91,False,0.91,82.81
2005-12-31,47,47,False,0.47,22.09
2006-01-01,42,42,False,0.42,17.64
2006-01-02,14,14,False,0.14,1.9600000000000002
2006-01-03,55,55,False,0.55,30.250000000000004
2006-01-04,62,62,False,0.62,38.44
2006-01-05,53,53,False,0.53,28.09
2006-01-06,11,11,False,0.11,1.21
2006-01-07,16,16,False,0.16,2.56
2006-01-08,49,49,False,0.49,24.009999999999998
2006-01-09,41,41,False,0.41,16.81
2006-01-10,40,40,False,0.4,16.0
2006-01-11,51,51,False,0.51,26.01
2006-01-12,20,20,False,0.2,4.0
2006-01-13,53,53,False,0.53,28.09
2006-01-14,16,16,False,0.16,2.56
2006-01-15,16,16,False,0.16,2.56
2006-01-16,46,46,False,0.46,21.16
2006-01-17,20,20,False,0.2,4.0
2006-01-18,100,100,False,1.0,100.0
2006-01-19,51,51,False,0.51,26.01
2006-01-20,21,21,False,0.21,4.41
2006-01-21,31,31,False,0.31,9.61
2006-01-22,47,47,False,0.47,22.09
2006-01-23,10,10,False,0.1,1.0
2006-01-24,48,48,False,0.48,23.04
2006-01-25,29,29,False,0.29,8.41
2006-01-26,30,30,False,0.3,9.0
2006-01-27,42,42,False,0.42,17.64
2006-01-28,46,46,False,0.46,21.16
2006-01-29,46,46,False,0.46,21.16
2006-01-30,49,49,False,0.49,24.009999999999998
2006-01-31,9,9,False,0.09,0.8099999999999999
2006-02-01,38,38,False,0.38,14.44
2006-02-02,38,38,False,0.38,14.44
2006-02-03,93,93,False,0.93,86.49000000000001
2006-02-04,58,58,False,0.58,33.64
2006-02-05,39,39,False,0.39,15.21
2006-02-06,52,52,False,0.52,27.04
2006-02-07,37,37,False,0.37,13.69
2006-02-08,49,49,False,0.49,24.009999999999998
2006-02-09,12,12,False,0.12,1.44
2006-02-10,66,66,False,0.66,43.56
2006-02-11,94,94,False,0.94,88.36
2006-02-12,19,19,False,0.19,3.61
2006-02-13,62,62,False,0.62,38.44
2006-02-14,12,12,False,0.12,1.44
2006-02-15,77,77,False,0.77,59.29
2006-02-16,25,25,False,0.25,6.25
2006-02-17,66,66,False,0.66,43.56
2006-02-18,38,38,False,0.38,14.44
2006-02-19,60,60,False,0.6,36.0
2006-02-20,28,28,False,0.28,7.840000000000001
2006-02-21,37,37,False,0.37,13.69
2006-02-22,62,62,False,0.62,38.44
2006-02-23,100,100,False,1.0,100.0
2006-02-24,27,27,False,0.27,7.290000000000001
2006-02-25,61,61,False,0.61,37.21
2006-02-26,0,0,False,0.0,0.0
2006-02-27,24,24,False,0.24,5.76
2006-02-28,24,24,False,0.24,5.76
2006-03-01,50,50,False,0.5,25.0
2006-03-02,76,76,False,0.76,57.76
2006-03-03,39,39,False,0.39,15.21
2006-03-04,20,20,False,0.2,4.0
2006-03-05,20,20,False,0.2,4.0
2006-03-06,38,38,False,0.38,14.44
2006-03-07,25,25,False,0.25,6.25
2006-03-08,86,86,False,0.86,73.96
2006-03-09,38,38,False,0.38,14.44
2006-03-10,54,54,False,0.54,29.160000000000004
2006-03-11,60,60,False,0.6,36.0
2006-03-12,100,100,False,1.0,100.0
2006-03-13,13,13,False,0.13,1.69
2006-03-14,37,37,False,0.37,13.69
2006-03-15,0,0,False,0.0,0.0
2006-03-16,64,64,False,0.64,40.96
2006-03-17,27,27,False,0.27,7.290000000000001
2006-03-18,40,40,False,0.4,16.0
2006-03-19,58,58,False,0.58,33.64
2006-03-20,37,37,False,0.37,13.69
2006-03-21,24,24,False,0.24,5.76
2006-03-22,62,62,False,0.62,38.44
2006-03-23,25,25,False,0.25,6.25
2006-03-24,40,40,False,0.4,16.0
2006-03-25,78,78,False,0.78,60.84
2006-03-26,40,40,False,0.4,16.0
2006-03-27,12,12,False,0.12,1.44
2006-03-28,12,12,False,0.12,1.44
2006-03-29,50,50,False,0.5,25.0
2006-03-30,63,63,False,0.63,39.69
2006-03-31,40,40,False,0.4,16.0
2006-04-01,22,22,False,0.22,4.84
2006-04-02,45,45,False,0.45,20.25
2006-04-03,42,42,False,0.42,17.64
2006-04-04,47,47,False,0.47,22.09
2006-04-05,62,62,False,0.62,38.44
2006-04-06,34,34,False,0.34,11.56
2006-04-07,45,45,False,0.45,20.25
2006-04-08,65,65,False,0.65,42.25
2006-04-09,57,57,False,0.57,32.489999999999995
2006-04-10,63,63,False,0.63,39.69
2006-04-11,55,55,False,0.55,30.250000000000004
2006-04-12,42,42,False,0.42,17.64
2006-04-13,44,44,False,0.44,19.36
2006-04-14,41,41,False,0.41,16.81
2006-04-15,46,46,False,0.46,21.16
2006-04-16,73,73,False,0.73,53.29
2006-04-17,70,70,False,0.7,49.0
2006-04-18,13,13,False,0.13,1.69
2006-04-19,27,27,False,0.27,7.290000000000001
2006-04-20,97,97,False,0.97,94.09
2006-04-21,60,60,False,0.6,36.0
2006-04-22,54,54,False,0.54,29.160000000000004
2006-04-23,43,43,False,0.43,18.49
2006-04-24,100,100,False,1.0,100.0
2006-04-25,33,33,False,0.33,10.89
2006-04-26,40,40,False,0.4,16.0
2006-04-27,14,14,False,0.14,1.9600000000000002
2006-04-28,30,30,False,0.3,9.0
2006-04-29,34,34,False,0.34,11.56
2006-04-30,55,55,False,0.55,30.250000000000004
2006-05-01,26,26,False,0.26,6.76
2006-05-02,25,25,False,0.25,6.25
2006-05-03,39,39,False,0.39,15.21
2006-05-04,13,13,False,0.13,1.69
2006-05-05,100,100,False,1.0,100.0
2006-05-06,45,45,False,0.45,20.25
2006-05-07,66,66,False,0.66,43.56
2006-05-08,13,13,False,0.13,1.69
2006-05-09,26,26,False,0.26,6.76
2006-05-10,26,26,False,0.26,6.76
2006-05-11,13,13,False,0.13,1.69
2006-05-12,99,99,False,0.99,98.01
2006-05-13,0,0,False,0.0,0.0
2006-05-14,23,23,False,0.23,5.29
2006-05-15,65,65,False,0.65,42.25
2006-05-16,26,26,False,0.26,6.76
2006-05-17,40,40,False,0.4,16.0
2006-05-18,41,41,False,0.41,16.81
2006-05-19,29,29,False,0.29,8.41
2006-05-20,23,23,False,0.23,5.29
2006-05-21,0,0,False,0.0,0.0
2006-05-22,27,27,False,0.27,7.290000000000001
2006-05-23,53,53,False,0.53,28.09
2006-05-24,54,54,False,0.54,29.160000000000004
2006-05-25,28,28,False,0.28,7.840000000000001
2006-05-26,46,46,False,0.46,21.16
2006-05-27,24,24,False,0.24,5.76
2006-05-28,0,0,False,0.0,0.0
2006-05-29,44,44,False,0.44,19.36
2006-05-30,68,68,False,0.68,46.24
2006-05-31,40,40,False,0.4,16.0
2006-06-01,62,62,False,0.62,38.44
2006-06-02,40,40,False,0.4,16.0
2006-06-03,100,100,False,1.0,100.0
2006-06-04,40,40,False,0.4,16.0
2006-06-05,25,25,False,0.25,6.25
2006-06-06,24,24,False,0.24,5.76
2006-06-07,49,49,False,0.49,24.009999999999998
2006-06-08,0,0,False,0.0,0.0
2006-06-09,13,13,False,0.13,1.69
2006-06-10,20,20,False,0.2,4.0
2006-06-11,21,21,False,0.21,4.41
2006-06-12,12,12,False,0.12,1.44
2006-06-13,13,13,False,0.13,1.69
2006-06-14,38,38,False,0.38,14.44
2006-06-15,79,79,False,0.79,62.410000000000004
2006-06-16,28,28,False,0.28,7.840000000000001
2006-06-17,0,0,False,0.0,0.0
2006-06-18,44,44,False,0.44,19.36
2006-06-19,39,39,False,0.39,15.21
2006-06-20,62,62,False,0.62,38.44
2006-06-21,78,78,False,0.78,60.84
2006-06-22,51,51,False,0.51,26.01
2006-06-23,54,54,False,0.54,29.160000000000004
2006-06-24,79,79,False,0.79,62.410000000000004
2006-06-25,60,60,False,0.6,36.0
2006-06-26,37,37,False,0.37,13.69
2006-06-27,37,37,False,0.37,13.69
2006-06-28,37,37,False,0.37,13.69
2006-06-29,76,76,False,0.76,57.76
2006-06-30,28,28,False,0.28,7.840000000000001
2006-07-01,63,63,False,0.63,39.69
2006-07-02,65,65,False,0.65,42.25
2006-07-03,92,92,False,0.92,84.64
2006-07-04,29,29,False,0.29,8.41
2006-07-05,100,100,False,1.0,100.0
2006-07-06,18,18,False,0.18,3.2399999999999998
2006-07-07,0,0,False,0.0,0.0
2006-07-08,87,87,False,0.87,75.69
2006-07-09,30,30,False,0.3,9.0
2006-07-10,73,73,False,0.73,53.29
2006-07-11,36,36,False,0.36,12.959999999999999
2006-07-12,72,72,False,0.72,51.839999999999996
2006-07-13,74,74,False,0.74,54.76
2006-07-14,79,79,False,0.79,62.410000000000004
2006-07-15,29,29,False,0.29,8.41
2006-07-16,29,29,False,0.29,8.41
2006-07-17,54,54,False,0.54,29.160000000000004
2006-07-18,89,89,False,0.89,79.21000000000001
2006-07-19,54,54,False,0.54,29.160000000000004
2006-07-20,37,37,False,0.37,13.69
2006-07-21,0,0,False,0.0,0.0
2006-07-22,85,85,False,0.85,72.25
2006-07-23,29,29,False,0.29,8.41
2006-07-24,18,18,False,0.18,3.2399999999999998
2006-07-25,54,54,False,0.54,29.160000000000004
2006-07-26,54,54,False,0.54,29.160000000000004
2006-07-27,55,55,False,0.55,30.250000000000004
2006-07-28,77,77,False,0.77,59.29
2006-07-29,28,28,False,0.28,7.840000000000001
2006-07-30,29,29,False,0.29,8.41
2006-07-31,71,71,False,0.71,50.41
2006-08-01,79,79,False,0.79,62.410000000000004
2006-08-02,49,49,False,0.49,24.009999999999998
2006-08-03,41,41,False,0.41,16.81
2006-08-04,66,66,False,0.66,43.56
2006-08-05,64,64,False,0.64,40.96
2006-08-06,33,33,False,0.33,10.89
2006-08-07,100,100,False,1.0,100.0
2006-08-08,78,78,False,0.78,60.84
2006-08-09,39,39,False,0.39,15.21
2006-08-10,60,60,False,0.6,36.0
2006-08-11,96,96,False,0.96,92.16
2006-08-12,63,63,False,0.63,39.69
2006-08-13,98,98,False,0.98,96.03999999999999
2006-08-14,70,70,False,0.7,49.0
2006-08-15,78,78,False,0.78,60.84
2006-08-16,70,70,False,0.7,49.0
2006-08-17,61,61,False,0.61,37.21
2006-08-18,74,74,False,0.74,54.76
2006-08-19,46,46,False,0.46,21.16
2006-08-20,62,62,False,0.62,38.44
2006-08-21,59,59,False,0.59,34.809999999999995
2006-08-22,86,86,False,0.86,73.96
2006-08-23,78,78,False,0.78,60.84
2006-08-24,88,88,False,0.88,77.44
2006-08-25,62,62,False,0.62,38.44
2006-08-26,59,59,False,0.59,34.809999999999995
2006-08-27,73,73,False,0.73,53.29
2006-08-28,94,94,False,0.94,88.36
2006-08-29,93,93,False,0.93,86.49000000000001
2006-08-30,86,86,False,0.86,73.96
2006-08-31,97,97,False,0.97,94.09
2006-09-01,49,49,False,0.49,24.009999999999998
2006-09-02,69,69,False,0.69,47.61
2006-09-03,49,49,False,0.49,24.009999999999998
2006-09-04,41,41,False,0.41,16.81
2006-09-05,100,100,False,1.0,100.0
2006-09-06,29,29,False,0.29,8.41
2006-09-07,88,88,False,0.88,77.44
2006-09-08,31,31,False,0.31,9.61
2006-09-09,22,22,False,0.22,4.84
2006-09-10,22,22,False,0.22,4.84
2006-09-11,86,86,False,0.86,73.96
2006-09-12,71,71,False,0.71,50.41
2006-09-13,28,28,False,0.28,7.840000000000001
2006-09-14,43,43,False,0.43,18.49
2006-09-15,76,76,False,0.76,57.76
2006-09-16,0,0,False,0.0,0.0
2006-09-17,66,66,False,0.66,43.56
2006-09-18,57,57,False,0.57,32.489999999999995
2006-09-19,14,14,False,0.14,1.9600000000000002
2006-09-20,57,57,False,0.57,32.489999999999995
2006-09-21,43,43,False,0.43,18.49
2006-09-22,0,0,False,0.0,0.0
2006-09-23,44,44,False,0.44,19.36
2006-09-24,65,65,False,0.65,42.25
2006-09-25,14,14,False,0.14,1.9600000000000002
2006-09-26,42,42,False,0.42,17.64
2006-09-27,71,71,False,0.71,50.41
2006-09-28,28,28,False,0.28,7.840000000000001
2006-09-29,91,91,False,0.91,82.81
2006-09-30,0,0,False,0.0,0.0
2006-10-01,20,20,False,0.2,4.0
2006-10-02,52,52,False,0.52,27.04
2006-10-03,39,39,False,0.39,15.21
2006-10-04,77,77,False,0.77,59.29
2006-10-05,53,53,False,0.53,28.09
