date,patron_unscaled,patron_monthly,isPartial,scale,patron
2005-05-22,16,38.0,,0.38,6.08
2005-05-23,18,38.0,,0.38,6.84
2005-05-24,27,38.0,,0.38,10.26
2005-05-25,55,38.0,,0.38,20.9
2005-05-26,58,38.0,,0.38,22.04
2005-05-27,43,38.0,,0.38,16.34
2005-05-28,53,38.0,,0.38,20.14
2005-05-29,73,38.0,,0.38,27.740000000000002
2005-05-30,92,38.0,,0.38,34.96
2005-05-31,65,38.0,,0.38,24.7
2005-06-01,20,31.0,False,0.31,6.2
2005-06-02,34,31.0,,0.31,10.54
2005-06-03,66,31.0,,0.31,20.46
2005-06-04,46,31.0,,0.31,14.26
2005-06-05,36,31.0,,0.31,11.16
2005-06-06,28,31.0,,0.31,8.68
2005-06-07,21,31.0,,0.31,6.51
2005-06-08,14,31.0,,0.31,4.34
2005-06-09,78,31.0,,0.31,24.18
2005-06-10,38,31.0,,0.31,11.78
2005-06-11,24,31.0,,0.31,7.4399999999999995
2005-06-12,24,31.0,,0.31,7.4399999999999995
2005-06-13,21,31.0,,0.31,6.51
2005-06-14,28,31.0,,0.31,8.68
2005-06-15,56,31.0,,0.31,17.36
2005-06-16,14,31.0,,0.31,4.34
2005-06-17,16,31.0,,0.31,4.96
2005-06-18,0,31.0,,0.31,0.0
2005-06-19,25,31.0,,0.31,7.75
2005-06-20,14,31.0,,0.31,4.34
2005-06-21,21,31.0,,0.31,6.51
2005-06-22,14,31.0,,0.31,4.34
2005-06-23,43,31.0,,0.31,13.33
2005-06-24,39,31.0,,0.31,12.09
2005-06-25,99,31.0,,0.31,30.69
2005-06-26,100,31.0,,0.31,31.0
2005-06-27,49,31.0,,0.31,15.19
2005-06-28,14,31.0,,0.31,4.34
2005-06-29,7,31.0,,0.31,2.17
2005-06-30,36,31.0,,0.31,11.16
2005-07-01,49,31.0,False,0.31,15.19
2005-07-02,0,31.0,,0.31,0.0
2005-07-03,41,31.0,,0.31,12.709999999999999
2005-07-04,36,31.0,,0.31,11.16
2005-07-05,56,31.0,,0.31,17.36
2005-07-06,30,31.0,,0.31,9.3
2005-07-07,41,31.0,,0.31,12.709999999999999
2005-07-08,33,31.0,,0.31,10.23
2005-07-09,34,31.0,,0.31,10.54
2005-07-10,0,31.0,,0.31,0.0
2005-07-11,51,31.0,,0.31,15.81
2005-07-12,50,31.0,,0.31,15.5
2005-07-13,30,31.0,,0.31,9.3
2005-07-14,62,31.0,,0.31,19.22
2005-07-15,22,31.0,,0.31,6.82
2005-07-16,52,31.0,,0.31,16.12
2005-07-17,0,31.0,,0.31,0.0
2005-07-18,40,31.0,,0.31,12.4
2005-07-19,70,31.0,,0.31,21.7
2005-07-20,51,31.0,,0.31,15.81
2005-07-21,21,31.0,,0.31,6.51
2005-07-22,44,31.0,,0.31,13.64
2005-07-23,17,31.0,,0.31,5.27
2005-07-24,0,31.0,,0.31,0.0
2005-07-25,100,31.0,,0.31,31.0
2005-07-26,10,31.0,,0.31,3.1
2005-07-27,51,31.0,,0.31,15.81
2005-07-28,63,31.0,,0.31,19.53
2005-07-29,34,31.0,,0.31,10.54
2005-07-30,51,31.0,,0.31,15.81
2005-07-31,17,31.0,,0.31,5.27
2005-08-01,16,34.0,False,0.34,5.44
2005-08-02,24,34.0,,0.34,8.16
2005-08-03,41,34.0,,0.34,13.940000000000001
2005-08-04,17,34.0,,0.34,5.78
2005-08-05,64,34.0,,0.34,21.76
2005-08-06,28,34.0,,0.34,9.520000000000001
2005-08-07,83,34.0,,0.34,28.220000000000002
2005-08-08,16,34.0,,0.34,5.44
2005-08-09,48,34.0,,0.34,16.32
2005-08-10,81,34.0,,0.34,27.540000000000003
2005-08-11,33,34.0,,0.34,11.22
2005-08-12,44,34.0,,0.34,14.96
2005-08-13,40,34.0,,0.34,13.600000000000001
2005-08-14,14,34.0,,0.34,4.760000000000001
2005-08-15,57,34.0,,0.34,19.380000000000003
2005-08-16,63,34.0,,0.34,21.42
2005-08-17,16,34.0,,0.34,5.44
2005-08-18,42,34.0,,0.34,14.280000000000001
2005-08-19,35,34.0,,0.34,11.9
2005-08-20,13,34.0,,0.34,4.42
2005-08-21,26,34.0,,0.34,8.84
2005-08-22,40,34.0,,0.34,13.600000000000001
2005-08-23,31,34.0,,0.34,10.540000000000001
2005-08-24,100,34.0,,0.34,34.0
2005-08-25,43,34.0,,0.34,14.620000000000001
2005-08-26,34,34.0,,0.34,11.56
2005-08-27,25,34.0,,0.34,8.5
2005-08-28,25,34.0,,0.34,8.5
2005-08-29,8,34.0,,0.34,2.72
2005-08-30,38,34.0,,0.34,12.920000000000002
2005-08-31,54,34.0,,0.34,18.360000000000003
2005-09-01,60,35.0,False,0.35,21.0
2005-09-02,22,35.0,,0.35,7.699999999999999
2005-09-03,33,35.0,,0.35,11.549999999999999
2005-09-04,69,35.0,,0.35,24.15
2005-09-05,58,35.0,,0.35,20.299999999999997
2005-09-06,87,35.0,,0.35,30.45
2005-09-07,37,35.0,,0.35,12.95
2005-09-08,28,35.0,,0.35,9.799999999999999
2005-09-09,70,35.0,,0.35,24.5
2005-09-10,30,35.0,,0.35,10.5
2005-09-11,74,35.0,,0.35,25.9
2005-09-12,55,35.0,,0.35,19.25
2005-09-13,72,35.0,,0.35,25.2
2005-09-14,82,35.0,,0.35,28.7
2005-09-15,28,35.0,,0.35,9.799999999999999
2005-09-16,20,35.0,,0.35,7.0
2005-09-17,75,35.0,,0.35,26.25
2005-09-18,44,35.0,,0.35,15.399999999999999
2005-09-19,82,35.0,,0.35,28.7
2005-09-20,44,35.0,,0.35,15.399999999999999
2005-09-21,80,35.0,,0.35,28.0
2005-09-22,37,35.0,,0.35,12.95
2005-09-23,100,35.0,,0.35,35.0
2005-09-24,61,35.0,,0.35,21.349999999999998
2005-09-25,15,35.0,,0.35,5.25
2005-09-26,71,35.0,,0.35,24.849999999999998
2005-09-27,44,35.0,,0.35,15.399999999999999
2005-09-28,62,35.0,,0.35,21.7
2005-09-29,45,35.0,,0.35,15.749999999999998
2005-09-30,39,35.0,,0.35,13.649999999999999
2005-10-01,26,54.0,False,0.54,14.040000000000001
2005-10-02,49,54.0,,0.54,26.46
2005-10-03,63,54.0,,0.54,34.02
2005-10-04,48,54.0,,0.54,25.92
2005-10-05,44,54.0,,0.54,23.76
2005-10-06,44,54.0,,0.54,23.76
2005-10-07,32,54.0,,0.54,17.28
2005-10-08,40,54.0,,0.54,21.6
2005-10-09,33,54.0,,0.54,17.82
2005-10-10,56,54.0,,0.54,30.240000000000002
2005-10-11,38,54.0,,0.54,20.520000000000003
2005-10-12,48,54.0,,0.54,25.92
2005-10-13,44,54.0,,0.54,23.76
2005-10-14,48,54.0,,0.54,25.92
2005-10-15,25,54.0,,0.54,13.5
2005-10-16,64,54.0,,0.54,34.56
2005-10-17,24,54.0,,0.54,12.96
2005-10-18,47,54.0,,0.54,25.380000000000003
2005-10-19,62,54.0,,0.54,33.480000000000004
2005-10-20,54,54.0,,0.54,29.160000000000004
2005-10-21,26,54.0,,0.54,14.040000000000001
2005-10-22,48,54.0,,0.54,25.92
2005-10-23,100,54.0,,0.54,54.0
2005-10-24,72,54.0,,0.54,38.88
2005-10-25,47,54.0,,0.54,25.380000000000003
2005-10-26,58,54.0,,0.54,31.32
2005-10-27,68,54.0,,0.54,36.72
2005-10-28,31,54.0,,0.54,16.740000000000002
2005-10-29,73,54.0,,0.54,39.42
2005-10-30,73,54.0,,0.54,39.42
2005-10-31,35,54.0,,0.54,18.900000000000002
2005-11-01,71,45.0,False,0.45,31.95
2005-11-02,83,45.0,,0.45,37.35
2005-11-03,92,45.0,,0.45,41.4
2005-11-04,73,45.0,,0.45,32.85
2005-11-05,11,45.0,,0.45,4.95
2005-11-06,78,45.0,,0.45,35.1
2005-11-07,40,45.0,,0.45,18.0
2005-11-08,72,45.0,,0.45,32.4
2005-11-09,22,45.0,,0.45,9.9
2005-11-10,69,45.0,,0.45,31.05
2005-11-11,46,45.0,,0.45,20.7
2005-11-12,67,45.0,,0.45,30.150000000000002
2005-11-13,66,45.0,,0.45,29.7
2005-11-14,41,45.0,,0.45,18.45
2005-11-15,78,45.0,,0.45,35.1
2005-11-16,52,45.0,,0.45,23.400000000000002
2005-11-17,54,45.0,,0.45,24.3
2005-11-18,29,45.0,,0.45,13.05
2005-11-19,55,45.0,,0.45,24.75
2005-11-20,55,45.0,,0.45,24.75
2005-11-21,27,45.0,,0.45,12.15
2005-11-22,60,45.0,,0.45,27.0
2005-11-23,100,45.0,,0.45,45.0
2005-11-24,36,45.0,,0.45,16.2
2005-11-25,21,45.0,,0.45,9.450000000000001
2005-11-26,45,45.0,,0.45,20.25
2005-11-27,54,45.0,,0.45,24.3
2005-11-28,51,45.0,,0.45,22.95
2005-11-29,74,45.0,,0.45,33.300000000000004
2005-11-30,76,45.0,,0.45,34.2
2005-12-01,75,42.0,False,0.42,31.5
2005-12-02,43,42.0,,0.42,18.06
2005-12-03,55,42.0,,0.42,23.099999999999998
2005-12-04,73,42.0,,0.42,30.66
2005-12-05,40,42.0,,0.42,16.8
2005-12-06,61,42.0,,0.42,25.619999999999997
2005-12-07,62,42.0,,0.42,26.04
2005-12-08,70,42.0,,0.42,29.4
2005-12-09,55,42.0,,0.42,23.099999999999998
2005-12-10,64,42.0,,0.42,26.88
2005-12-11,37,42.0,,0.42,15.54
2005-12-12,46,42.0,,0.42,19.32
2005-12-13,67,42.0,,0.42,28.14
2005-12-14,70,42.0,,0.42,29.4
2005-12-15,84,42.0,,0.42,35.28
2005-12-16,52,42.0,,0.42,21.84
2005-12-17,48,42.0,,0.42,20.16
2005-12-18,60,42.0,,0.42,25.2
2005-12-19,100,42.0,,0.42,42.0
2005-12-20,68,42.0,,0.42,28.56
2005-12-21,52,42.0,,0.42,21.84
2005-12-22,35,42.0,,0.42,14.7
2005-12-23,33,42.0,,0.42,13.86
2005-12-24,82,42.0,,0.42,34.44
2005-12-25,14,42.0,,0.42,5.88
2005-12-26,43,42.0,,0.42,18.06
2005-12-27,15,42.0,,0.42,6.3
2005-12-28,28,42.0,,0.42,11.76
2005-12-29,42,42.0,,0.42,17.64
2005-12-30,23,42.0,,0.42,9.66
2005-12-31,29,42.0,,0.42,12.18
2006-01-01,100,39.0,False,0.39,39.0
2006-01-02,53,39.0,,0.39,20.67
2006-01-03,46,39.0,,0.39,17.94
2006-01-04,33,39.0,,0.39,12.870000000000001
2006-01-05,45,39.0,,0.39,17.55
2006-01-06,11,39.0,,0.39,4.29
2006-01-07,50,39.0,,0.39,19.5
2006-01-08,78,39.0,,0.39,30.42
2006-01-09,50,39.0,,0.39,19.5
2006-01-10,42,39.0,,0.39,16.38
2006-01-11,37,39.0,,0.39,14.43
2006-01-12,32,39.0,,0.39,12.48
2006-01-13,39,39.0,,0.39,15.21
2006-01-14,58,39.0,,0.39,22.62
2006-01-15,61,39.0,,0.39,23.79
2006-01-16,36,39.0,,0.39,14.040000000000001
2006-01-17,53,39.0,,0.39,20.67
2006-01-18,63,39.0,,0.39,24.57
2006-01-19,64,39.0,,0.39,24.96
2006-01-20,39,39.0,,0.39,15.21
2006-01-21,41,39.0,,0.39,15.99
2006-01-22,56,39.0,,0.39,21.84
2006-01-23,36,39.0,,0.39,14.040000000000001
2006-01-24,41,39.0,,0.39,15.99
2006-01-25,41,39.0,,0.39,15.99
2006-01-26,52,39.0,,0.39,20.28
2006-01-27,60,39.0,,0.39,23.400000000000002
2006-01-28,32,39.0,,0.39,12.48
2006-01-29,64,39.0,,0.39,24.96
2006-01-30,51,39.0,,0.39,19.89
2006-01-31,40,39.0,,0.39,15.600000000000001
2006-02-01,100,39.0,False,0.39,39.0
2006-02-02,79,39.0,,0.39,30.810000000000002
2006-02-03,65,39.0,,0.39,25.35
2006-02-04,34,39.0,,0.39,13.26
2006-02-05,52,39.0,,0.39,20.28
2006-02-06,29,39.0,,0.39,11.31
2006-02-07,43,39.0,,0.39,16.77
2006-02-08,22,39.0,,0.39,8.58
2006-02-09,67,39.0,,0.39,26.130000000000003
2006-02-10,18,39.0,,0.39,7.0200000000000005
