date,luxury home_unscaled,luxury home_monthly,isPartial,scale,luxury home
2005-05-19,19,79.0,,0.79,15.010000000000002
2005-05-20,20,79.0,,0.79,15.8
2005-05-21,100,79.0,,0.79,79.0
2005-05-22,0,79.0,,0.79,0.0
2005-05-23,27,79.0,,0.79,21.330000000000002
2005-05-24,27,79.0,,0.79,21.330000000000002
2005-05-25,37,79.0,,0.79,29.23
2005-05-26,0,79.0,,0.79,0.0
2005-05-27,21,79.0,,0.79,16.59
2005-05-28,0,79.0,,0.79,0.0
2005-05-29,36,79.0,,0.79,28.44
2005-05-30,31,79.0,,0.79,24.490000000000002
2005-05-31,28,79.0,,0.79,22.12
2005-06-01,24,100.0,False,1.0,24.0
2005-06-02,99,100.0,,1.0,99.0
2005-06-03,53,100.0,,1.0,53.0
2005-06-04,84,100.0,,1.0,84.0
2005-06-05,86,100.0,,1.0,86.0
2005-06-06,49,100.0,,1.0,49.0
2005-06-07,24,100.0,,1.0,24.0
2005-06-08,24,100.0,,1.0,24.0
2005-06-09,51,100.0,,1.0,51.0
2005-06-10,27,100.0,,1.0,27.0
2005-06-11,42,100.0,,1.0,42.0
2005-06-12,0,100.0,,1.0,0.0
2005-06-13,75,100.0,,1.0,75.0
2005-06-14,25,100.0,,1.0,25.0
2005-06-15,100,100.0,,1.0,100.0
2005-06-16,77,100.0,,1.0,77.0
2005-06-17,0,100.0,,1.0,0.0
2005-06-18,44,100.0,,1.0,44.0
2005-06-19,0,100.0,,1.0,0.0
2005-06-20,25,100.0,,1.0,25.0
2005-06-21,50,100.0,,1.0,50.0
2005-06-22,51,100.0,,1.0,51.0
2005-06-23,52,100.0,,1.0,52.0
2005-06-24,84,100.0,,1.0,84.0
2005-06-25,0,100.0,,1.0,0.0
2005-06-26,44,100.0,,1.0,44.0
2005-06-27,50,100.0,,1.0,50.0
2005-06-28,25,100.0,,1.0,25.0
2005-06-29,0,100.0,,1.0,0.0
2005-06-30,26,100.0,,1.0,26.0
2005-07-01,30,80.0,False,0.8,24.0
2005-07-02,0,80.0,,0.8,0.0
2005-07-03,0,80.0,,0.8,0.0
2005-07-04,91,80.0,,0.8,72.8
2005-07-05,28,80.0,,0.8,22.400000000000002
2005-07-06,0,80.0,,0.8,0.0
2005-07-07,77,80.0,,0.8,61.6
2005-07-08,54,80.0,,0.8,43.2
2005-07-09,64,80.0,,0.8,51.2
2005-07-10,44,80.0,,0.8,35.2
2005-07-11,89,80.0,,0.8,71.2
2005-07-12,25,80.0,,0.8,20.0
2005-07-13,38,80.0,,0.8,30.400000000000002
2005-07-14,26,80.0,,0.8,20.8
2005-07-15,41,80.0,,0.8,32.800000000000004
2005-07-16,86,80.0,,0.8,68.8
2005-07-17,44,80.0,,0.8,35.2
2005-07-18,38,80.0,,0.8,30.400000000000002
2005-07-19,25,80.0,,0.8,20.0
2005-07-20,51,80.0,,0.8,40.800000000000004
2005-07-21,0,80.0,,0.8,0.0
2005-07-22,69,80.0,,0.8,55.2
2005-07-23,43,80.0,,0.8,34.4
2005-07-24,67,80.0,,0.8,53.6
2005-07-25,100,80.0,,0.8,80.0
2005-07-26,61,80.0,,0.8,48.800000000000004
2005-07-27,38,80.0,,0.8,30.400000000000002
2005-07-28,39,80.0,,0.8,31.200000000000003
2005-07-29,69,80.0,,0.8,55.2
2005-07-30,43,80.0,,0.8,34.4
2005-07-31,65,80.0,,0.8,52.0
2005-08-01,0,95.0,False,0.95,0.0
