date,fort worth_unscaled,fort worth_monthly,isPartial,scale,fort worth
2005-05-27,83,83,False,0.83,68.89
2005-05-28,66,66,False,0.66,43.56
2005-05-29,61,61,False,0.61,37.21
2005-05-30,92,92,False,0.92,84.64
2005-05-31,77,77,False,0.77,59.29
2005-06-01,76,76,False,0.76,57.76
2005-06-02,64,64,False,0.64,40.96
2005-06-03,72,72,False,0.72,51.839999999999996
2005-06-04,97,97,False,0.97,94.09
2005-06-05,72,72,False,0.72,51.839999999999996
2005-06-06,66,66,False,0.66,43.56
2005-06-07,83,83,False,0.83,68.89
2005-06-08,89,89,False,0.89,79.21000000000001
2005-06-09,72,72,False,0.72,51.839999999999996
2005-06-10,81,81,False,0.81,65.61
2005-06-11,96,96,False,0.96,92.16
2005-06-12,44,44,False,0.44,19.36
2005-06-13,53,53,False,0.53,28.09
2005-06-14,71,71,False,0.71,50.41
2005-06-15,81,81,False,0.81,65.61
2005-06-16,49,49,False,0.49,24.009999999999998
2005-06-17,58,58,False,0.58,33.64
2005-06-18,100,100,False,1.0,100.0
2005-06-19,77,77,False,0.77,59.29
2005-06-20,73,73,False,0.73,53.29
2005-06-21,89,89,False,0.89,79.21000000000001
2005-06-22,64,64,False,0.64,40.96
2005-06-23,63,63,False,0.63,39.69
2005-06-24,99,99,False,0.99,98.01
2005-06-25,80,80,False,0.8,64.0
2005-06-26,79,79,False,0.79,62.410000000000004
2005-06-27,62,62,False,0.62,38.44
2005-06-28,82,82,False,0.82,67.24
2005-06-29,67,67,False,0.67,44.89
2005-06-30,72,72,False,0.72,51.839999999999996
2005-07-01,50,50,False,0.5,25.0
2005-07-02,38,38,False,0.38,14.44
2005-07-03,34,34,False,0.34,11.56
2005-07-04,63,63,False,0.63,39.69
2005-07-05,51,51,False,0.51,26.01
2005-07-06,50,50,False,0.5,25.0
2005-07-07,43,43,False,0.43,18.49
2005-07-08,54,54,False,0.54,29.160000000000004
2005-07-09,32,32,False,0.32,10.24
2005-07-10,36,36,False,0.36,12.959999999999999
2005-07-11,54,54,False,0.54,29.160000000000004
2005-07-12,62,62,False,0.62,38.44
2005-07-13,48,48,False,0.48,23.04
2005-07-14,41,41,False,0.41,16.81
2005-07-15,68,68,False,0.68,46.24
2005-07-16,42,42,False,0.42,17.64
2005-07-17,45,45,False,0.45,20.25
2005-07-18,46,46,False,0.46,21.16
2005-07-19,50,50,False,0.5,25.0
2005-07-20,52,52,False,0.52,27.04
2005-07-21,53,53,False,0.53,28.09
2005-07-22,58,58,False,0.58,33.64
2005-07-23,66,66,False,0.66,43.56
2005-07-24,46,46,False,0.46,21.16
2005-07-25,55,55,False,0.55,30.250000000000004
2005-07-26,52,52,False,0.52,27.04
2005-07-27,54,54,False,0.54,29.160000000000004
2005-07-28,100,100,False,1.0,100.0
2005-07-29,64,64,False,0.64,40.96
