date,GOLD PRICES_unscaled,GOLD PRICES_monthly,isPartial,scale,GOLD PRICES
2005-07-18,0,15.0,,0.15,0.0
2005-07-19,24,15.0,,0.15,3.5999999999999996
2005-07-20,37,15.0,,0.15,5.55
2005-07-21,50,15.0,,0.15,7.5
2005-07-22,67,15.0,,0.15,10.049999999999999
2005-07-23,42,15.0,,0.15,6.3
2005-07-24,43,15.0,,0.15,6.45
2005-07-25,72,15.0,,0.15,10.799999999999999
2005-07-26,59,15.0,,0.15,8.85
2005-07-27,74,15.0,,0.15,11.1
2005-07-28,76,15.0,,0.15,11.4
2005-07-29,27,15.0,,0.15,4.05
2005-07-30,83,15.0,,0.15,12.45
2005-07-31,41,15.0,,0.15,6.1499999999999995
2005-08-01,41,20.0,False,0.2,8.200000000000001
2005-08-02,41,20.0,,0.2,8.200000000000001
2005-08-03,51,20.0,,0.2,10.200000000000001
2005-08-04,52,20.0,,0.2,10.4
2005-08-05,45,20.0,,0.2,9.0
2005-08-06,35,20.0,,0.2,7.0
2005-08-07,35,20.0,,0.2,7.0
2005-08-08,20,20.0,,0.2,4.0
2005-08-09,20,20.0,,0.2,4.0
2005-08-10,41,20.0,,0.2,8.200000000000001
2005-08-11,52,20.0,,0.2,10.4
2005-08-12,66,20.0,,0.2,13.200000000000001
2005-08-13,67,20.0,,0.2,13.4
2005-08-14,51,20.0,,0.2,10.200000000000001
2005-08-15,61,20.0,,0.2,12.200000000000001
2005-08-16,100,20.0,,0.2,20.0
2005-08-17,31,20.0,,0.2,6.2
2005-08-18,31,20.0,,0.2,6.2
2005-08-19,54,20.0,,0.2,10.8
2005-08-20,0,20.0,,0.2,0.0
2005-08-21,84,20.0,,0.2,16.8
2005-08-22,20,20.0,,0.2,4.0
2005-08-23,39,20.0,,0.2,7.800000000000001
2005-08-24,81,20.0,,0.2,16.2
2005-08-25,67,20.0,,0.2,13.4
2005-08-26,43,20.0,,0.2,8.6
2005-08-27,0,20.0,,0.2,0.0
2005-08-28,0,20.0,,0.2,0.0
2005-08-29,68,20.0,,0.2,13.600000000000001
2005-08-30,38,20.0,,0.2,7.6000000000000005
2005-08-31,48,20.0,,0.2,9.600000000000001
2005-09-01,34,22.0,False,0.22,7.48
2005-09-02,55,22.0,,0.22,12.1
2005-09-03,42,22.0,,0.22,9.24
2005-09-04,0,22.0,,0.22,0.0
2005-09-05,49,22.0,,0.22,10.78
2005-09-06,16,22.0,,0.22,3.52
2005-09-07,16,22.0,,0.22,3.52
2005-09-08,24,22.0,,0.22,5.28
2005-09-09,17,22.0,,0.22,3.74
2005-09-10,26,22.0,,0.22,5.72
2005-09-11,100,22.0,,0.22,22.0
2005-09-12,38,22.0,,0.22,8.36
2005-09-13,15,22.0,,0.22,3.3
2005-09-14,31,22.0,,0.22,6.82
2005-09-15,31,22.0,,0.22,6.82
2005-09-16,33,22.0,,0.22,7.26
2005-09-17,63,22.0,,0.22,13.86
2005-09-18,50,22.0,,0.22,11.0
2005-09-19,61,22.0,,0.22,13.42
2005-09-20,91,22.0,,0.22,20.02
2005-09-21,37,22.0,,0.22,8.14
2005-09-22,47,22.0,,0.22,10.34
2005-09-23,68,22.0,,0.22,14.96
2005-09-24,26,22.0,,0.22,5.72
2005-09-25,25,22.0,,0.22,5.5
2005-09-26,38,22.0,,0.22,8.36
2005-09-27,15,22.0,,0.22,3.3
2005-09-28,45,22.0,,0.22,9.9
2005-09-29,15,22.0,,0.22,3.3
2005-09-30,67,22.0,,0.22,14.74
2005-10-01,61,19.0,False,0.19,11.59
2005-10-02,23,19.0,,0.19,4.37
2005-10-03,28,19.0,,0.19,5.32
2005-10-04,41,19.0,,0.19,7.79
2005-10-05,35,19.0,,0.19,6.65
2005-10-06,42,19.0,,0.19,7.98
2005-10-07,91,19.0,,0.19,17.29
2005-10-08,23,19.0,,0.19,4.37
2005-10-09,35,19.0,,0.19,6.65
2005-10-10,36,19.0,,0.19,6.84
2005-10-11,14,19.0,,0.19,2.66
2005-10-12,41,19.0,,0.19,7.79
2005-10-13,100,19.0,,0.19,19.0
2005-10-14,38,19.0,,0.19,7.22
2005-10-15,71,19.0,,0.19,13.49
2005-10-16,0,19.0,,0.19,0.0
2005-10-17,41,19.0,,0.19,7.79
2005-10-18,48,19.0,,0.19,9.120000000000001
2005-10-19,0,19.0,,0.19,0.0
2005-10-20,42,19.0,,0.19,7.98
2005-10-21,30,19.0,,0.19,5.7
2005-10-22,0,19.0,,0.19,0.0
2005-10-23,0,19.0,,0.19,0.0
2005-10-24,21,19.0,,0.19,3.99
2005-10-25,54,19.0,,0.19,10.26
2005-10-26,14,19.0,,0.19,2.66
2005-10-27,35,19.0,,0.19,6.65
2005-10-28,45,19.0,,0.19,8.55
2005-10-29,23,19.0,,0.19,4.37
2005-10-30,23,19.0,,0.19,4.37
2005-10-31,42,19.0,,0.19,7.98
2005-11-01,26,23.0,False,0.23,5.98
2005-11-02,34,23.0,,0.23,7.82
2005-11-03,26,23.0,,0.23,5.98
2005-11-04,54,23.0,,0.23,12.42
2005-11-05,82,23.0,,0.23,18.86
2005-11-06,55,23.0,,0.23,12.65
2005-11-07,25,23.0,,0.23,5.75
2005-11-08,24,23.0,,0.23,5.5200000000000005
2005-11-09,0,23.0,,0.23,0.0
2005-11-10,36,23.0,,0.23,8.280000000000001
2005-11-11,57,23.0,,0.23,13.110000000000001
2005-11-12,27,23.0,,0.23,6.21
2005-11-13,55,23.0,,0.23,12.65
2005-11-14,42,23.0,,0.23,9.66
2005-11-15,32,23.0,,0.23,7.36
2005-11-16,33,23.0,,0.23,7.590000000000001
2005-11-17,100,23.0,,0.23,23.0
2005-11-18,54,23.0,,0.23,12.42
2005-11-19,27,23.0,,0.23,6.21
2005-11-20,27,23.0,,0.23,6.21
2005-11-21,25,23.0,,0.23,5.75
2005-11-22,42,23.0,,0.23,9.66
2005-11-23,19,23.0,,0.23,4.37
2005-11-24,60,23.0,,0.23,13.8
2005-11-25,27,23.0,,0.23,6.21
2005-11-26,28,23.0,,0.23,6.44
2005-11-27,0,23.0,,0.23,0.0
2005-11-28,40,23.0,,0.23,9.200000000000001
2005-11-29,76,23.0,,0.23,17.48
2005-11-30,24,23.0,,0.23,5.5200000000000005
2005-12-01,33,37.0,False,0.37,12.209999999999999
2005-12-02,84,37.0,,0.37,31.08
2005-12-03,42,37.0,,0.37,15.54
2005-12-04,42,37.0,,0.37,15.54
2005-12-05,26,37.0,,0.37,9.62
2005-12-06,70,37.0,,0.37,25.9
2005-12-07,33,37.0,,0.37,12.209999999999999
2005-12-08,100,37.0,,0.37,37.0
2005-12-09,85,37.0,,0.37,31.45
2005-12-10,83,37.0,,0.37,30.71
2005-12-11,43,37.0,,0.37,15.91
2005-12-12,73,37.0,,0.37,27.009999999999998
2005-12-13,52,37.0,,0.37,19.24
2005-12-14,60,37.0,,0.37,22.2
2005-12-15,62,37.0,,0.37,22.94
2005-12-16,81,37.0,,0.37,29.97
2005-12-17,66,37.0,,0.37,24.419999999999998
2005-12-18,46,37.0,,0.37,17.02
2005-12-19,29,37.0,,0.37,10.73
2005-12-20,49,37.0,,0.37,18.13
2005-12-21,45,37.0,,0.37,16.65
2005-12-22,40,37.0,,0.37,14.8
2005-12-23,87,37.0,,0.37,32.19
2005-12-24,27,37.0,,0.37,9.99
2005-12-25,33,37.0,,0.37,12.209999999999999
2005-12-26,49,37.0,,0.37,18.13
2005-12-27,42,37.0,,0.37,15.54
2005-12-28,73,37.0,,0.37,27.009999999999998
2005-12-29,72,37.0,,0.37,26.64
2005-12-30,18,37.0,,0.37,6.66
2005-12-31,68,37.0,,0.37,25.16
2006-01-01,91,32.0,False,0.32,29.12
2006-01-02,53,32.0,,0.32,16.96
2006-01-03,100,32.0,,0.32,32.0
2006-01-04,59,32.0,,0.32,18.88
2006-01-05,85,32.0,,0.32,27.2
2006-01-06,34,32.0,,0.32,10.88
2006-01-07,50,32.0,,0.32,16.0
2006-01-08,82,32.0,,0.32,26.240000000000002
2006-01-09,52,32.0,,0.32,16.64
2006-01-10,56,32.0,,0.32,17.92
2006-01-11,31,32.0,,0.32,9.92
2006-01-12,13,32.0,,0.32,4.16
2006-01-13,33,32.0,,0.32,10.56
2006-01-14,39,32.0,,0.32,12.48
2006-01-15,30,32.0,,0.32,9.6
2006-01-16,21,32.0,,0.32,6.72
2006-01-17,50,32.0,,0.32,16.0
2006-01-18,73,32.0,,0.32,23.36
2006-01-19,57,32.0,,0.32,18.240000000000002
2006-01-20,65,32.0,,0.32,20.8
2006-01-21,38,32.0,,0.32,12.16
2006-01-22,48,32.0,,0.32,15.36
2006-01-23,79,32.0,,0.32,25.28
2006-01-24,36,32.0,,0.32,11.52
2006-01-25,73,32.0,,0.32,23.36
2006-01-26,55,32.0,,0.32,17.6
2006-01-27,19,32.0,,0.32,6.08
2006-01-28,47,32.0,,0.32,15.040000000000001
2006-01-29,19,32.0,,0.32,6.08
2006-01-30,54,32.0,,0.32,17.28
2006-01-31,87,32.0,,0.32,27.84
2006-02-01,66,35.0,False,0.35,23.099999999999998
2006-02-02,52,35.0,,0.35,18.2
2006-02-03,94,35.0,,0.35,32.9
2006-02-04,45,35.0,,0.35,15.749999999999998
2006-02-05,35,35.0,,0.35,12.25
2006-02-06,38,35.0,,0.35,13.299999999999999
2006-02-07,78,35.0,,0.35,27.299999999999997
2006-02-08,80,35.0,,0.35,28.0
2006-02-09,44,35.0,,0.35,15.399999999999999
2006-02-10,100,35.0,,0.35,35.0
2006-02-11,56,35.0,,0.35,19.599999999999998
2006-02-12,22,35.0,,0.35,7.699999999999999
2006-02-13,58,35.0,,0.35,20.299999999999997
2006-02-14,65,35.0,,0.35,22.75
2006-02-15,60,35.0,,0.35,21.0
2006-02-16,52,35.0,,0.35,18.2
2006-02-17,55,35.0,,0.35,19.25
2006-02-18,79,35.0,,0.35,27.65
2006-02-19,35,35.0,,0.35,12.25
2006-02-20,65,35.0,,0.35,22.75
2006-02-21,58,35.0,,0.35,20.299999999999997
2006-02-22,72,35.0,,0.35,25.2
2006-02-23,59,35.0,,0.35,20.65
2006-02-24,31,35.0,,0.35,10.85
2006-02-25,59,35.0,,0.35,20.65
2006-02-26,58,35.0,,0.35,20.299999999999997
2006-02-27,65,35.0,,0.35,22.75
2006-02-28,56,35.0,,0.35,19.599999999999998
2006-03-01,41,25.0,False,0.25,10.25
2006-03-02,58,25.0,,0.25,14.5
2006-03-03,43,25.0,,0.25,10.75
2006-03-04,52,25.0,,0.25,13.0
2006-03-05,26,25.0,,0.25,6.5
2006-03-06,58,25.0,,0.25,14.5
2006-03-07,73,25.0,,0.25,18.25
2006-03-08,75,25.0,,0.25,18.75
2006-03-09,33,25.0,,0.25,8.25
2006-03-10,80,25.0,,0.25,20.0
2006-03-11,40,25.0,,0.25,10.0
2006-03-12,27,25.0,,0.25,6.75
2006-03-13,92,25.0,,0.25,23.0
2006-03-14,81,25.0,,0.25,20.25
2006-03-15,100,25.0,,0.25,25.0
2006-03-16,43,25.0,,0.25,10.75
2006-03-17,18,25.0,,0.25,4.5
2006-03-18,54,25.0,,0.25,13.5
2006-03-19,65,25.0,,0.25,16.25
2006-03-20,58,25.0,,0.25,14.5
2006-03-21,32,25.0,,0.25,8.0
2006-03-22,74,25.0,,0.25,18.5
2006-03-23,58,25.0,,0.25,14.5
2006-03-24,52,25.0,,0.25,13.0
2006-03-25,77,25.0,,0.25,19.25
2006-03-26,52,25.0,,0.25,13.0
2006-03-27,66,25.0,,0.25,16.5
2006-03-28,24,25.0,,0.25,6.0
2006-03-29,49,25.0,,0.25,12.25
2006-03-30,59,25.0,,0.25,14.75
2006-03-31,45,25.0,,0.25,11.25
2006-04-01,32,46.0,False,0.46,14.72
2006-04-02,39,46.0,,0.46,17.94
2006-04-03,28,46.0,,0.46,12.88
2006-04-04,31,46.0,,0.46,14.26
2006-04-05,24,46.0,,0.46,11.040000000000001
2006-04-06,65,46.0,,0.46,29.900000000000002
2006-04-07,30,46.0,,0.46,13.8
2006-04-08,19,46.0,,0.46,8.74
2006-04-09,33,46.0,,0.46,15.180000000000001
2006-04-10,37,46.0,,0.46,17.02
2006-04-11,44,46.0,,0.46,20.240000000000002
2006-04-12,53,46.0,,0.46,24.380000000000003
2006-04-13,55,46.0,,0.46,25.3
2006-04-14,39,46.0,,0.46,17.94
2006-04-15,20,46.0,,0.46,9.200000000000001
2006-04-16,21,46.0,,0.46,9.66
2006-04-17,85,46.0,,0.46,39.1
2006-04-18,52,46.0,,0.46,23.92
2006-04-19,100,46.0,,0.46,46.0
2006-04-20,73,46.0,,0.46,33.58
2006-04-21,99,46.0,,0.46,45.54
2006-04-22,38,46.0,,0.46,17.48
2006-04-23,37,46.0,,0.46,17.02
2006-04-24,70,46.0,,0.46,32.2
2006-04-25,42,46.0,,0.46,19.32
2006-04-26,51,46.0,,0.46,23.46
2006-04-27,68,46.0,,0.46,31.28
2006-04-28,60,46.0,,0.46,27.6
2006-04-29,39,46.0,,0.46,17.94
2006-04-30,32,46.0,,0.46,14.72
2006-05-01,66,66.0,False,0.66,43.56
2006-05-02,50,66.0,,0.66,33.0
2006-05-03,57,66.0,,0.66,37.620000000000005
2006-05-04,83,66.0,,0.66,54.78
2006-05-05,33,66.0,,0.66,21.78
2006-05-06,20,66.0,,0.66,13.200000000000001
2006-05-07,35,66.0,,0.66,23.1
2006-05-08,42,66.0,,0.66,27.720000000000002
2006-05-09,83,66.0,,0.66,54.78
2006-05-10,84,66.0,,0.66,55.440000000000005
2006-05-11,100,66.0,,0.66,66.0
2006-05-12,60,66.0,,0.66,39.6
2006-05-13,31,66.0,,0.66,20.46
2006-05-14,51,66.0,,0.66,33.660000000000004
2006-05-15,88,66.0,,0.66,58.080000000000005
2006-05-16,59,66.0,,0.66,38.940000000000005
2006-05-17,49,66.0,,0.66,32.34
2006-05-18,59,66.0,,0.66,38.940000000000005
2006-05-19,60,66.0,,0.66,39.6
2006-05-20,37,66.0,,0.66,24.42
2006-05-21,41,66.0,,0.66,27.060000000000002
2006-05-22,67,66.0,,0.66,44.22
2006-05-23,61,66.0,,0.66,40.260000000000005
2006-05-24,84,66.0,,0.66,55.440000000000005
2006-05-25,38,66.0,,0.66,25.080000000000002
2006-05-26,49,66.0,,0.66,32.34
2006-05-27,33,66.0,,0.66,21.78
2006-05-28,18,66.0,,0.66,11.88
2006-05-29,25,66.0,,0.66,16.5
2006-05-30,35,66.0,,0.66,23.1
2006-05-31,31,66.0,,0.66,20.46
2006-06-01,47,46.0,False,0.46,21.62
2006-06-02,40,46.0,,0.46,18.400000000000002
2006-06-03,38,46.0,,0.46,17.48
2006-06-04,55,46.0,,0.46,25.3
2006-06-05,27,46.0,,0.46,12.42
2006-06-06,17,46.0,,0.46,7.82
2006-06-07,20,46.0,,0.46,9.200000000000001
2006-06-08,100,46.0,,0.46,46.0
2006-06-09,18,46.0,,0.46,8.280000000000001
2006-06-10,50,46.0,,0.46,23.0
2006-06-11,11,46.0,,0.46,5.0600000000000005
2006-06-12,24,46.0,,0.46,11.040000000000001
2006-06-13,51,46.0,,0.46,23.46
2006-06-14,58,46.0,,0.46,26.68
2006-06-15,67,46.0,,0.46,30.82
2006-06-16,69,46.0,,0.46,31.740000000000002
2006-06-17,17,46.0,,0.46,7.82
2006-06-18,30,46.0,,0.46,13.8
2006-06-19,45,46.0,,0.46,20.7
2006-06-20,48,46.0,,0.46,22.080000000000002
2006-06-21,39,46.0,,0.46,17.94
2006-06-22,55,46.0,,0.46,25.3
2006-06-23,48,46.0,,0.46,22.080000000000002
2006-06-24,32,46.0,,0.46,14.72
2006-06-25,33,46.0,,0.46,15.180000000000001
2006-06-26,33,46.0,,0.46,15.180000000000001
2006-06-27,23,46.0,,0.46,10.58
2006-06-28,37,46.0,,0.46,17.02
2006-06-29,35,46.0,,0.46,16.1
2006-06-30,49,46.0,,0.46,22.540000000000003
2006-07-01,47,40.0,False,0.4,18.8
2006-07-02,79,40.0,,0.4,31.6
2006-07-03,84,40.0,,0.4,33.6
2006-07-04,60,40.0,,0.4,24.0
2006-07-05,66,40.0,,0.4,26.400000000000002
2006-07-06,72,40.0,,0.4,28.8
2006-07-07,82,40.0,,0.4,32.800000000000004
2006-07-08,69,40.0,,0.4,27.6
2006-07-09,54,40.0,,0.4,21.6
2006-07-10,65,40.0,,0.4,26.0
2006-07-11,32,40.0,,0.4,12.8
2006-07-12,65,40.0,,0.4,26.0
2006-07-13,100,40.0,,0.4,40.0
2006-07-14,95,40.0,,0.4,38.0
2006-07-15,61,40.0,,0.4,24.400000000000002
2006-07-16,54,40.0,,0.4,21.6
2006-07-17,33,40.0,,0.4,13.200000000000001
2006-07-18,64,40.0,,0.4,25.6
2006-07-19,27,40.0,,0.4,10.8
2006-07-20,61,40.0,,0.4,24.400000000000002
2006-07-21,64,40.0,,0.4,25.6
2006-07-22,34,40.0,,0.4,13.600000000000001
2006-07-23,26,40.0,,0.4,10.4
2006-07-24,54,40.0,,0.4,21.6
2006-07-25,48,40.0,,0.4,19.200000000000003
2006-07-26,38,40.0,,0.4,15.200000000000001
2006-07-27,28,40.0,,0.4,11.200000000000001
2006-07-28,46,40.0,,0.4,18.400000000000002
2006-07-29,43,40.0,,0.4,17.2
2006-07-30,26,40.0,,0.4,10.4
2006-07-31,59,40.0,,0.4,23.6
2006-08-01,41,30.0,False,0.3,12.299999999999999
2006-08-02,67,30.0,,0.3,20.099999999999998
2006-08-03,53,30.0,,0.3,15.899999999999999
2006-08-04,28,30.0,,0.3,8.4
2006-08-05,34,30.0,,0.3,10.2
2006-08-06,17,30.0,,0.3,5.1
2006-08-07,100,30.0,,0.3,30.0
2006-08-08,31,30.0,,0.3,9.299999999999999
2006-08-09,57,30.0,,0.3,17.099999999999998
2006-08-10,47,30.0,,0.3,14.1
2006-08-11,34,30.0,,0.3,10.2
2006-08-12,42,30.0,,0.3,12.6
2006-08-13,26,30.0,,0.3,7.8
2006-08-14,47,30.0,,0.3,14.1
2006-08-15,36,30.0,,0.3,10.799999999999999
2006-08-16,42,30.0,,0.3,12.6
2006-08-17,48,30.0,,0.3,14.399999999999999
2006-08-18,62,30.0,,0.3,18.599999999999998
2006-08-19,24,30.0,,0.3,7.199999999999999
2006-08-20,0,30.0,,0.3,0.0
2006-08-21,62,30.0,,0.3,18.599999999999998
2006-08-22,75,30.0,,0.3,22.5
2006-08-23,51,30.0,,0.3,15.299999999999999
2006-08-24,36,30.0,,0.3,10.799999999999999
2006-08-25,38,30.0,,0.3,11.4
2006-08-26,47,30.0,,0.3,14.1
2006-08-27,23,30.0,,0.3,6.8999999999999995
